ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.36139998,-0.70233156,-0.19651584,-0.20234987,-0.66013766,-0.00859827,-1.58957915,1.37232358,0.58115967
-0.40151836,-0.62513789,-0.23541018,-0.23622344,-0.73295562,-0.10051031,-1.60748283,1.37721337,0.60835706
-0.44414309,-0.53764498,-0.31967221,-0.25774888,-0.84339775,-0.24727220,-1.63505030,1.38209231,0.64847912
-0.50454954,-0.49673356,-0.44280788,-0.23304032,-0.94930384,-0.41954887,-1.66844710,1.38265279,0.69324034
-0.62703954,-0.46504196,-0.60840662,-0.15771105,-0.99448463,-0.60072352,-1.70697205,1.37606259,0.73932654
-0.82467026,-0.33311132,-0.83437974,-0.04109087,-0.92848107,-0.76413580,-1.74804117,1.36027159,0.78137122
-1.11443045,0.00915285,-1.09325376,0.10436414,-0.73976537,-0.86768202,-1.78771269,1.33477149,0.81318646
-1.47583402,0.54259993,-1.34609909,0.27439450,-0.43854353,-0.88193473,-1.82147323,1.30060396,0.82884366
-1.77248693,1.05699521,-1.58601076,0.47760782,-0.04137281,-0.83164234,-1.84516438,1.25885607,0.82285821
-1.87355871,1.36657630,-1.78251658,0.72772797,0.42083874,-0.77642694,-1.85594843,1.20866847,0.79051812
-1.77780155,1.46389616,-1.87595679,1.03486887,0.89342558,-0.74271689,-1.85249187,1.14692700,0.72905891
-1.57349080,1.43473856,-1.79082936,1.38823261,1.30208349,-0.72353797,-1.83480279,1.06961479,0.63948851
-1.33640332,1.38255483,-1.49192096,1.74227922,1.57500833,-0.71463611,-1.80455618,0.97358583,0.52814936
-1.10484219,1.36511838,-1.02572736,2.03651543,1.66030347,-0.71099138,-1.76552172,0.85821460,0.40657544
-0.89420526,1.34452408,-0.47092877,2.22923337,1.55836241,-0.70569490,-1.72308940,0.72614420,0.28860167
-0.65992506,1.24911015,0.07416304,2.31017408,1.33735277,-0.69362832,-1.68244611,0.58258907,0.18575050
-0.36843680,1.05603052,0.52603589,2.28388300,1.09241261,-0.66793171,-1.64662054,0.43414551,0.10411392
-0.04956288,0.79190126,0.85917270,2.15560688,0.88782586,-0.63012699,-1.61599601,0.28799198,0.04434112
0.26062260,0.49582668,1.10127728,1.93715479,0.73111918,-0.59600008,-1.58966756,0.15091929,0.00374395
0.53594158,0.19211663,1.30007955,1.64904794,0.61572863,-0.57420263,-1.56667284,0.02837094,-0.02183452
0.78525698,-0.09072026,1.46334297,1.31567399,0.54906688,-0.54853034,-1.54582279,-0.07567279,-0.03744199
1.04748056,-0.30536139,1.56548615,0.96282919,0.52904251,-0.49400262,-1.52572519,-0.15845492,-0.04830194
1.32019222,-0.43951200,1.59629695,0.62116909,0.53918232,-0.39777050,-1.50535226,-0.21865389,-0.05869389
1.55888133,-0.52931280,1.58335858,0.32040336,0.55059941,-0.26079569,-1.48454944,-0.25683491,-0.07102534
1.74654544,-0.59330980,1.57554062,0.07241280,0.52724260,-0.08806721,-1.46436951,-0.27501015,-0.08546679
1.87811694,-0.59550883,1.58575639,-0.12906868,0.44404442,0.11300747,-1.44692474,-0.27545406,-0.10045173
1.93422915,-0.52621189,1.58554785,-0.29354219,0.29980009,0.32194075,-1.43467762,-0.26024454,-0.11364104
1.90204839,-0.45269024,1.55251980,-0.42644236,0.12181692,0.50856468,-1.42939965,-0.23160793,-0.12292470
1.76031619,-0.43892330,1.47184104,-0.53406743,-0.03466222,0.64999920,-1.43106652,-0.19203622,-0.12743066
1.53458721,-0.49141603,1.31763045,-0.62822266,-0.12675737,0.74595408,-1.43754100,-0.14372117,-0.12798836
1.29755071,-0.54121986,1.10783893,-0.72230580,-0.17166225,0.81440949,-1.44623842,-0.08783051,-0.12591476
1.05321077,-0.49901130,0.90235658,-0.82148441,-0.20303660,0.86703591,-1.45579762,-0.02461702,-0.12158375
0.77869948,-0.37144270,0.70763713,-0.91941119,-0.22184674,0.90608887,-1.46555049,0.04571800,-0.11475287
0.50042913,-0.23093032,0.50701506,-1.00513338,-0.22359513,0.93016209,-1.47472301,0.12239180,-0.10525519
0.25608920,-0.13369756,0.31782802,-1.06794042,-0.22134269,0.92928919,-1.48278944,0.20380425,-0.09285536
0.06401618,-0.10812237,0.15727776,-1.09825604,-0.23227550,0.89235635,-1.48994619,0.28746064,-0.07705075
-0.08654757,-0.12834319,0.02524730,-1.09101513,-0.26213439,0.81839645,-1.49698214,0.37025769,-0.05735027
-0.20407681,-0.13550719,-0.08475489,-1.04791311,-0.31309571,0.71825234,-1.50493115,0.44915781,-0.03356654
-0.27905972,-0.11122830,-0.16784709,-0.97504262,-0.39771438,0.60369157,-1.51511121,0.52169070,-0.00558678
-0.31979563,-0.07519309,-0.21363731,-0.88010996,-0.52994289,0.48091443,-1.52931470,0.58605361,0.02705702
-0.33246170,-0.05089411,-0.23240674,-0.77014794,-0.70129426,0.35779455,-1.54936506,0.64108288,0.06503710
