ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.07309244,-0.16457351,-0.33289760,0.18055840,-0.11266467,0.01027167,-0.88722000,1.12956977,-0.18025093
-0.07556449,-0.26029226,-0.31452709,0.18521738,-0.09324787,-0.00251332,-0.89162472,1.11926970,-0.18420541
-0.10231694,-0.36600877,-0.29357457,0.19266928,-0.05600971,-0.01570301,-0.89666380,1.10511744,-0.19006831
-0.12764615,-0.42635050,-0.27594774,0.20520632,-0.02693274,-0.02494509,-0.90049963,1.09016817,-0.19688054
-0.13949964,-0.49585009,-0.24414330,0.22480868,-0.02734123,-0.03476662,-0.90391300,1.07402610,-0.20444316
-0.11117104,-0.56205450,-0.20141210,0.24638387,-0.04649215,-0.04972913,-0.90792901,1.05634425,-0.21238499
-0.04122828,-0.59466053,-0.16875317,0.26281895,-0.06665522,-0.07007456,-0.91297889,1.03713818,-0.22042361
0.01481336,-0.63384188,-0.14760810,0.27114832,-0.07810197,-0.09223652,-0.91896208,1.01677999,-0.22835566
0.03778519,-0.67759713,-0.13350569,0.26985027,-0.06717291,-0.10796438,-0.92524220,0.99586267,-0.23615984
0.06142356,-0.67425169,-0.13265556,0.25760526,-0.02656036,-0.10046877,-0.93051949,0.97524423,-0.24406436
0.10667718,-0.59403164,-0.14551982,0.24023625,0.02125156,-0.05578437,-0.93357452,0.95592566,-0.25222731
0.14853442,-0.47618280,-0.16154120,0.23486868,0.03886425,0.02281404,-0.93440323,0.93826346,-0.26051902
0.17525256,-0.37012462,-0.17859147,0.26526898,-0.01135619,0.12808039,-0.93455170,0.92116784,-0.26869440
0.16733847,-0.24008316,-0.19896161,0.36012730,-0.17748906,0.24915733,-0.93746569,0.90173474,-0.27630232
0.08621268,-0.06613488,-0.22886560,0.53822789,-0.45189086,0.33296627,-0.94809182,0.87499915,-0.28282948
-0.03558628,0.07652962,-0.34351991,0.78509785,-0.74667398,0.28150822,-0.97018426,0.83469956,-0.28840909
-0.11325493,0.16961640,-0.57950317,1.05665486,-0.97302570,0.02088827,-1.00477351,0.77501973,-0.29340081
-0.06170651,0.29719923,-0.86282506,1.27475632,-1.02488053,-0.40260200,-1.04877957,0.69353273,-0.29799469
0.06293698,0.53426943,-1.17655558,1.37576571,-0.91343524,-0.81606542,-1.09468126,0.59433541,-0.30228575
0.13074781,0.85693413,-1.37966556,1.40697874,-0.93238618,-1.07652734,-1.13934867,0.48500745,-0.30340113
0.21390653,1.09888807,-1.25177096,1.46059207,-1.36756754,-1.21401863,-1.19219454,0.36925262,-0.29235292
0.43461692,1.11017127,-0.90344655,1.52822866,-2.15003127,-1.36841593,-1.26787788,0.24627391,-0.25647929
0.68939788,0.92740846,-0.63409737,1.52659453,-2.96958172,-1.62051745,-1.37218685,0.11654438,-0.18617155
0.72694619,0.65346147,-0.53949894,1.42764078,-3.63386140,-1.95002724,-1.49883864,-0.01645111,-0.07838371
0.55855760,0.34711192,-0.45231448,1.27609694,-4.14020655,-2.30856584,-1.63707551,-0.14996438,0.06580615
0.47850806,0.09091540,-0.27848325,1.11716464,-4.47258808,-2.64206360,-1.77626325,-0.28371689,0.24289645
0.64817482,-0.04671714,-0.12908354,0.98190312,-4.55441161,-2.87903175,-1.90533976,-0.41797633,0.44489565
0.98960596,-0.11790745,-0.05593355,0.90610465,-4.35002902,-2.95021644,-2.01420462,-0.55190166,0.65905667
1.34582038,-0.22479884,0.00133820,0.91784014,-3.87728865,-2.80497511,-2.09680514,-0.68299342,0.87091765
1.64391320,-0.38249142,0.08202387,1.00471487,-3.18639100,-2.41657075,-2.15250965,-0.80641536,1.06726884
1.84003835,-0.52453875,0.19432178,1.10135822,-2.33792641,-1.83697150,-2.18524577,-0.91527027,1.23706649
2.02510984,-0.64318983,0.32733825,1.11693288,-1.43149512,-1.21579431,-2.20076319,-1.00354604,1.37105888
2.32720871,-0.76991265,0.50377438,0.97912548,-0.66709271,-0.68126205,-2.20506061,-1.06856770,1.46469389
2.55862184,-0.83807156,0.77141785,0.67605001,-0.20633026,-0.26204021,-2.20443503,-1.10999299,1.52114894
2.57200542,-0.79106550,1.05399932,0.26838586,-0.04306683,0.06020056,-2.20433988,-1.12854234,1.54856835
2.46606404,-0.69058695,1.22034466,-0.14584208,-0.06826220,0.30375629,-2.20803399,-1.12627264,1.55591518
2.30117279,-0.60495140,1.22800204,-0.48061040,-0.13966401,0.48471027,-2.21630693,-1.10673720,1.55053182
2.11031031,-0.50410523,1.08258779,-0.69281362,-0.12861601,0.61520420,-2.22768484,-1.07446595,1.53612767
1.93869688,-0.35314540,0.82369924,-0.78369491,0.01703113,0.70559752,-2.23927870,-1.03409587,1.51265120
1.74925470,-0.22774986,0.53854048,-0.78020701,0.26922938,0.77634357,-2.24822581,-0.98940598,1.47856344
1.51386590,-0.17623522,0.29275090,-0.71981450,0.56764469,0.85408090,-2.25272433,-0.94256566,1.43291949
1.26561401,-0.16311978,0.10601253,-0.64168515,0.85256377,0.94637248,-2.25217703,-0.89419369,1.37617493
1.02110353,-0.17562140,-0.01831659,-0.57857053,1.08572539,1.03636685,-2.24670875,-0.84414908,1.30996111
0.77726741,-0.20874244,-0.08898267,-0.54664332,1.24266515,1.10253466,-2.23678244,-0.79223531,1.23668463
0.52511827,-0.25519246,-0.11102184,-0.54435034,1.31282652,1.12728189,-2.22319238,-0.73865434,1.15960286
0.28798179,-0.31476210,-0.10329470,-0.56120879,1.32964621,1.11084204,-2.20670589,-0.68406287,1.08175648
0.11320233,-0.36596104,-0.11894370,-0.57812275,1.34897343,1.08121469,-2.18746197,-0.62905935,1.00426088
-0.01305553,-0.39748264,-0.18417183,-0.57348967,1.39556303,1.05920620,-2.16500781,-0.57410666,0.92666315
-0.15159034,-0.43310501,-0.26662207,-0.53950170,1.47137221,1.03303971,-2.13864224,-0.52018886,0.84831413
-0.27312759,-0.47022634,-0.32241844,-0.50063641,1.54472013,1.00370630,-2.11665709,-0.48074659,0.78900311
