ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.22090904,-0.52359835,-0.34731645,-0.61103819,-0.00979250,-0.33791440,0.80007131,1.04056815,-0.28494215
0.34410184,-0.30232329,-0.40815477,-0.62171084,-0.07771431,-0.36363566,0.79281401,1.07286109,-0.27011173
0.43937870,-0.15756862,-0.44742221,-0.65126515,-0.20425607,-0.40796686,0.77942439,1.11710505,-0.25038993
0.48941861,-0.01083349,-0.46796711,-0.70061026,-0.34897674,-0.47924323,0.75923433,1.16416291,-0.23042748
0.39665104,0.16643928,-0.57914532,-0.74836308,-0.31477819,-0.58966592,0.73435072,1.21494353,-0.20837722
0.14161033,0.28316265,-0.93183810,-0.76632106,0.09354763,-0.70612224,0.71545570,1.26859498,-0.18007510
0.02842041,0.49867804,-1.44456780,-0.71864035,0.76613845,-0.72479312,0.71598950,1.32175509,-0.14222201
0.22541107,1.03108423,-1.84164119,-0.54160801,1.45636143,-0.49828556,0.74398011,1.36682722,-0.09682227
0.60605587,1.79712976,-1.97528763,-0.20702785,1.99116160,0.05308349,0.80195548,1.39167467,-0.05116678
1.04126907,2.45450524,-1.81460585,0.20942256,2.25240571,0.82056806,0.88707857,1.38513123,-0.01333501
1.37684648,2.74396181,-1.42407740,0.59453968,2.23701311,1.59928042,0.99065062,1.34306075,0.01238645
1.38289232,2.64068801,-0.97736457,0.88178806,2.08196853,2.25151925,1.10251854,1.26837947,0.02704991
0.93442395,2.27323051,-0.63093516,1.06213915,1.96293905,2.71147231,1.21601285,1.16771352,0.03608936
0.12146243,1.77851843,-0.43446967,1.16111079,1.97711609,2.95015552,1.32894164,1.04873271,0.04742975
-0.81272267,1.21350286,-0.31021611,1.21425400,2.04312010,2.96901129,1.44011987,0.91874836,0.06770391
-1.62280732,0.60730789,-0.08905279,1.25661138,1.97265480,2.78170357,1.54445719,0.78412836,0.09718714
-2.16551256,-0.04397798,0.28859578,1.30995766,1.68072029,2.41834293,1.63349237,0.65022133,0.12930965
-2.39509959,-0.74460711,0.69832635,1.37125493,1.22172824,1.94368298,1.70041688,0.52136742,0.15556127
-2.38520649,-1.36987900,1.02223630,1.42335430,0.68872828,1.45004537,1.74277496,0.40056354,0.16986241
