ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.56623939,0.74068725,-1.62019340,0.53882619,0.81834440,0.28121478,0.99727491,-0.11401375,-0.44415691
0.58459549,0.93569124,-1.51739336,0.73853018,0.97048898,0.44275059,1.02512582,-0.15451259,-0.42509050
0.64968726,1.10918145,-1.30835897,0.98433694,1.10270311,0.67966960,1.06530617,-0.22209741,-0.39413222
0.64633304,1.17291719,-1.12190289,1.18562308,1.13625425,0.92144561,1.10667425,-0.30819836,-0.35542571
0.55966424,1.09596888,-0.88237051,1.33365787,1.10286159,1.12185675,1.14499742,-0.40895310,-0.30966454
0.40703817,0.89862434,-0.56820766,1.43828389,1.00615550,1.24907672,1.17733741,-0.51983983,-0.25766128
0.12414718,0.65715359,-0.24250116,1.51772620,0.86419717,1.29958101,1.20148678,-0.63696841,-0.20050023
-0.29382145,0.39325461,0.06320467,1.56536089,0.74610674,1.27788504,1.21752383,-0.75694750,-0.13847710
-0.73246533,0.11122833,0.32851136,1.54999182,0.66137753,1.17766326,1.22782874,-0.87511097,-0.07185211
-1.04767920,-0.16685377,0.62295256,1.46461801,0.54501242,1.00853611,1.23402045,-0.98570221,-0.00322901
-1.21639420,-0.41892775,0.96651659,1.33121595,0.36856673,0.81003876,1.23583646,-1.08438446,0.06282941
-1.31914896,-0.62730928,1.27307728,1.16437672,0.17546718,0.62005511,1.23290358,-1.16911980,0.12216618
-1.41595394,-0.74775659,1.47133823,0.96278494,0.02525583,0.45374639,1.22627659,-1.23889909,0.17212694
-1.49470179,-0.72734484,1.57965468,0.73060397,-0.06347900,0.31167467,1.21808193,-1.29288466,0.21116646
-1.52967807,-0.59822872,1.65887877,0.48917182,-0.12317791,0.19548427,1.20988052,-1.33095793,0.23830790
-1.52871159,-0.46176939,1.74439167,0.25622832,-0.21246264,0.09928035,1.20140918,-1.35404397,0.25263746
-1.49483215,-0.40103743,1.82735671,0.03107159,-0.36570281,0.00612195,1.19085256,-1.36309296,0.25272005
-1.39138047,-0.41732663,1.86035097,-0.18769367,-0.56067792,-0.07700134,1.17624281,-1.35860709,0.23730263
-1.22474545,-0.40322724,1.80308067,-0.39794195,-0.76992370,-0.13111760,1.15606693,-1.34124715,0.20635146
-1.08492855,-0.33131006,1.66680136,-0.60361191,-0.97650974,-0.17844332,1.12931197,-1.31146654,0.16070307
-1.03050620,-0.33700525,1.46185233,-0.81083347,-1.13206226,-0.26242786,1.09667303,-1.26863633,0.10203500
-1.04099526,-0.43859588,1.17746051,-1.01749912,-1.18421908,-0.39113311,1.06124292,-1.21140241,0.03342699
-1.05722042,-0.49752825,0.83722182,-1.20711452,-1.11929508,-0.53691641,1.02716655,-1.13913722,-0.04076151
-1.04542868,-0.47421406,0.48018100,-1.36003185,-0.94712839,-0.67606013,0.99827908,-1.05288649,-0.11549262
