ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.07129869,-0.73745483,-0.15440626,0.08752543,-0.06403938,-0.35487900,1.00056006,0.52506102,-0.39114749
-0.08790710,-0.77244496,-0.13889459,0.06545106,0.00381562,-0.31339122,0.99735049,0.52442396,-0.39299285
-0.08189361,-0.82045674,-0.11014046,0.03552527,0.07422280,-0.26232014,0.99541436,0.52437652,-0.39402121
-0.03955117,-0.87764229,-0.06483161,0.00317721,0.11382470,-0.22529241,0.99607436,0.52574485,-0.39333298
0.00652287,-0.94580790,-0.01908280,-0.03358551,0.13020040,-0.20870365,0.99804626,0.52903046,-0.39147074
0.02703246,-1.02481036,0.00535817,-0.07479351,0.12665000,-0.21175946,1.00033871,0.53484060,-0.38878439
0.04620800,-1.10491401,0.01957611,-0.12116724,0.08807404,-0.22989648,1.00168638,0.54373372,-0.38577124
0.12542242,-1.15370541,0.04432372,-0.17459605,0.00987716,-0.25943418,1.00035558,0.55629332,-0.38314528
0.27819553,-1.14347902,0.07072654,-0.23374556,-0.08481885,-0.29751276,0.99505871,0.57309482,-0.38134076
0.43039522,-1.10060389,0.08301097,-0.29761339,-0.17088318,-0.33496174,0.98558387,0.59450688,-0.38021649
0.51148867,-1.06447405,0.08068436,-0.37410685,-0.22508932,-0.35477246,0.97273345,0.62090293,-0.37902917
0.51151513,-1.00131361,0.04409302,-0.48100322,-0.18257589,-0.33136429,0.95926756,0.65325008,-0.37579489
0.42322216,-0.83008020,-0.09807728,-0.62078428,0.00851239,-0.24647140,0.95093996,0.69300275,-0.36678475
0.32841089,-0.52032493,-0.32426366,-0.74926560,0.26132119,-0.12345484,0.95295842,0.74022463,-0.34887902
0.44709969,-0.14409896,-0.46976510,-0.81108060,0.43460100,-0.00566470,0.96504155,0.79185172,-0.32277037
0.83723767,0.24612172,-0.50863837,-0.79542444,0.48115345,0.08655766,0.98254031,0.84302067,-0.29233160
1.30308195,0.69142941,-0.56005546,-0.72209053,0.43841129,0.14423136,1.00068963,0.88964683,-0.26180136
1.63924845,1.12154993,-0.68075589,-0.60975337,0.36023958,0.16602678,1.01673073,0.92924700,-0.23422744
1.73197485,1.39982631,-0.85994369,-0.46395409,0.24333027,0.16994283,1.02913238,0.96015603,-0.21191787
1.60505045,1.55097707,-1.02632972,-0.26606857,0.03913088,0.15638590,1.03531330,0.98017536,-0.19814778
1.38232675,1.55066304,-1.11150910,0.01141575,-0.27885042,0.09461837,1.03086808,0.98577608,-0.19778990
1.14781130,1.32916440,-1.11489728,0.37424873,-0.71687711,-0.03398743,1.01027042,0.97251503,-0.21614854
0.91973182,0.99973932,-1.03210663,0.79645329,-1.23806092,-0.23185822,0.96813842,0.93618691,-0.25668443
0.69373230,0.65261988,-0.86048247,1.22411149,-1.75486059,-0.48631167,0.90156955,0.87426178,-0.31825820
0.49184655,0.32268314,-0.62709067,1.59285417,-2.20691242,-0.76253842,0.81110842,0.78705478,-0.39442883
0.32539189,0.04338513,-0.35291280,1.85194065,-2.56710952,-1.02956868,0.69977700,0.67811041,-0.47550948
0.19207956,-0.23361253,-0.08189895,1.98142408,-2.81337145,-1.26517514,0.57254687,0.55360275,-0.55133555
0.14136234,-0.51844412,0.15893080,1.99675422,-2.93693997,-1.44247780,0.43572514,0.42060523,-0.61382934
0.22785176,-0.76859876,0.39443558,1.93046104,-2.88240398,-1.52783230,0.29729054,0.28531225,-0.65834724
0.46451187,-0.95577302,0.59983111,1.81164420,-2.60245743,-1.45215633,0.16791372,0.15253431,-0.68376853
0.71962610,-0.96816242,0.80718122,1.65511955,-2.17044165,-1.12952606,0.05718696,0.02629575,-0.69231423
0.83158979,-0.80556015,1.08758105,1.45862764,-1.65752253,-0.57524673,-0.03043306,-0.08907481,-0.68854535
0.83288365,-0.79747835,1.31966823,1.22238030,-1.07882528,0.06752192,-0.09345966,-0.18880144,-0.67780972
0.78991878,-1.09816369,1.41545830,0.95987383,-0.51339478,0.64531510,-0.13221271,-0.26918578,-0.66504935
0.69751291,-1.44799465,1.46574297,0.68869454,-0.08391710,1.07554001,-0.15100179,-0.32868872,-0.65381286
0.55291659,-1.62662486,1.51951319,0.42678255,0.17438327,1.32710665,-0.15694516,-0.36774061,-0.64587992
0.37471331,-1.65969649,1.53375401,0.18356211,0.33046936,1.39461707,-0.15536129,-0.38807983,-0.64181354
0.17590831,-1.64729620,1.47957762,-0.05477151,0.46193947,1.30648889,-0.14762620,-0.39128954,-0.64174872
-0.02970022,-1.58619746,1.38329055,-0.31916911,0.60365244,1.13216268,-0.13286057,-0.37701461,-0.64582575
-0.21628317,-1.42073544,1.26692326,-0.62822816,0.77229375,0.95072836,-0.10964113,-0.34268307,-0.65404642
-0.33781748,-1.17653140,1.12083798,-0.96806113,0.96875886,0.80546137,-0.07654734,-0.28527430,-0.66560349
-0.34255770,-0.92118317,0.95022018,-1.29924672,1.15542644,0.69604124,-0.03314460,-0.20370055,-0.67823954
-0.21978344,-0.68286859,0.79528516,-1.58663352,1.27715250,0.61042572,0.01875649,-0.09975712,-0.68842369
-0.00727435,-0.43792930,0.66764016,-1.81796730,1.31168899,0.55767790,0.07538757,0.02288950,-0.69233021
0.20746077,-0.14027956,0.52041338,-1.99093700,1.29248924,0.55341218,0.13327791,0.15984562,-0.68673284
0.35873908,0.21340765,0.30859063,-2.09534133,1.25636239,0.58515086,0.19084568,0.30605133,-0.66942476
0.44844256,0.55745131,0.04634660,-2.10038604,1.19320491,0.60202665,0.24716565,0.45491237,-0.63980744
0.50223367,0.76669705,-0.19684609,-1.97316652,1.08066402,0.55384576,0.30011950,0.59767592,-0.59988519
0.50780314,0.79803525,-0.37484733,-1.72048131,0.92539191,0.44300553,0.34681346,0.72514659,-0.55441797
0.46673201,0.76619711,-0.47680414,-1.48044323,0.79628150,0.34163801,0.37786045,0.81053119,-0.51944660
