ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.24796011,0.17193517,-0.67132123,-0.07287584,-0.11819474,0.27923649,-2.00256959,0.78789990,0.69939452
-0.58011077,0.46644213,-0.85093155,0.01569282,-0.07401112,0.32738328,-2.00294413,0.79343895,0.70326464
-0.87102170,0.67077817,-1.02221965,0.18152790,0.06916099,0.39706530,-2.00062334,0.79759070,0.70196986
-1.23189009,0.80593366,-1.27340104,0.41797579,0.35236974,0.46565544,-1.99166813,0.79479508,0.68602317
-1.65768264,0.89088756,-1.63290326,0.71713897,0.78999842,0.51508034,-1.97190188,0.78134562,0.64748450
-1.96402771,0.90036279,-1.98818822,1.06806255,1.36761281,0.54338079,-1.93677342,0.75301466,0.57953276
-2.13592343,0.94803375,-2.21462165,1.45354184,2.03751438,0.57663598,-1.88169247,0.70567418,0.47863618
-2.15826501,1.10910525,-2.20861041,1.83053481,2.72271015,0.66081755,-1.80263287,0.63674408,0.34671738
-2.02032616,1.43871539,-1.95995071,2.13966158,3.30767774,0.83467388,-1.69777254,0.54694546,0.19268261
-1.85217184,1.90881865,-1.50493164,2.35429088,3.67035287,1.07595789,-1.56997082,0.43981333,0.03152124
-1.80762691,2.35733611,-0.91849282,2.50175103,3.75072445,1.30678435,-1.42764303,0.31839339,-0.12006607
-1.87477219,2.59274657,-0.30324357,2.61766057,3.56098520,1.44801880,-1.28267321,0.18330102,-0.24843978
-1.92140396,2.49373599,0.27366612,2.70387813,3.13181490,1.44617862,-1.14768842,0.03435187,-0.34469897
-1.81823751,2.05587618,0.79527427,2.74088154,2.47658557,1.28367469,-1.03466246,-0.12685530,-0.40391674
-1.58615197,1.34797335,1.26712198,2.71379710,1.62714882,0.97106349,-0.95377875,-0.29613078,-0.42430990
-1.31322172,0.45435838,1.67415574,2.62205063,0.73276960,0.53683321,-0.90980036,-0.46785761,-0.40757728
-0.98479581,-0.47438992,1.90620223,2.47483454,0.03196358,0.05724132,-0.89731638,-0.63654890,-0.35984465
-0.61839030,-1.12910413,1.89024660,2.27461431,-0.35147604,-0.34415688,-0.90283460,-0.79697871,-0.29084146
-0.30805682,-1.22599775,1.75687155,2.01949359,-0.46471257,-0.58244147,-0.91327582,-0.94363918,-0.21135041
-0.07163489,-0.84372069,1.65119233,1.72247873,-0.38775717,-0.65541467,-0.92062085,-1.07165745,-0.13133097
