ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.37502566,-0.79317744,-0.12809572,-0.20850661,-0.14553501,-0.57456378,-2.04532921,0.72036524,0.73183851
-0.32340372,-0.83987198,-0.13194021,-0.22795145,-0.17614691,-0.67279292,-2.05451859,0.71066834,0.74218428
-0.22883946,-0.86296258,-0.14810183,-0.25294459,-0.22289245,-0.80620709,-2.06828208,0.69555100,0.75767718
-0.14003776,-0.79533543,-0.16176863,-0.27431307,-0.28598538,-0.94229802,-2.08451416,0.67697319,0.77616459
-0.07743471,-0.65010931,-0.16857152,-0.28604940,-0.37498085,-1.08304622,-2.10363256,0.65441306,0.79848481
-0.01675773,-0.49016914,-0.18152406,-0.28183632,-0.49794975,-1.23613501,-2.12625408,0.62691435,0.82580919
0.04449756,-0.34744099,-0.21341279,-0.25312185,-0.64223047,-1.41266000,-2.15295978,0.59288101,0.85927088
0.09379350,-0.18324513,-0.29336639,-0.18388589,-0.76960044,-1.61102853,-2.18353166,0.54999522,0.89861856
0.10982262,0.06440400,-0.44269707,-0.05117956,-0.86069782,-1.81180133,-2.21668687,0.49559827,0.94190651
0.06637060,0.36085709,-0.64878724,0.17329755,-0.91897220,-1.98747132,-2.25071734,0.42697721,0.98689863
-0.01122355,0.61633428,-0.88726967,0.49971796,-0.93820625,-2.10124344,-2.28368966,0.34200467,1.03175754
-0.02916895,0.85446463,-1.13645180,0.91131396,-0.91027849,-2.11539653,-2.31344093,0.24040888,1.07537052
0.06789873,1.14643258,-1.36883725,1.39493511,-0.79336679,-1.99887200,-2.33768074,0.12408272,1.11700492
0.23281742,1.48005054,-1.54010028,1.92422764,-0.51211090,-1.71729390,-2.35354368,-0.00304502,1.15394066
0.44676839,1.83982820,-1.59179203,2.41825428,-0.08363249,-1.25252927,-2.35856656,-0.13419777,1.18209359
0.72769702,2.21645947,-1.46917553,2.77588642,0.35779675,-0.64749021,-2.35320086,-0.26007579,1.20051439
0.95214685,2.51471550,-1.14968409,2.95105679,0.71444988,0.00257667,-2.34102663,-0.37178934,1.21209277
0.90013773,2.63158458,-0.66684059,2.95899139,0.97118102,0.60276718,-2.32616381,-0.46380955,1.21948756
0.56723135,2.54653856,-0.06190337,2.81342824,1.06837079,1.08078398,-2.31209664,-0.53424759,1.22466932
0.23232635,2.23378622,0.66502291,2.49651843,0.88483164,1.37491441,-2.30294505,-0.58321055,1.23305606
0.11649775,1.56839844,1.44424258,1.99701457,0.41418223,1.44573238,-2.30313671,-0.61160860,1.25295902
0.18024861,0.51306550,2.03670717,1.36166086,-0.11937496,1.31473650,-2.31405572,-0.62120316,1.28769239
0.26087941,-0.65079849,2.20778274,0.69345785,-0.42678236,1.06126839,-2.33173669,-0.61511379,1.32945467
0.22651379,-1.56116659,1.98169082,0.09416776,-0.41023874,0.76636975,-2.34922466,-0.59773895,1.36353888
0.08273201,-2.09286935,1.59720231,-0.38211001,-0.17302867,0.48395640,-2.36100141,-0.57363767,1.37818992
-0.03598718,-2.24737978,1.24811532,-0.72751548,0.16549274,0.25916559,-2.36463005,-0.54593226,1.36873575
-0.02367006,-2.05774189,0.96703502,-0.95873320,0.54659454,0.12367792,-2.35951742,-0.51548002,1.33485490
