ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.07152511,0.35115240,-0.47066537,0.20917450,0.05551288,0.64386207,1.47859489,0.40714696,-0.09037504
-0.07138887,0.34155825,-0.45345053,0.29924660,-0.03718669,0.57361191,1.47928323,0.38416665,-0.09428068
-0.07701812,0.26138677,-0.46033770,0.38488151,-0.14540903,0.46845429,1.47690845,0.35132542,-0.10231042
-0.07030575,0.12638118,-0.47840377,0.43343662,-0.24257768,0.34832454,1.46995011,0.31688545,-0.11385772
-0.05395121,-0.00319720,-0.47160234,0.46314723,-0.34600514,0.22434999,1.45854588,0.28269691,-0.12835512
-0.04692713,-0.09819912,-0.43819936,0.48255231,-0.47318427,0.11558648,1.44221730,0.24942872,-0.14599089
-0.01652444,-0.14782876,-0.38990778,0.49343268,-0.64786600,0.03607026,1.41968890,0.21707140,-0.16763531
0.04137662,-0.18669859,-0.33117626,0.49782348,-0.86506010,-0.02197116,1.38913388,0.18541688,-0.19444551
0.09175862,-0.25160418,-0.28100531,0.50108037,-1.07434557,-0.07525268,1.34972083,0.15432622,-0.22656358
0.15970766,-0.30113585,-0.27596445,0.51323094,-1.23870084,-0.12355648,1.30243502,0.12335756,-0.26261215
0.26141362,-0.31205393,-0.31412745,0.54575617,-1.37121112,-0.15603097,1.24876517,0.09123269,-0.30086309
0.37601893,-0.31297759,-0.36377017,0.60802611,-1.51777050,-0.16582126,1.18899403,0.05582764,-0.34040348
0.51337848,-0.30454325,-0.41749425,0.70810576,-1.72860708,-0.16068096,1.12134136,0.01438879,-0.38135142
0.67557616,-0.28730443,-0.46488410,0.85059758,-2.03142915,-0.17005895,1.04228311,-0.03605703,-0.42413673
0.85627207,-0.26117739,-0.47950313,1.03506393,-2.42486642,-0.23313279,0.94767708,-0.09822546,-0.46833671
1.03693955,-0.20342911,-0.44508616,1.25603721,-2.85239739,-0.36351224,0.83457553,-0.17445602,-0.51151454
1.21263744,-0.06187500,-0.43200210,1.51115839,-3.19390164,-0.51309189,0.70422963,-0.26727120,-0.54821228
1.48280648,0.19097776,-0.57045107,1.80267834,-3.36323679,-0.61038431,0.56300656,-0.37992341,-0.57057602
1.84978638,0.48761173,-0.80898400,2.11914662,-3.39905356,-0.64545773,0.41860429,-0.51526789,-0.57075719
2.08607206,0.79072554,-0.92277873,2.42424503,-3.40697987,-0.69056913,0.27591343,-0.67334397,-0.54267619
2.02042157,1.09339386,-0.79298296,2.66057611,-3.43075820,-0.81275551,0.13736613,-0.84972473,-0.48254727
1.70086054,1.29802549,-0.52670843,2.76836904,-3.42358445,-0.97014649,0.00604306,-1.03552249,-0.38991310
1.23310586,1.35508208,-0.30328171,2.72236922,-3.33796262,-1.05991697,-0.11407284,-1.21929046,-0.26907715
0.76120889,1.27047822,-0.14439139,2.54780246,-3.13736097,-1.03494789,-0.21984556,-1.39041546,-0.12876185
0.49833348,0.94131106,-0.04643385,2.30903094,-2.78521616,-0.92667705,-0.30849675,-1.54222528,0.02049078
0.46141641,0.37932522,-0.03707621,2.08896821,-2.35930056,-0.80353724,-0.37824819,-1.67367895,0.17052223
0.51490660,-0.13054221,0.02174577,1.92946127,-1.99886994,-0.69640944,-0.43098474,-1.78812035,0.31837530
0.59689595,-0.37316775,0.18011256,1.79977821,-1.72656360,-0.56998048,-0.47154435,-1.88896725,0.46373827
0.64995094,-0.38785583,0.29272437,1.65554030,-1.48440015,-0.38999648,-0.50467323,-1.97701734,0.60467876
0.64808661,-0.31408799,0.33420108,1.49037339,-1.24647152,-0.18516193,-0.53361199,-2.05181790,0.73761082
0.62509712,-0.32738263,0.39107211,1.31862348,-1.02648107,-0.02888782,-0.55964352,-2.11384063,0.85966251
0.60557949,-0.48354024,0.48574574,1.14285993,-0.84569438,0.04625226,-0.58246344,-2.16457448,0.96920425
0.58912301,-0.59862230,0.58214470,0.95637167,-0.70823179,0.07494560,-0.60183963,-2.20536677,1.06484092
0.56679908,-0.55902393,0.65137754,0.76069147,-0.59094800,0.09443738,-0.61826809,-2.23706264,1.14507793
0.57127367,-0.47506570,0.68972910,0.56524945,-0.46037201,0.11853306,-0.63219220,-2.26041909,1.20875016
0.59836428,-0.47707799,0.70918517,0.37260668,-0.29478169,0.16023256,-0.64377931,-2.27615384,1.25505659
0.57158341,-0.56556490,0.71689886,0.17390098,-0.08931445,0.23238217,-0.65336010,-2.28453053,1.28289693
0.50915678,-0.62837613,0.70525748,-0.03463298,0.14232602,0.33214808,-0.66147648,-2.28527874,1.29075616
0.48788656,-0.62317082,0.67665085,-0.24052575,0.36924185,0.44201715,-0.66858059,-2.27813619,1.27796825
0.49519783,-0.61946447,0.64821679,-0.42774497,0.56402074,0.53981997,-0.67482899,-2.26331704,1.24578802
0.49953912,-0.63227174,0.62219871,-0.59279833,0.71824819,0.60996073,-0.67996997,-2.24138042,1.19676771
0.49848443,-0.62184354,0.58926875,-0.74360396,0.83804042,0.65411313,-0.68346567,-2.21275737,1.13336722
0.46622231,-0.58859102,0.54657279,-0.88755105,0.93994044,0.68644950,-0.68480322,-2.17744516,1.05729161
0.38992495,-0.54968100,0.49214245,-1.02458642,1.04533169,0.72040892,-0.68354395,-2.13510968,0.96976283
0.30530476,-0.52217225,0.42341315,-1.15134485,1.17419285,0.76248206,-0.67902653,-2.08535718,0.87194157
0.22262242,-0.52393666,0.33126957,-1.26344289,1.32894817,0.80517653,-0.67015973,-2.02796264,0.76519984
0.14148584,-0.54430235,0.22519761,-1.35289331,1.48097905,0.82637848,-0.65565323,-1.96320733,0.65166188
0.10024612,-0.54975972,0.14471940,-1.41461227,1.59045217,0.81013010,-0.63464324,-1.89206784,0.53449447
0.09122343,-0.53686033,0.11116673,-1.45330439,1.63539494,0.75640555,-0.60725932,-1.81584677,0.41722137
0.08125878,-0.52925167,0.10978327,-1.47415040,1.63626764,0.69871126,-0.58378884,-1.75653427,0.33024851
