ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.21411204,-0.53944875,-0.27062605,-0.04978557,0.18242897,-0.45450646,-1.59916467,1.11088149,0.36805898
-0.23883941,-0.54610947,-0.25392565,-0.04965414,0.20108902,-0.46443115,-1.60122970,1.10251836,0.36431052
-0.21520594,-0.55467863,-0.24298908,-0.05821461,0.22230229,-0.47242889,-1.60348504,1.09147008,0.35889342
-0.11463603,-0.56997718,-0.23305596,-0.07553909,0.22412543,-0.47195394,-1.60529902,1.08100803,0.35348964
-0.00432004,-0.55563411,-0.21318790,-0.09399953,0.20189760,-0.45920390,-1.60727363,1.07163441,0.34911245
0.06516888,-0.48703976,-0.19556253,-0.10858055,0.17146710,-0.43558266,-1.60977663,1.06356609,0.34630177
0.09840238,-0.37982093,-0.20382990,-0.11714801,0.14246113,-0.41588422,-1.61282491,1.05663770,0.34493862
0.08213213,-0.22910562,-0.24745410,-0.11351973,0.10771269,-0.41296770,-1.61665669,1.05012137,0.34477966
0.00666598,-0.03413848,-0.32158102,-0.08366390,0.07444240,-0.41618661,-1.62160264,1.04273349,0.34532847
-0.07496265,0.16916085,-0.42718976,-0.01483807,0.08251910,-0.40303895,-1.62694000,1.03288478,0.34472726
-0.12327252,0.36689813,-0.57763288,0.09367733,0.18080566,-0.35842039,-1.63016306,1.01907883,0.33921692
-0.18870736,0.61334307,-0.79213719,0.23668044,0.39971969,-0.27234158,-1.62727000,1.00027805,0.32379772
-0.34067769,0.98222751,-1.08324688,0.42351262,0.74993216,-0.14748620,-1.61342283,0.97539468,0.29296644
-0.55569314,1.46444885,-1.45009112,0.69323122,1.20085814,0.00875651,-1.58385983,0.94156805,0.24130329
-0.75127526,1.96186825,-1.79468911,1.09414908,1.65264589,0.20407125,-1.53564139,0.89275284,0.16542661
-0.87179605,2.38946232,-1.93629556,1.63063846,1.98297286,0.44490902,-1.46948013,0.82032432,0.06689046
-0.89278986,2.74428003,-1.78802320,2.23176369,2.11445255,0.72573207,-1.39019378,0.71625619,-0.04619637
-0.87333202,3.05825163,-1.38879214,2.77597398,2.05353103,1.01947687,-1.30537437,0.57745869,-0.16035597
-0.90915616,3.27156381,-0.86083016,3.15501997,1.88669697,1.27322086,-1.22259164,0.40807951,-0.26105363
