ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-1.38513173,0.43377999,-1.26695166,0.60730112,-0.00572621,-0.30142442,-1.52776525,0.49366743,-0.00217401
-1.40943271,0.50674560,-1.32505974,0.77385131,0.14506124,-0.35381751,-1.52745887,0.45347695,-0.01225514
-1.44228295,0.62601552,-1.48136042,1.04421171,0.36886123,-0.41876748,-1.52154452,0.38829467,-0.03167588
-1.38880942,0.72218730,-1.61309660,1.37161626,0.59559327,-0.46656376,-1.50688348,0.30341905,-0.05918942
-1.23910236,0.82338015,-1.61744209,1.72890299,0.80274403,-0.47809242,-1.48333809,0.19640281,-0.09178082
-1.06737523,0.99323017,-1.52453049,2.08373812,1.01262208,-0.44063938,-1.45080645,0.06691387,-0.12498142
-0.89865240,1.21443154,-1.37741960,2.40052768,1.24815522,-0.35554507,-1.40849291,-0.08303831,-0.15421067
-0.72686450,1.46044270,-1.18576681,2.66182795,1.50557001,-0.23513083,-1.35564367,-0.24965712,-0.17499635
-0.62883035,1.73737924,-0.94785186,2.87011142,1.75624171,-0.09569671,-1.29251652,-0.42879148,-0.18283071
-0.70877501,2.04702481,-0.64077273,3.01200643,1.94174136,0.03928158,-1.22143293,-0.61607278,-0.17302754
-0.89100198,2.32172714,-0.25694326,3.05665688,2.01997374,0.13838024,-1.14678008,-0.80578711,-0.14183926
-1.00139638,2.43153438,0.15775224,2.98934008,1.97807432,0.17287049,-1.07340201,-0.99105760,-0.08843998
-0.95084383,2.24771896,0.59284331,2.81797395,1.78079193,0.13180971,-1.00604627,-1.16537604,-0.01500099
-0.64548386,1.73866046,1.09357086,2.54337300,1.41464580,0.04408623,-0.94959942,-1.32302515,0.07388473
-0.04302890,1.04343595,1.63750881,2.15620331,0.94367268,-0.02691324,-0.90803159,-1.45816564,0.17025493
0.66180639,0.39904276,2.08807667,1.68648916,0.46090440,-0.03972829,-0.88314798,-1.56575930,0.26356136
1.17158984,0.02691421,2.32669825,1.20603864,0.06089839,-0.00738567,-0.87386277,-1.64438359,0.34453278
1.36002144,-0.01468891,2.34961734,0.76751991,-0.16970520,0.04645605,-0.87605197,-1.69655625,0.40740310
1.32424434,0.11670412,2.21166465,0.37855784,-0.19221703,0.11865614,-0.88382553,-1.72602850,0.44869117
1.19666517,0.25125501,2.00145860,0.02542810,-0.04135529,0.19909084,-0.89149718,-1.73570845,0.46586870
1.06563082,0.33136955,1.82715144,-0.30348239,0.18795844,0.26784746,-0.89511166,-1.72745307,0.45776614
0.97778383,0.35332965,1.74145507,-0.61401787,0.39144945,0.32401190,-0.89341847,-1.70233996,0.42541629
0.91527487,0.33539830,1.72437248,-0.91078365,0.50756620,0.37992427,-0.88780307,-1.66069373,0.37185716
0.86542708,0.29447516,1.72364296,-1.19897312,0.52706764,0.43755845,-0.88091559,-1.60214638,0.30100950
0.82292879,0.23918130,1.69589264,-1.48239454,0.46048797,0.48488113,-0.87530896,-1.52593751,0.21689882
0.74656772,0.18513184,1.62990593,-1.76234835,0.31316389,0.50845780,-0.87321289,-1.43126265,0.12375579
0.62091758,0.13598454,1.52947864,-2.03661015,0.10605148,0.50290672,-0.87661142,-1.31741290,0.02612368
0.48210832,0.09312782,1.38392379,-2.28920175,-0.11964774,0.45474558,-0.88655123,-1.18436184,-0.07119140
0.33489781,0.07373687,1.17353282,-2.48249508,-0.34623448,0.33732418,-0.90289803,-1.03439611,-0.16258941
0.14553797,0.09123948,0.89903088,-2.57295804,-0.58663440,0.13800660,-0.92550404,-0.87339022,-0.24148103
-0.10915086,0.13804707,0.57586570,-2.52343342,-0.84491560,-0.12973312,-0.95521617,-0.71074492,-0.30146519
-0.41675940,0.20335628,0.19835737,-2.31326450,-1.07279266,-0.41623152,-0.99267959,-0.55830617,-0.33860606
-0.67585714,0.33144073,-0.22428578,-1.96935930,-1.18597391,-0.63540911,-1.03602767,-0.42724152,-0.35371622
-0.73221538,0.53820523,-0.62319640,-1.56892797,-1.16124813,-0.71152964,-1.08106759,-0.32358680,-0.35217190
-0.55175668,0.72798465,-0.91441727,-1.19796897,-1.06863560,-0.62611976,-1.12427125,-0.24623731,-0.34060062
-0.28360587,0.83760515,-1.05974215,-0.90999625,-0.97788110,-0.42159114,-1.16470535,-0.18888412,-0.32377209
