ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.21041116,-0.51099624,-0.49787837,0.15060587,0.31493325,0.24339485,1.18867955,0.60476493,-0.25830867
0.18967220,-0.50423252,-0.43236504,0.16956177,0.33382488,0.29071332,1.19911672,0.59253740,-0.25509482
0.15468318,-0.53405335,-0.33135864,0.18857823,0.32662372,0.33301625,1.21319672,0.57474779,-0.25095296
0.09976387,-0.61554876,-0.22963327,0.19508325,0.27919542,0.33506038,1.22624285,0.55567727,-0.24759258
0.01555536,-0.72925664,-0.15173342,0.18840990,0.21788803,0.28868657,1.23681027,0.53698967,-0.24553586
-0.07960192,-0.85655978,-0.11456479,0.17145253,0.17003463,0.19952932,1.24462836,0.52030746,-0.24459808
-0.13795093,-0.96748999,-0.10681440,0.14748898,0.13643360,0.09442860,1.25013916,0.50677531,-0.24427394
-0.13060633,-1.01240755,-0.09815939,0.12107131,0.10189307,0.01093774,1.25368075,0.49664467,-0.24435831
-0.07482739,-0.97993048,-0.07725264,0.09430227,0.05820631,-0.03458951,1.25526394,0.48938894,-0.24503944
-0.00536689,-0.91650375,-0.05196154,0.06194518,0.01289399,-0.05566432,1.25484149,0.48458116,-0.24649317
0.04304884,-0.86299524,-0.04240480,0.01620599,-0.01774502,-0.07933267,1.25272922,0.48265032,-0.24841758
0.05813893,-0.82656645,-0.07243413,-0.03678148,-0.01743585,-0.12480032,1.24976394,0.48457438,-0.25000363
0.07589515,-0.77144092,-0.16082295,-0.07807444,0.01110546,-0.17947577,1.24707468,0.49051939,-0.25041835
0.13523024,-0.62480711,-0.28327851,-0.10027466,0.03019197,-0.22296817,1.24507511,0.49940573,-0.24961023
0.25277124,-0.36848163,-0.39951828,-0.09688261,0.03161366,-0.25019700,1.24315112,0.50962041,-0.24837317
0.41713907,-0.02596708,-0.54411655,-0.04514727,0.05766990,-0.23612410,1.24157873,0.51831291,-0.24723825
0.58602755,0.38140366,-0.73450686,0.06411408,0.11002984,-0.15951952,1.24191953,0.52100009,-0.24631468
0.76481600,0.78579239,-0.92167937,0.23346212,0.16583038,-0.03190244,1.24510345,0.51294668,-0.24616815
0.97203793,1.20234695,-1.12453140,0.49234040,0.27818222,0.17602896,1.25248695,0.48832559,-0.24703222
1.13429932,1.73536779,-1.38453239,0.85337829,0.51860761,0.53134865,1.26834651,0.43858800,-0.24684040
1.14475408,2.32293887,-1.61659413,1.25772546,0.87024342,1.02295293,1.29776644,0.35580722,-0.24083541
0.97079701,2.74462001,-1.67281012,1.60286201,1.25114929,1.54333885,1.34235084,0.23855530,-0.22285864
0.68510463,2.81291793,-1.48931897,1.81710586,1.57125571,1.97766503,1.39883547,0.09359118,-0.18760931
0.36617190,2.48309927,-1.11212272,1.90130141,1.75379155,2.25972803,1.46037269,-0.06802263,-0.13329623
0.01624738,1.85022793,-0.62550739,1.90538855,1.74586179,2.35701134,1.51863622,-0.23574748,-0.06291034
-0.33431231,1.03484083,-0.09804386,1.87782532,1.53459830,2.26620976,1.56594632,-0.40145813,0.01681781
-0.62196703,0.18106456,0.41050311,1.83400101,1.15822413,2.03451208,1.59707091,-0.55934648,0.09787715
-0.84950937,-0.53658315,0.83768830,1.75771052,0.71909917,1.74088327,1.61044232,-0.70521265,0.17358067
-1.05197050,-1.01165138,1.11713155,1.62712950,0.35439210,1.45785215,1.60879097,-0.83600621,0.24078734
-1.27690356,-1.21241336,1.22854663,1.43683234,0.15011317,1.21745049,1.59800085,-0.94972041,0.29989499
-1.55653147,-1.20402675,1.22824436,1.19915766,0.11350175,1.00710216,1.58461392,-1.04498760,0.35259982
-1.83544482,-1.13599765,1.19563121,0.93153875,0.18743686,0.80856057,1.57391693,-1.12095520,0.40001365
-2.03989770,-1.09618322,1.20255144,0.65349740,0.28164634,0.61719801,1.56852964,-1.17750123,0.44147399
-2.14340918,-1.07222925,1.26913578,0.39218082,0.33153035,0.43732950,1.56830086,-1.21561583,0.47498364
-2.14869439,-1.02002543,1.35298075,0.16514629,0.30258954,0.27880376,1.57134172,-1.23749213,0.49854003
-2.07476910,-0.93735011,1.42751057,-0.03477671,0.17647064,0.14088548,1.57476387,-1.24549878,0.50995945
-1.93141566,-0.88549715,1.48694726,-0.22355217,-0.03674555,0.00133959,1.57564319,-1.24090854,0.50665591
-1.75283404,-0.89778691,1.50129817,-0.40747518,-0.29838302,-0.16542601,1.57214276,-1.22367127,0.48669878
-1.59028349,-0.95022605,1.43470583,-0.58677423,-0.56035946,-0.36863819,1.56386240,-1.19302995,0.44988915
-1.46726124,-1.02934491,1.28298896,-0.76520662,-0.77598538,-0.61128000,1.55164633,-1.14789072,0.39790897
-1.38744107,-1.13045067,1.06910082,-0.94620668,-0.90827261,-0.89126122,1.53742732,-1.08686019,0.33404403
-1.30825606,-1.19306512,0.82863728,-1.13178757,-0.94977973,-1.18186089,1.52348162,-1.00864728,0.26252145
-1.17165224,-1.13402807,0.59863984,-1.32550762,-0.91569262,-1.44120763,1.51132764,-0.91254988,0.18757189
-0.97372549,-0.93615178,0.39485157,-1.51717446,-0.82552172,-1.63353206,1.50143709,-0.79889871,0.11323419
-0.73244965,-0.62205289,0.20073520,-1.66644721,-0.69666984,-1.73865439,1.49358188,-0.67015595,0.04380473
-0.49302539,-0.22929822,-0.01783812,-1.71857863,-0.53250271,-1.75910366,1.48762096,-0.53211344,-0.01592545
-0.29644641,0.17447167,-0.26620463,-1.64408342,-0.34519431,-1.70391274,1.48403550,-0.39348198,-0.06170615
-0.09419897,0.52748728,-0.48234163,-1.46133773,-0.19894785,-1.57834689,1.48263182,-0.26355727,-0.09242998
0.16448023,0.78121765,-0.58866354,-1.21820298,-0.16084223,-1.40414833,1.48105133,-0.14939170,-0.11154613
0.38759111,0.90254675,-0.60173889,-1.02160777,-0.19441630,-1.26090537,1.47863808,-0.07315979,-0.12191588
