ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
1.86333365,1.08069461,-1.17743332,0.47137991,-0.23119729,1.33969697,2.18270527,-0.02294168,0.74525959
1.97900542,1.15601333,-1.19869429,0.75899828,-0.56087206,1.28978345,2.17065926,-0.07678358,0.72931289
2.01194975,1.18252808,-1.16062974,1.18478818,-1.00046393,1.18417875,2.14544430,-0.15896593,0.69755804
1.93755887,1.24861860,-1.08853733,1.63470706,-1.37735534,1.04301522,2.10722843,-0.25731406,0.65445924
1.67623511,1.37588657,-0.97004543,2.04526537,-1.61930937,0.89947359,2.05858550,-0.37173106,0.60926109
1.22961245,1.46939540,-0.79572700,2.36643222,-1.71148585,0.76472154,2.00373467,-0.49995401,0.57260687
0.76315751,1.47852479,-0.60179847,2.58129980,-1.70396144,0.62840571,1.94691733,-0.63747738,0.55258580
0.39776063,1.41178612,-0.37582281,2.70291720,-1.67636847,0.47976363,1.89082275,-0.77880076,0.55230962
0.16773643,1.31513284,-0.10413285,2.75078878,-1.68028616,0.32276553,1.83632284,-0.91890288,0.57048532
0.03903592,1.23278411,0.17146772,2.73567931,-1.71695720,0.17814738,1.78337304,-1.05391189,0.60368059
-0.01965322,1.17974706,0.39311824,2.66198910,-1.74071666,0.07518467,1.73204018,-1.18120500,0.64839386
-0.01058936,1.12776933,0.53733286,2.53447523,-1.68851371,0.03991608,1.68321032,-1.29931425,0.70245296
0.04343699,1.05128076,0.63371911,2.36245714,-1.55769984,0.07976814,1.63804488,-1.40774219,0.76462439
0.09685955,0.93067853,0.74983899,2.15920274,-1.41687814,0.17637441,1.59634208,-1.50657896,0.83240829
0.11698098,0.74962068,0.91313256,1.93221152,-1.31164897,0.30244712,1.55635406,-1.59600212,0.90133599
0.04375654,0.52383034,1.07929152,1.67755851,-1.23018375,0.43733795,1.51629585,-1.67593510,0.96644508
-0.18584617,0.27994869,1.19767552,1.39555791,-1.14172288,0.55393052,1.47554188,-1.74590008,1.02353243
-0.52443180,0.04011758,1.26079503,1.10392404,-1.01531563,0.60876907,1.43523669,-1.80508924,1.07005021
-0.84706183,-0.18452720,1.28570540,0.82082874,-0.83489054,0.56686156,1.39837320,-1.85254696,1.10555797
-1.09978830,-0.39779248,1.28964725,0.54617879,-0.61670975,0.43218971,1.36861788,-1.88729056,1.13046330
-1.29122812,-0.57508703,1.28991719,0.27063301,-0.39907810,0.24690704,1.34843255,-1.90853996,1.14419521
-1.41158522,-0.67292859,1.29055915,-0.00683026,-0.21362863,0.06410293,1.33809458,-1.91612981,1.14513210
-1.43549412,-0.68194326,1.27945546,-0.27573212,-0.07344265,-0.08327557,1.33614292,-1.91069581,1.13193214
-1.34100141,-0.64277783,1.25253057,-0.52394810,0.01023471,-0.18900724,1.34030470,-1.89338534,1.10423389
-1.16219140,-0.61816984,1.21955520,-0.74716610,0.02656398,-0.25832710,1.34800402,-1.86541019,1.06223272
-0.96862652,-0.63113287,1.18330827,-0.94888940,-0.01606179,-0.29973890,1.35675881,-1.82771036,1.00630428
-0.77005187,-0.66135649,1.13560015,-1.13863427,-0.09639173,-0.32569772,1.36465991,-1.78066401,0.93696629
-0.55165376,-0.69374983,1.07739616,-1.32996093,-0.19397711,-0.35161652,1.37059046,-1.72379607,0.85471785
-0.34043852,-0.71798266,1.01486666,-1.53334705,-0.28900221,-0.38990143,1.37422720,-1.65569415,0.76011576
-0.17213619,-0.71586235,0.94513973,-1.74861918,-0.36957856,-0.43752718,1.37572334,-1.57444232,0.65425765
-0.05304649,-0.66507290,0.86835814,-1.96391469,-0.43757826,-0.47303806,1.37498843,-1.47854552,0.53922066
0.04181673,-0.54778344,0.79113622,-2.16690567,-0.48903300,-0.47676619,1.37145021,-1.36752325,0.41817336
0.13233867,-0.38624550,0.69776722,-2.35140397,-0.50019155,-0.44065644,1.36490757,-1.24174418,0.29542811
0.22562182,-0.21894371,0.55923179,-2.50971058,-0.45377376,-0.36205296,1.35619666,-1.10233537,0.17630876
0.33029286,-0.06780718,0.38453371,-2.62949889,-0.36500777,-0.24983484,1.34671979,-0.95139371,0.06629902
0.44232517,0.03847542,0.21663088,-2.69595368,-0.26547358,-0.12438430,1.33768360,-0.79204284,-0.03002234
0.56645797,0.11498912,0.07838791,-2.69627365,-0.16762442,-0.00474469,1.32995526,-0.62839315,-0.10940859
0.71452713,0.22518743,-0.04040335,-2.62643947,-0.04722584,0.09108153,1.32479741,-0.46524091,-0.16966095
0.86528691,0.37508544,-0.14946168,-2.49396695,0.14293567,0.15417091,1.32489189,-0.30736205,-0.20906901
0.96042263,0.52069174,-0.25229913,-2.31810243,0.43470975,0.20642166,1.33431612,-0.15894695,-0.22621457
0.94649504,0.63590108,-0.35519435,-2.12577721,0.81412233,0.28327157,1.35715696,-0.02329410,-0.22033125
0.84400493,0.71075337,-0.44643112,-1.94362926,1.22175236,0.39459519,1.39574535,0.09766769,-0.19181955
0.75381528,0.75036262,-0.49679644,-1.79034892,1.57296560,0.52287361,1.44932410,0.20376019,-0.14269534
0.73440645,0.76318246,-0.49690653,-1.67275225,1.78814903,0.64601224,1.51374224,0.29622906,-0.07690955
