ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.07422849,-0.84451204,-0.39144347,0.26663819,-0.23129660,0.09746179,-0.57820989,-1.21932028,-0.18309535
-0.13852827,-0.84721937,-0.43448674,0.27219029,-0.10765798,0.06585446,-0.58337651,-1.23301372,-0.17139442
-0.18902788,-0.80144095,-0.47140688,0.27907947,0.05957272,0.04869232,-0.58560620,-1.25163490,-0.15693609
-0.19050210,-0.69865786,-0.47034349,0.28404976,0.21072627,0.06972763,-0.58168805,-1.27052718,-0.14411533
-0.14862917,-0.60728274,-0.42620775,0.28163215,0.31275735,0.11614027,-0.57356964,-1.28914226,-0.13267370
-0.07150453,-0.59244727,-0.34739747,0.26662617,0.34338573,0.16280482,-0.56390584,-1.30674347,-0.12227376
0.00136901,-0.65613946,-0.26127821,0.24522368,0.31835378,0.18205550,-0.55495131,-1.32283945,-0.11257005
0.01496823,-0.76895299,-0.20589928,0.22886797,0.27236290,0.15571713,-0.54739640,-1.33774264,-0.10313453
-0.03076863,-0.88914656,-0.19144265,0.22163236,0.22330291,0.08860737,-0.54073432,-1.35227714,-0.09351163
-0.08328157,-0.97049627,-0.20533943,0.22443962,0.18231288,0.00718614,-0.53422543,-1.36725622,-0.08328397
-0.09805114,-0.97639914,-0.23654187,0.22855973,0.14137752,-0.05413498,-0.52768144,-1.38304723,-0.07219223
-0.07505675,-0.91721219,-0.26896175,0.21991021,0.09177738,-0.07650276,-0.52195065,-1.39900427,-0.06049574
-0.04177131,-0.85924199,-0.32393160,0.20295255,0.05519741,-0.06485709,-0.51775445,-1.41412162,-0.04882855
-0.03608128,-0.83418851,-0.42200104,0.18637020,0.02629899,-0.03795514,-0.51514415,-1.42799601,-0.03755832
-0.08254838,-0.83499158,-0.53266736,0.17736336,-0.00577834,-0.02250739,-0.51415752,-1.44082061,-0.02654296
-0.16140698,-0.86369950,-0.66695902,0.19251670,-0.02387891,-0.03998070,-0.51412041,-1.45370959,-0.01501786
-0.26456461,-0.89272982,-0.84292976,0.24951622,-0.01817598,-0.09352324,-0.51351169,-1.46888116,-0.00142627
-0.41002743,-0.85221533,-1.06044114,0.37454336,0.05887154,-0.16487897,-0.51004501,-1.48969411,0.01675298
-0.59808459,-0.67348714,-1.35048599,0.57765655,0.26402856,-0.21218173,-0.50007078,-1.52039100,0.04280746
-0.79259928,-0.34088411,-1.63528726,0.81738611,0.57944630,-0.19996083,-0.48025594,-1.56379186,0.07944570
