ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.39055718,0.67169680,-0.55743058,-0.13357462,0.14760338,0.22867868,-0.56724971,1.87230740,0.33730051
0.38688243,0.51554673,-0.52336493,-0.05202489,0.09963044,0.31920151,-0.56032309,1.87561199,0.33866810
0.30318166,0.34034988,-0.49665911,0.03066266,0.07637009,0.40735907,-0.55003303,1.87746354,0.33695595
0.15507918,0.21581184,-0.47750059,0.07056499,0.09770904,0.44734773,-0.53797285,1.87659876,0.33128042
0.03018672,0.11553092,-0.44763620,0.06986925,0.12505036,0.44349635,-0.52456298,1.87481024,0.32406947
-0.03215070,0.00487120,-0.40283489,0.04468618,0.13441004,0.40777999,-0.51111531,1.87351104,0.31758227
-0.04808866,-0.12927103,-0.35644994,0.01491744,0.13773231,0.35684162,-0.49871029,1.87328468,0.31291557
-0.04977852,-0.26932534,-0.32677773,-0.00947962,0.15319891,0.29986135,-0.48747680,1.87400578,0.30992728
-0.06136246,-0.37043530,-0.32460553,-0.02672893,0.17790057,0.23940570,-0.47715367,1.87532870,0.30807304
-0.07384327,-0.41161720,-0.34895641,-0.03266286,0.19371769,0.18871805,-0.46766398,1.87684884,0.30680757
-0.08124080,-0.39840211,-0.36556090,-0.02242196,0.19037176,0.16008533,-0.45904957,1.87795353,0.30537426
-0.09629365,-0.33698097,-0.35394422,-0.00037832,0.16921571,0.14746479,-0.45137454,1.87801589,0.30301027
-0.09914993,-0.25714110,-0.33772157,0.02285819,0.13251111,0.14248860,-0.44485620,1.87679124,0.29946962
-0.08013906,-0.19602142,-0.33841548,0.04054278,0.09482957,0.13671093,-0.43972872,1.87443072,0.29499918
-0.09040562,-0.13249839,-0.37013454,0.04911378,0.09692173,0.11113893,-0.43566817,1.87125286,0.28988668
-0.16765572,0.02455692,-0.46003071,0.04726345,0.16630313,0.05637011,-0.43151854,1.86763110,0.28423958
-0.25816786,0.32404728,-0.61064058,0.04727230,0.27325762,-0.01730749,-0.42609412,1.86370775,0.27788736
-0.25463818,0.71564549,-0.78525111,0.08949909,0.35062974,-0.08371185,-0.41943137,1.85836320,0.26952372
