ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.63699963,0.28028533,-0.89627346,-0.58256954,-0.27302526,-0.47287327,1.36590972,0.45100664,-0.17283217
0.61193899,0.37942319,-0.89132052,-0.51996808,-0.10251633,-0.32197685,1.35939678,0.48107190,-0.17068309
0.65608891,0.43544559,-0.82687495,-0.42436139,0.03541826,-0.12987359,1.35545433,0.51458407,-0.16533348
0.71412329,0.37095954,-0.70481067,-0.31286110,0.07568119,0.02791500,1.35591660,0.53802524,-0.15872018
0.67520074,0.21616020,-0.60111437,-0.19423931,0.07629115,0.12871455,1.35797960,0.55161092,-0.15334837
0.57698232,0.02323968,-0.52057112,-0.08800673,0.04209365,0.17313760,1.35997580,0.55665862,-0.15036897
0.50958513,-0.17452105,-0.41637817,-0.01197986,-0.03868357,0.17923420,1.35991709,0.55553021,-0.15073840
0.48074977,-0.34734888,-0.31517014,0.03206633,-0.13393247,0.16966914,1.35634377,0.55077935,-0.15485362
0.45702122,-0.44992011,-0.26160555,0.05187009,-0.20758702,0.16546859,1.34938678,0.54424743,-0.16204060
0.43233894,-0.47364630,-0.24968842,0.05604907,-0.25087248,0.18285360,1.34017311,0.53689411,-0.17110225
0.42632741,-0.46260512,-0.26179047,0.05725387,-0.25480111,0.22975368,1.33016379,0.52880614,-0.18085836
0.39495629,-0.45010015,-0.31194472,0.06667356,-0.18525464,0.29710725,1.32170391,0.51925360,-0.18973174
0.28716725,-0.44362784,-0.40819873,0.07686061,-0.04058954,0.35615748,1.31791263,0.50773768,-0.19554402
0.19103173,-0.44867572,-0.49221045,0.06885438,0.10413083,0.37905846,1.32020575,0.49526754,-0.19699687
0.19486625,-0.46167476,-0.52170318,0.04321851,0.19863241,0.36232872,1.32711078,0.48388649,-0.19466308
0.30202503,-0.38579498,-0.58180943,0.03455567,0.28882878,0.36208002,1.33727734,0.47400593,-0.18941205
0.49107514,-0.07529609,-0.75837599,0.08398611,0.41668168,0.46199535,1.35185942,0.46196817,-0.18113987
0.69402048,0.40190166,-0.97797347,0.20533039,0.55811379,0.66199065,1.37247530,0.44144122,-0.16978794
0.85604858,0.83426307,-1.14273298,0.39843164,0.69849181,0.91753091,1.39946241,0.40629235,-0.15573989
0.94507180,1.16166246,-1.24719005,0.66269306,0.83969309,1.21653741,1.43256699,0.35092014,-0.13887140
