ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.14924800,-0.48789475,0.01145116,-0.55885117,-0.65684146,0.35422951,-0.83513469,-0.17620726,-0.50258521
0.21443584,-0.50353998,0.04275678,-0.62340533,-0.80233656,0.44854851,-0.86143885,-0.14234674,-0.49422689
0.34581228,-0.47573563,0.12235398,-0.71581688,-1.01773494,0.59014512,-0.90258558,-0.09161289,-0.47932632
0.48204657,-0.42842643,0.16401634,-0.79720369,-1.23782126,0.72798540,-0.95271991,-0.03269348,-0.45797584
0.52916451,-0.41962195,0.10592933,-0.83632682,-1.44055656,0.83024051,-1.01088222,0.03233157,-0.42915155
0.43265751,-0.42729258,0.00634055,-0.83093279,-1.63618028,0.88418201,-1.07600759,0.09980117,-0.39200001
0.25931502,-0.41761302,-0.08113056,-0.80772767,-1.83006386,0.88998028,-1.14750486,0.16679705,-0.34575397
0.04943382,-0.38471724,-0.16868523,-0.79817962,-2.01409972,0.86081352,-1.22474845,0.23241781,-0.28979267
-0.28127104,-0.28710010,-0.26848764,-0.82864727,-2.16259204,0.81402910,-1.30651958,0.29787118,-0.22371827
-0.68672554,-0.07683692,-0.41227283,-0.88675769,-2.21787025,0.74371798,-1.39002237,0.36490027,-0.14829360
-1.01428202,0.17788326,-0.68664361,-0.89265138,-2.12107099,0.61888201,-1.47047080,0.43178296,-0.06717564
-1.27953048,0.30380636,-1.10560031,-0.76185378,-1.88533023,0.41840131,-1.54285617,0.49084334,0.01277186
-1.53230891,0.26017923,-1.50688295,-0.48709522,-1.60582483,0.15545543,-1.60503314,0.53178609,0.08451912
-1.70762159,0.19916423,-1.75046764,-0.11869141,-1.35236577,-0.13389753,-1.65819348,0.54692648,0.14395003
-1.78059804,0.21546265,-1.88087812,0.30014941,-1.09242786,-0.41563890,-1.70369500,0.53252685,0.18899898
-1.82211418,0.25749116,-1.99337186,0.73886459,-0.74296915,-0.66633956,-1.74005639,0.48746827,0.21704268
-1.87831559,0.30929974,-2.08213452,1.14358781,-0.27886241,-0.86586633,-1.76321847,0.41320108,0.22514169
-1.84194253,0.46045385,-2.05026977,1.45742330,0.23684782,-0.99082031,-1.76939669,0.31467471,0.21301360
-1.59845537,0.73525416,-1.84122194,1.68002950,0.73254401,-1.02015607,-1.75702608,0.19893479,0.18403301
-1.23911902,1.02640648,-1.49940178,1.84678545,1.17222501,-0.94733905,-1.72644609,0.07223672,0.14333550
-0.90446005,1.25930891,-1.09011444,1.96978789,1.51237947,-0.79368515,-1.67979261,-0.06071200,0.09691540
