ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.24776637,0.51449411,-1.24361440,1.26865668,-0.12223182,-0.58278134,0.04000605,-1.11462592,-0.34956548
0.20577582,0.41637871,-1.13906106,1.45121281,-0.27178797,-0.70880272,0.04188549,-1.18459837,-0.30310453
0.22607663,0.45939705,-1.14051210,1.68580032,-0.45928196,-0.91480767,0.04273715,-1.28658046,-0.23035466
0.21611589,0.60500754,-1.19012829,1.90127952,-0.59865906,-1.14661982,0.04350918,-1.39991717,-0.14049830
0.07557071,0.68361726,-1.16424717,2.08830032,-0.63385763,-1.35626324,0.04838831,-1.52161362,-0.03240231
-0.14182270,0.61559736,-1.05915977,2.23515844,-0.50753801,-1.51488759,0.06251555,-1.64789759,0.09412426
-0.34593741,0.49783059,-0.90261313,2.33931723,-0.23391484,-1.61399453,0.09062897,-1.77446960,0.23823242
-0.51036699,0.46352545,-0.67540913,2.40620926,0.09921401,-1.65944124,0.13439073,-1.89731615,0.39859099
-0.61344326,0.47273858,-0.36083212,2.43261790,0.40475409,-1.66447264,0.19183635,-2.01293137,0.57333862
-0.61072812,0.44581434,-0.00378549,2.40208757,0.64250837,-1.63092603,0.25881418,-2.11800796,0.75906165
-0.53811238,0.39809398,0.34271586,2.29089849,0.81025227,-1.54367970,0.33033844,-2.20941821,0.94970625
-0.48301663,0.36683532,0.66730447,2.07761221,0.92306323,-1.39649570,0.40144565,-2.28465794,1.13626937
-0.46549369,0.33818937,0.96387427,1.75473913,1.00500015,-1.21197095,0.46830065,-2.34234322,1.30765929
-0.46211300,0.29057536,1.19785790,1.34500697,1.03987022,-1.03712202,0.52893087,-2.38252624,1.45288017
-0.49732943,0.22054234,1.37198886,0.89244543,0.99463131,-0.89302154,0.58270938,-2.40666479,1.56357194
-0.46373914,0.14414672,1.48874380,0.43771741,0.89191596,-0.75850519,0.62935746,-2.41712209,1.63541510
-0.33186574,0.03425323,1.53271278,0.00841046,0.77859541,-0.64040286,0.66908364,-2.41629052,1.66810685
