ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
3.03343784,0.70865818,-0.98320506,0.04195186,-1.41579124,0.03837964,1.91811219,-0.14936527,0.35359799
3.05733498,0.73170189,-1.02571646,0.15401096,-1.53623986,0.22095126,1.88021012,-0.15793240,0.30639729
2.89785342,0.71237291,-1.09211298,0.33638275,-1.65491073,0.45151012,1.82552057,-0.18006556,0.24241424
2.48143937,0.53893880,-1.10163811,0.55952325,-1.73474530,0.61981738,1.76533777,-0.21885382,0.17882371
1.92532801,0.23349700,-0.97984304,0.79274713,-1.79555254,0.68949924,1.70054375,-0.27375432,0.11824722
1.35398736,-0.06572120,-0.73633864,0.99381745,-1.84263136,0.66741105,1.63187004,-0.34199653,0.06267223
0.79018932,-0.31646455,-0.41005776,1.13325535,-1.85932807,0.58280451,1.56044430,-0.41923148,0.01368300
0.21962009,-0.53990765,-0.04431942,1.20286773,-1.79865640,0.47265753,1.48873783,-0.50073204,-0.02690084
-0.32695693,-0.71125327,0.32207142,1.21277552,-1.61469903,0.35780501,1.42106626,-0.58242100,-0.05670732
-0.84447019,-0.85397053,0.65261859,1.18474552,-1.27230262,0.24432043,1.36336015,-0.66134416,-0.07297905
-1.32195428,-0.95992571,0.90339817,1.12796788,-0.78159978,0.16551131,1.32195091,-0.73574893,-0.07313801
-1.68532902,-0.95442396,1.10346838,1.02890551,-0.23397700,0.15642626,1.30055693,-0.80436931,-0.05666647
-1.99638295,-0.97015126,1.29554769,0.87622264,0.25755749,0.19302784,1.29835558,-0.86530157,-0.02646126
-2.34449705,-1.12826170,1.43803406,0.68041473,0.62328555,0.22303018,1.31129846,-0.91593376,0.01217332
-2.60760183,-1.28468979,1.52395132,0.46909429,0.84697004,0.22353956,1.33434513,-0.95431878,0.05363189
-2.71442930,-1.35710187,1.60399575,0.25895975,0.95782321,0.20128153,1.36298629,-0.97994425,0.09345556
-2.75315188,-1.37447552,1.67037955,0.03329722,1.01100970,0.16446535,1.39437204,-0.99251200,0.12857967
-2.73011045,-1.29531311,1.68222329,-0.24011459,1.04475948,0.10172396,1.42758595,-0.99014673,0.15663670
-2.58690306,-1.12764286,1.64528535,-0.57390102,1.04825595,-0.00091509,1.46248563,-0.96920502,0.17513653
-2.31467561,-0.91016459,1.58677764,-0.94292948,0.99799536,-0.12372499,1.49812359,-0.92627856,0.18173740
-1.89831744,-0.59615446,1.47758634,-1.29670075,0.92278386,-0.23300683,1.53302395,-0.86051615,0.17624748
