ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.30051651,-0.40412578,-0.07300198,-0.79894122,-1.34567286,-0.29571598,-1.12856530,0.24480664,-0.35230333
0.28916586,-0.20456128,-0.08965696,-0.81737399,-1.58279022,-0.27751733,-1.17690252,0.27925203,-0.31709485
0.26089313,0.07619131,-0.13574219,-0.83003921,-1.86589336,-0.24774731,-1.24849697,0.32545732,-0.26215747
0.19720892,0.28474451,-0.26407675,-0.80789124,-2.06458784,-0.24019397,-1.32849730,0.37056131,-0.19605643
0.04143740,0.34561129,-0.52847336,-0.71531900,-2.11611598,-0.30272904,-1.41210199,0.41024755,-0.12198781
-0.32835174,0.31426304,-0.95819370,-0.51952283,-1.93278909,-0.48137954,-1.49239926,0.43716952,-0.04720786
-0.89778003,0.25391796,-1.55094966,-0.20390156,-1.43540667,-0.77830713,-1.56006273,0.44210811,0.01615799
-1.40232238,0.22360892,-2.18305009,0.22539282,-0.66264969,-1.10689522,-1.60506350,0.41673068,0.05409367
-1.63933830,0.36872116,-2.62418038,0.73063266,0.18366491,-1.33112211,-1.62087988,0.35677705,0.05815738
-1.59797899,0.78948870,-2.68208937,1.24426325,0.86667475,-1.36673801,-1.60789786,0.26355456,0.03153278
-1.29405696,1.36775621,-2.34750697,1.69825725,1.28958370,-1.22835289,-1.57237462,0.14270865,-0.01299222
-0.83882819,1.89166189,-1.81063348,2.05558721,1.50573838,-0.97307416,-1.52212016,0.00168144,-0.06080922
-0.44011253,2.25266133,-1.26050009,2.30411282,1.59783368,-0.64735599,-1.46366565,-0.15185591,-0.10091440
-0.17956117,2.41200191,-0.77584587,2.44399113,1.62825954,-0.29742648,-1.40188752,-0.31057515,-0.12698664
-0.00250374,2.35549717,-0.38309254,2.49083107,1.65926645,0.02651769,-1.33967141,-0.46829948,-0.13708464
0.12463924,2.13011967,-0.07949169,2.46857105,1.72824355,0.29266223,-1.27762806,-0.62075857,-0.13265417
0.16253258,1.81703822,0.18202609,2.38961359,1.81535508,0.48890761,-1.21545851,-0.76526794,-0.11648546
0.08964728,1.46800949,0.46338759,2.24792109,1.87867090,0.60347732,-1.15347793,-0.89955653,-0.09144958
-0.01372109,1.07970145,0.78846048,2.03626401,1.85698248,0.62433078,-1.09303059,-1.02110388,-0.06049219
-0.01344957,0.61685515,1.17855224,1.76312793,1.66099551,0.55659395,-1.03758049,-1.12750881,-0.02585739
0.16247573,0.08967018,1.62893809,1.44886861,1.25490281,0.42505728,-0.99282131,-1.21702414,0.01137496
0.46729660,-0.39538494,2.03943487,1.12196195,0.70621784,0.26227594,-0.96385825,-1.28893827,0.05026796
0.79610577,-0.72219564,2.29442188,0.81564598,0.13425096,0.10214133,-0.95251341,-1.34402108,0.08952860
1.04327650,-0.85963892,2.37400310,0.54268027,-0.38094817,-0.02773836,-0.95756868,-1.38407940,0.12789588
1.13254771,-0.82540581,2.34565805,0.28636192,-0.80612379,-0.11438161,-0.97657438,-1.41048223,0.16398175
1.09543951,-0.65842474,2.24272795,0.03311520,-1.11102904,-0.14864848,-1.00649774,-1.42348168,0.19568244
1.02602508,-0.41490904,2.05639648,-0.21620032,-1.30203493,-0.12299239,-1.04429926,-1.42278498,0.22073874
0.94194694,-0.15705697,1.84336356,-0.46458769,-1.41328265,-0.05064727,-1.08791458,-1.40795228,0.23765874
0.80104889,0.05384683,1.65678940,-0.72207907,-1.44977918,0.04188541,-1.13563769,-1.37826791,0.24523025
0.61574411,0.19654818,1.45894262,-0.99832934,-1.40114685,0.13922630,-1.18515252,-1.33258989,0.24176508
0.44251238,0.28300438,1.22052377,-1.28929431,-1.26408810,0.23789932,-1.23364022,-1.26951059,0.22540988
0.28600964,0.33964813,0.97003265,-1.57970578,-1.06040610,0.33134204,-1.27835284,-1.18800123,0.19531034
