ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.70960459,-0.19135205,-0.29556003,-0.34300728,-0.25938943,0.06576211,0.78236469,1.64788065,0.16920081
0.85490567,0.03052510,-0.37183953,-0.33028096,-0.43074484,0.09066771,0.77212120,1.66054666,0.17719592
1.07520536,0.44864393,-0.50972065,-0.27928681,-0.63419661,0.15611289,0.75451041,1.67542477,0.18408274
1.28810653,1.05644336,-0.72371961,-0.15319766,-0.76404596,0.26677651,0.73331214,1.68458762,0.18362096
1.44017586,1.77268925,-0.96303365,0.08283124,-0.82356212,0.39606105,0.71188914,1.68260120,0.17175662
1.51547244,2.36202893,-1.13308723,0.44046683,-0.87013599,0.48973373,0.69126988,1.66292006,0.14260552
1.48412484,2.61695679,-1.21156655,0.89791137,-0.95553254,0.48632268,0.66894462,1.61935519,0.09044596
1.32405419,2.48730807,-1.19790774,1.40448903,-1.11764166,0.34875423,0.63954966,1.54741531,0.01249035
1.10327715,2.04870715,-1.06425912,1.88707938,-1.37532204,0.07988481,0.59638514,1.44540000,-0.08903941
0.91141487,1.46711682,-0.82624317,2.26957303,-1.68728555,-0.29158955,0.53381743,1.31531399,-0.20617486
0.76996300,0.88554240,-0.55553813,2.49715567,-1.96704201,-0.71856668,0.45023906,1.16306500,-0.32659964
0.69698459,0.38068851,-0.28753499,2.55169631,-2.17484573,-1.13308298,0.34873205,0.99750412,-0.43733048
0.72809106,0.00621691,0.00878087,2.45319256,-2.33525380,-1.46409358,0.23431995,0.82844957,-0.52875513
0.85023701,-0.24669531,0.34295310,2.23997914,-2.47353875,-1.65689059,0.11156810,0.66482089,-0.59621933
0.96954334,-0.42424611,0.66049214,1.95369048,-2.57679440,-1.68776009,-0.01564313,0.51375860,-0.63919291
1.00184859,-0.57016644,0.88579278,1.64607479,-2.59713153,-1.58458245,-0.14299946,0.37986851,-0.66001588
0.97244177,-0.73897975,0.98401154,1.37479304,-2.51510788,-1.42231523,-0.26562849,0.26404116,-0.66286919
0.92679118,-0.96264644,1.01154242,1.17510767,-2.36966551,-1.27429650,-0.38001966,0.16342468,-0.65245326
0.84555070,-1.20777833,1.04891233,1.04359515,-2.20048794,-1.16365853,-0.48477741,0.07356100,-0.63271104
0.72304698,-1.39101929,1.10405584,0.95106231,-2.01822398,-1.06577669,-0.57946578,-0.00897715,-0.60653313
0.62377288,-1.46637485,1.14894289,0.86308059,-1.82447117,-0.94999387,-0.66388905,-0.08519890,-0.57618139
0.60759575,-1.44749053,1.17523854,0.75311922,-1.61833391,-0.80562020,-0.73805399,-0.15379217,-0.54376138
0.64475787,-1.36423656,1.17077279,0.60898173,-1.39129105,-0.64178785,-0.80183170,-0.21215315,-0.51159802
0.66234451,-1.28023982,1.12903778,0.42917427,-1.14356399,-0.47437594,-0.85492321,-0.25748485,-0.48220004
