ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.55888989,1.36905670,-1.05542863,1.07296214,-3.09055641,-2.02541568,-0.61122742,1.37232019,-0.13324117
0.78800838,1.38926160,-0.86110918,1.36539394,-3.52934345,-2.76472475,-0.74808828,1.28855264,-0.13473131
0.95859358,1.42898893,-0.65141975,1.66766907,-3.81892035,-3.69986031,-0.94625354,1.14933699,-0.12648578
1.04370975,1.46274557,-0.56708795,1.80451367,-3.70690839,-4.36421974,-1.15163222,0.97441605,-0.10014979
0.84519587,1.41281697,-0.55855356,1.76108329,-3.26626781,-4.48798004,-1.33920104,0.77911522,-0.05603596
0.32782375,1.35227426,-0.57377821,1.59514882,-2.62436844,-4.04370266,-1.49058662,0.58511428,-0.00163940
-0.02512859,1.14327137,-0.50538824,1.41046739,-1.90893765,-3.30326490,-1.59952841,0.40967284,0.05202363
0.17835096,0.61516694,-0.26966801,1.27601273,-1.17125013,-2.55456484,-1.66872311,0.25859632,0.09458427
0.75060514,-0.00327843,0.00693673,1.19302225,-0.49012245,-1.90067122,-1.70411475,0.12997148,0.11977200
1.23729227,-0.50891529,0.24111146,1.13691427,0.01358304,-1.34991557,-1.71397965,0.02024637,0.12824843
1.50291419,-0.93105785,0.47798627,1.08385546,0.28076061,-0.92282296,-1.70830217,-0.07391884,0.12630360
1.67725353,-1.29277996,0.71635245,1.00960356,0.34335623,-0.63932618,-1.69625886,-0.15543295,0.12146018
1.82575299,-1.53933627,0.90346974,0.89429185,0.28913346,-0.48244661,-1.68402255,-0.22603635,0.11878005
1.93554653,-1.63141063,1.02312458,0.73326889,0.19919878,-0.40010774,-1.67435133,-0.28581106,0.11974980
1.99717920,-1.60554738,1.09552253,0.53840860,0.12917671,-0.33389316,-1.66756237,-0.33360968,0.12316790
2.01594306,-1.53668672,1.12935385,0.32915190,0.10343759,-0.24145688,-1.66266569,-0.36793309,0.12649187
2.01624202,-1.46963487,1.13765392,0.12383246,0.10990191,-0.10238999,-1.65865980,-0.38761762,0.12746428
1.99840641,-1.41336879,1.13569607,-0.06656149,0.13824834,0.08172431,-1.65506084,-0.39210010,0.12487740
1.94684328,-1.36329783,1.10550906,-0.24076813,0.19595920,0.29191258,-1.65124526,-0.38138255,0.11795772
1.88018613,-1.31751020,1.03115580,-0.40576001,0.27873166,0.51156967,-1.64619269,-0.35571912,0.10604010
1.80895246,-1.26823394,0.93566582,-0.56381000,0.36648745,0.74137331,-1.63913177,-0.31524739,0.08914763
1.70932158,-1.18625953,0.84628664,-0.71052635,0.44972368,0.98349713,-1.62971632,-0.26012255,0.06817102
1.56581523,-1.06743009,0.75308875,-0.85056757,0.53443777,1.23377772,-1.61744423,-0.19057437,0.04425054
1.36965087,-0.94521501,0.64322680,-0.99127063,0.62807039,1.49949408,-1.60135455,-0.10646457,0.01840564
1.08600906,-0.78247205,0.52344080,-1.12420126,0.74483530,1.78421326,-1.57990118,-0.00752343,-0.00849247
0.72505932,-0.53080840,0.38147759,-1.22753054,0.89600832,2.04026274,-1.55079776,0.10496409,-0.03585593
0.41713711,-0.30831743,0.22533676,-1.28768831,1.05178778,2.19483360,-1.51208183,0.22689503,-0.06292811
0.25209393,-0.22951678,0.10250191,-1.30726236,1.14273236,2.22811024,-1.46425344,0.35263547,-0.08769846
0.16450669,-0.23054596,0.03651993,-1.29890169,1.12426240,2.17090592,-1.41090279,0.47730510,-0.10685545
0.08382885,-0.24554472,0.00665008,-1.28289873,1.03093101,2.07096829,-1.35632594,0.59810966,-0.11757243
0.00006535,-0.21847644,-0.03976321,-1.27358980,0.91355795,1.97549072,-1.30296044,0.71459983,-0.11881215
-0.06843750,-0.08307810,-0.12072317,-1.26531539,0.76189960,1.89030185,-1.25223427,0.82724322,-0.11032595
-0.06329246,0.08409055,-0.19404355,-1.24178173,0.54546989,1.80435777,-1.20649386,0.93567455,-0.09158367
-0.04619395,0.23548081,-0.26073653,-1.18509808,0.27005773,1.72419794,-1.16850945,1.03851939,-0.06245478
-0.14970836,0.42010768,-0.36345445,-1.07435873,-0.02105800,1.62877810,-1.14006806,1.13329591,-0.02456705
-0.36608237,0.56889696,-0.49256430,-0.89238534,-0.27709320,1.46620157,-1.12172978,1.21589709,0.01800691
-0.64387340,0.58719007,-0.60682407,-0.63941714,-0.46699287,1.20163568,-1.11352028,1.28113358,0.05942019
-0.89788393,0.49389060,-0.67402567,-0.34483861,-0.56595439,0.84426849,-1.11508322,1.32458595,0.09372286
-1.00532206,0.38686856,-0.68871663,-0.05903926,-0.55034054,0.44212267,-1.12473892,1.34463510,0.11647557
-0.95487635,0.34404953,-0.67626762,0.17376255,-0.43741619,0.05486609,-1.13939996,1.34311497,0.12587024
-0.81206888,0.33326041,-0.64691440,0.33044771,-0.32133584,-0.26865971,-1.15657682,1.32441042,0.12353911
-0.62176609,0.28034227,-0.57338257,0.40565318,-0.30426675,-0.50160054,-1.17645847,1.29418725,0.11464530
