ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.02170967,-0.56144570,-0.18871932,-0.39571408,-0.28196642,-0.10377396,-1.41975205,0.31322505,-0.13459988
0.02041027,-0.58411928,-0.19042322,-0.41186906,-0.40697954,-0.14217233,-1.43186419,0.32809029,-0.12210148
0.10464034,-0.59929222,-0.20800863,-0.41008738,-0.60611592,-0.19974353,-1.45300038,0.34708151,-0.10094637
0.16236595,-0.54239055,-0.26245496,-0.37269917,-0.84615694,-0.26481406,-1.48255865,0.36325272,-0.07222598
0.16291388,-0.40541035,-0.35989806,-0.29824700,-1.09918713,-0.33314098,-1.52138661,0.37416003,-0.03503448
0.08912092,-0.21696157,-0.52103942,-0.18403055,-1.32652598,-0.39082042,-1.56891064,0.37752968,0.01049579
-0.12173263,0.06614915,-0.74080656,-0.04238137,-1.48319147,-0.41048424,-1.62289227,0.37190998,0.06288802
-0.46715022,0.47459092,-0.99303246,0.08835624,-1.50777584,-0.36523777,-1.67916096,0.35821857,0.11890172
-0.88552662,0.94414400,-1.29270017,0.18367212,-1.33327073,-0.25887363,-1.73151554,0.33990846,0.17277344
-1.32402151,1.29404866,-1.65578638,0.27416255,-0.90163258,-0.14774790,-1.77224319,0.31957941,0.21557385
-1.71616202,1.31016535,-2.05920743,0.41192170,-0.22188449,-0.09832975,-1.79327477,0.29544899,0.23620412
-1.94922874,1.04044139,-2.37974228,0.61718060,0.54872280,-0.12009360,-1.78927024,0.26233397,0.22674195
-1.97476574,0.78142281,-2.40969932,0.87328739,1.20607050,-0.17277135,-1.76061896,0.21515818,0.18817576
-1.84932242,0.71717459,-2.08437357,1.13574207,1.65596381,-0.21476665,-1.71222303,0.15138557,0.12924393
-1.59891900,0.77900104,-1.52098754,1.34790403,1.89922344,-0.23727440,-1.65036729,0.07195818,0.06114744
-1.22128929,0.79275709,-0.85262056,1.47277645,1.94657189,-0.25706368,-1.58146143,-0.01932060,-0.00588250
-0.73399247,0.67415291,-0.14265443,1.50876304,1.76056610,-0.28062161,-1.51309477,-0.11732444,-0.06291123
-0.17510128,0.45196675,0.60847123,1.47617223,1.31746142,-0.30653062,-1.45495271,-0.21705107,-0.10185929
