ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.34168533,0.66162868,-1.58580368,1.45276739,1.02797649,0.45178533,-0.60486699,-0.79277275,-0.41905709
-0.51581785,0.92525549,-1.64382348,1.70170398,1.25783816,0.56042103,-0.57296026,-0.87366945,-0.39015110
-0.68899273,1.29922801,-1.56851327,1.99276843,1.49997314,0.72676891,-0.52615359,-0.99310501,-0.34086792
-0.68873102,1.57985414,-1.30768468,2.20357710,1.63515528,0.92355340,-0.47682435,-1.12581449,-0.27417899
-0.55963843,1.67100568,-0.93184646,2.31985319,1.63954721,1.13477530,-0.43154891,-1.26472382,-0.18947332
-0.43161229,1.55782034,-0.49895774,2.34999807,1.51753940,1.31149192,-0.39648524,-1.40302793,-0.08827835
-0.30420759,1.21795534,-0.06083526,2.30990534,1.31320999,1.38548727,-0.37474034,-1.53552936,0.02620804
-0.13860080,0.67565437,0.36653377,2.19992563,1.03070737,1.32046115,-0.36600243,-1.65839421,0.14943107
0.06748802,0.05505772,0.80420830,2.00552186,0.65248175,1.14701122,-0.36909255,-1.76805967,0.27537774
0.26712031,-0.46829780,1.19391023,1.72356001,0.25770623,0.94667859,-0.38263874,-1.86100633,0.39642859
0.33367943,-0.73297974,1.40311901,1.37134007,0.01036773,0.78494490,-0.40313248,-1.93459308,0.50389940
0.21355464,-0.70084516,1.39207018,0.97278924,0.01766806,0.66340332,-0.42417419,-1.98770372,0.58920095
0.01206587,-0.50000530,1.25897887,0.55012434,0.26202837,0.55556505,-0.43853289,-2.02052528,0.64518179
-0.16610114,-0.28932592,1.13013750,0.12677124,0.63532938,0.45142182,-0.44093939,-2.03394831,0.66753399
-0.31491622,-0.14135395,1.08136854,-0.26347797,0.99704208,0.34615428,-0.42961412,-2.02939197,0.65626375
-0.44428326,-0.08166121,1.11089542,-0.57817930,1.24831999,0.22171374,-0.40566787,-2.00930351,0.61646140
-0.55704875,-0.13460363,1.15967964,-0.79221552,1.35666532,0.07014635,-0.37155709,-1.97734536,0.55697277
-0.65631599,-0.25644438,1.19377726,-0.91953676,1.32945058,-0.08935343,-0.33054196,-1.93732161,0.48699983
-0.69433577,-0.35122690,1.21630943,-0.99889113,1.19174742,-0.23581158,-0.28651161,-1.89179133,0.41303333
-0.63533884,-0.38908933,1.22293430,-1.06662626,0.97813233,-0.35791979,-0.24328905,-1.84160441,0.33804381
-0.51600605,-0.40580728,1.20356469,-1.14700239,0.71902966,-0.44582392,-0.20415403,-1.78618273,0.26235183
-0.37537265,-0.42883592,1.16197972,-1.25185775,0.41836850,-0.50631925,-0.17205497,-1.72400820,0.18493083
-0.22260150,-0.47261880,1.09621063,-1.37155160,0.08355268,-0.56133035,-0.14954884,-1.65348544,0.10486077
-0.09226211,-0.51832856,0.97100486,-1.47453967,-0.23901710,-0.61569328,-0.13793879,-1.57427831,0.02278017
-0.04426198,-0.50472659,0.76447691,-1.53339604,-0.50167166,-0.66130428,-0.13681854,-1.48794422,-0.05884574
-0.07152707,-0.41041720,0.49724506,-1.53498052,-0.67845663,-0.69301341,-0.14441798,-1.39746584,-0.13675429
-0.09945477,-0.26438047,0.19198500,-1.47312724,-0.75218158,-0.70023617,-0.15794663,-1.30675161,-0.20782219
-0.08582615,-0.09134580,-0.11156171,-1.35949857,-0.73074901,-0.66798186,-0.17420908,-1.21987262,-0.26981246
-0.03623615,0.08096368,-0.34239585,-1.23029393,-0.65523927,-0.58771194,-0.19085619,-1.13943949,-0.32221534
0.04491415,0.20847450,-0.45170740,-1.12939027,-0.57110219,-0.46492754,-0.20711323,-1.06529429,-0.36642331
0.16845001,0.23056022,-0.44365765,-1.08127128,-0.51107538,-0.33481452,-0.22335881,-0.99483388,-0.40488028
0.32809330,0.08829432,-0.37622826,-1.06902757,-0.49212533,-0.25628482,-0.24034672,-0.92514541,-0.43961720
0.46375222,-0.18457661,-0.34365615,-1.04234321,-0.49932080,-0.25747379,-0.25834757,-0.85579444,-0.47106391
0.48714554,-0.42824723,-0.41012860,-0.95772783,-0.50259109,-0.31168341,-0.27676952,-0.78976636,-0.49818049
0.38801749,-0.51137810,-0.55737282,-0.80348628,-0.48477063,-0.37512954,-0.29464890,-0.73191978,-0.51960201
0.26549319,-0.44081919,-0.71825477,-0.59642223,-0.43544865,-0.41030646,-0.31094037,-0.68681173,-0.53458606
0.22038072,-0.28338119,-0.82969602,-0.37569273,-0.35665514,-0.38679547,-0.32463368,-0.65683457,-0.54338307
0.27647234,-0.11383180,-0.85534098,-0.18743368,-0.26959125,-0.29384946,-0.33542852,-0.64107542,-0.54713419
0.38621982,-0.01001116,-0.80028103,-0.06106173,-0.19514654,-0.14972669,-0.34399299,-0.63580204,-0.54744856
0.48330808,-0.00644130,-0.69953876,0.00158723,-0.14112734,0.00735920,-0.35133802,-0.63630220,-0.54592822
0.52187971,-0.08705996,-0.58925319,0.02028586,-0.10334229,0.13927036,-0.35820526,-0.63875015,-0.54379069
0.48731217,-0.22721225,-0.49685094,0.02030253,-0.06455302,0.22783736,-0.36459808,-0.64114455,-0.54173485
0.41703615,-0.39597448,-0.43063825,0.01494548,-0.01414144,0.27829555,-0.36975120,-0.64293849,-0.54010884
0.35248152,-0.54340046,-0.36769858,0.00119805,0.02984820,0.30513486,-0.37317942,-0.64386155,-0.53911422
0.29159086,-0.63936707,-0.28303291,-0.02956283,0.04628921,0.32051879,-0.37549347,-0.64311267,-0.53891974
0.24081287,-0.70440078,-0.18682396,-0.07886491,0.03885556,0.32581409,-0.37774678,-0.63946718,-0.53974562
0.22573062,-0.79338260,-0.11703308,-0.13162108,0.02672066,0.31135472,-0.38041985,-0.63215791,-0.54174462
0.21992395,-0.92538610,-0.11136734,-0.15756853,0.03289694,0.27188541,-0.38298224,-0.62210860,-0.54467163
0.14584771,-1.02524497,-0.17502999,-0.13630205,0.07320241,0.21653444,-0.38402555,-0.61215010,-0.54782776
0.03395557,-1.04482099,-0.24846409,-0.09640121,0.12144753,0.17272597,-0.38349917,-0.60585268,-0.55004078
