ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.20535434,-0.42191309,0.20489214,-0.44952965,-1.24696898,0.17443546,-0.95645114,0.31031897,-0.44131604
0.27679973,-0.44088702,0.24878555,-0.53967040,-1.46049824,0.20632069,-1.00129468,0.33743205,-0.41344018
0.31476854,-0.45491188,0.15674515,-0.59082597,-1.70248298,0.20821253,-1.06746066,0.37658019,-0.36991512
0.14380302,-0.45517063,-0.13366046,-0.52864565,-1.85612923,0.13779893,-1.14095480,0.41450503,-0.31838519
-0.24883641,-0.43682895,-0.53483483,-0.37554350,-1.87920818,0.00398563,-1.21736158,0.44297017,-0.26247273
-0.61267675,-0.35930200,-0.94837720,-0.18485110,-1.81249071,-0.14575526,-1.29217707,0.45706212,-0.20635602
-0.79796585,-0.20178193,-1.22897975,0.00888869,-1.77878513,-0.26836407,-1.36430465,0.45586661,-0.15147015
-0.95238274,0.01885670,-1.32252459,0.19880785,-1.77912156,-0.35654831,-1.43530118,0.44034060,-0.09666687
-1.21854572,0.29118499,-1.39482009,0.37999058,-1.68144901,-0.43269788,-1.50389526,0.41159555,-0.04278715
-1.54378992,0.51446396,-1.57302152,0.55150277,-1.39029343,-0.52648926,-1.56453763,0.37038510,0.00525630
-1.82497537,0.54953616,-1.81201767,0.72752267,-0.90066371,-0.64806140,-1.61023620,0.31649779,0.04030049
-1.98335813,0.43450100,-1.99651445,0.91642072,-0.29582275,-0.78069485,-1.63549098,0.24889400,0.05630491
-1.94903368,0.31946081,-1.99996584,1.10642241,0.31043691,-0.87840988,-1.63818834,0.16728298,0.05158404
-1.69639346,0.33280904,-1.78243084,1.27421922,0.86566319,-0.87631104,-1.61890730,0.07372975,0.02868659
-1.30194949,0.53164500,-1.42147941,1.39086866,1.37154503,-0.74852580,-1.57890781,-0.02709817,-0.00835305
-0.91288580,0.78755680,-0.98634438,1.42732649,1.81751046,-0.54765778,-1.51978857,-0.12919548,-0.05551378
-0.60033316,0.88287862,-0.48724806,1.36804545,2.16027806,-0.35553916,-1.44439474,-0.22685775,-0.10867595
-0.33353893,0.73898983,0.07196795,1.22259240,2.32451844,-0.21897699,-1.35785514,-0.31551509,-0.16316398
-0.02801134,0.41673126,0.69714597,1.02045552,2.21302222,-0.15524451,-1.26884156,-0.39205876,-0.21323130
0.38463778,-0.01002037,1.35395840,0.80220436,1.80537870,-0.17151839,-1.18885000,-0.45533798,-0.25284450
0.83671033,-0.46401447,1.88189095,0.61292905,1.24372119,-0.25066046,-1.12725745,-0.50661063,-0.27841410
1.19729250,-0.83767044,2.11622227,0.47382007,0.74309230,-0.34949810,-1.08603311,-0.54890002,-0.29079528
1.43595024,-1.04460745,2.07009962,0.36665049,0.41173955,-0.41621903,-1.06047263,-0.58469138,-0.29414145
1.57932035,-1.04623788,1.91065744,0.26512394,0.22607978,-0.41793646,-1.04462251,-0.61427206,-0.29300830
1.65190178,-0.90011657,1.76926025,0.15952413,0.14180488,-0.35729458,-1.03424135,-0.63658346,-0.29083524
1.70846391,-0.75539791,1.66402789,0.04840892,0.11996892,-0.25244340,-1.02662976,-0.65051004,-0.28995962
1.76282157,-0.68095261,1.57528049,-0.06752838,0.11818563,-0.11487782,-1.02064050,-0.65513416,-0.29161228
1.72453517,-0.57784544,1.46579819,-0.18641966,0.11813186,0.04559143,-1.01620338,-0.64980182,-0.29616087
1.53674658,-0.37724591,1.31681919,-0.31615031,0.09012201,0.21485972,-1.01389069,-0.63388747,-0.30342334
1.28371820,-0.14710943,1.18257657,-0.46986901,-0.01475440,0.38344574,-1.01583154,-0.60611699,-0.31235445
1.03656315,0.06674622,1.07971332,-0.64506332,-0.17933946,0.54010936,-1.02480160,-0.56490179,-0.32133262
