ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.09845988,-0.45847420,-0.28197097,-0.22617993,0.10653965,0.08612392,-1.94270667,0.16762319,0.41274028
-0.19953949,-0.33486233,-0.28427069,-0.26776315,0.09110690,0.14821883,-1.94107827,0.17831702,0.41142419
-0.40003336,-0.18503216,-0.32163370,-0.32232335,0.08651484,0.20321980,-1.93905980,0.19574406,0.41031146
-0.67867226,-0.09408579,-0.44490960,-0.34689638,0.12852811,0.19213637,-1.93641441,0.21599653,0.40885595
-0.94517145,-0.12544325,-0.64884900,-0.30343144,0.21531743,0.09966851,-1.93180926,0.23438390,0.40472741
-1.14237579,-0.24711736,-0.87591240,-0.17341463,0.31638490,-0.04614434,-1.92449730,0.24489406,0.39607604
-1.28576746,-0.32357914,-1.07487053,0.03070448,0.39280643,-0.19165564,-1.91470258,0.24254574,0.38250753
-1.38279887,-0.22431901,-1.19746450,0.27125488,0.42192145,-0.29304731,-1.90348325,0.22511871,0.36537263
-1.45871787,0.10106894,-1.25268394,0.51681404,0.43842852,-0.35091618,-1.89165252,0.19285288,0.34640124
-1.59280455,0.51457952,-1.32735183,0.76360715,0.53170898,-0.41601659,-1.87800848,0.14610338,0.32513157
-1.83882257,0.76990179,-1.50636233,1.03329213,0.77854193,-0.54733968,-1.85844536,0.08299358,0.29791553
-2.05972606,0.76543424,-1.75099770,1.34747302,1.14656138,-0.75195694,-1.82759746,-0.00073262,0.26091408
-2.06607086,0.67381292,-1.86604620,1.69660887,1.50928099,-0.96795631,-1.78237938,-0.10897148,0.21530832
-1.86150035,0.76894297,-1.72194384,2.04291240,1.77228967,-1.11942763,-1.72346462,-0.24220891,0.16845752
-1.53153063,1.09745862,-1.37367248,2.33950082,1.92978801,-1.16556506,-1.65369833,-0.39671676,0.12991708
-1.17996625,1.52142002,-0.93163502,2.54893004,2.03124883,-1.10312876,-1.57617671,-0.56547108,0.10710665
-0.89205275,1.90065646,-0.48403173,2.65205001,2.13119659,-0.96294753,-1.49304711,-0.73997319,0.10305004
-0.61741599,2.09108320,-0.04892649,2.63881714,2.19433161,-0.79641612,-1.40628481,-0.91197923,0.11719755
-0.26054875,2.01836295,0.46377160,2.49890623,2.08219547,-0.64550281,-1.32075681,-1.07401526,0.14835297
0.26438361,1.70463502,1.13948752,2.22043909,1.68689342,-0.51908854,-1.24539132,-1.21885875,0.19515227
1.03746493,1.19202007,1.90616590,1.81771012,1.02581946,-0.41506383,-1.19009779,-1.33981309,0.25402992
1.89032918,0.57565231,2.52454394,1.35640702,0.28208823,-0.33402215,-1.16046866,-1.43303490,0.31875627
2.41798060,0.06519953,2.76265726,0.90689121,-0.26297653,-0.25439062,-1.15383627,-1.49890507,0.38115770
2.50801440,-0.14763532,2.60292589,0.48945099,-0.42826532,-0.15574090,-1.16037148,-1.53995423,0.43126409
2.40724159,-0.05859573,2.24537244,0.09855652,-0.25363168,-0.03757846,-1.16879761,-1.55838565,0.45910443
2.29905165,0.18052946,1.94720846,-0.26143576,0.05481948,0.10180821,-1.17232369,-1.55579131,0.45913640
2.24020077,0.37718983,1.84200080,-0.59430698,0.29586457,0.27247247,-1.17075062,-1.53320340,0.43240524
2.20906392,0.46608707,1.87519343,-0.92291847,0.38583850,0.47770649,-1.16816798,-1.49029864,0.38369752
2.09273836,0.52262029,1.91503381,-1.26096930,0.33162547,0.69672014,-1.16938743,-1.42548301,0.31831935
1.80793012,0.57875154,1.86643342,-1.59717780,0.18148243,0.89594181,-1.17772448,-1.33731228,0.24159457
1.36441663,0.59302762,1.68825997,-1.90950912,0.01658610,1.03931663,-1.19371227,-1.22574240,0.15883284
0.82484213,0.52916209,1.37653708,-2.17444978,-0.08408562,1.09236160,-1.21453330,-1.09275166,0.07472749
0.28036862,0.39935427,0.96799488,-2.36185743,-0.09481995,1.03935361,-1.23533881,-0.94280558,-0.00650413
-0.18511593,0.25327651,0.51749314,-2.44137510,-0.03066889,0.89575845,-1.25161476,-0.78289761,-0.08077079
-0.56280347,0.15677563,0.05461178,-2.39634226,0.09113836,0.70108378,-1.26033377,-0.62168502,-0.14492612
-0.86574433,0.15557730,-0.38836664,-2.22888982,0.24881225,0.49892769,-1.26003886,-0.46809820,-0.19774372
-1.03287729,0.21761059,-0.74210538,-1.96691784,0.39093791,0.32787544,-1.25113562,-0.32968836,-0.23970582
-1.01474663,0.30901251,-0.93433619,-1.66278866,0.43973756,0.21127713,-1.23666894,-0.21084852,-0.27166937
-0.86547968,0.43312095,-0.95563421,-1.36672895,0.35060397,0.15244723,-1.22219011,-0.11223201,-0.29368943
-0.68610409,0.54647377,-0.87847697,-1.11303744,0.15817295,0.14389739,-1.21320183,-0.03168434,-0.30558929
-0.54443561,0.58575392,-0.78549525,-0.92615347,-0.06689953,0.16250007,-1.21266735,0.03474766,-0.30798524
-0.44113880,0.53061248,-0.72857372,-0.80656693,-0.25666349,0.17865947,-1.22055968,0.09158782,-0.30241629
-0.38339750,0.39935511,-0.73996043,-0.72784207,-0.35362662,0.18143535,-1.23419967,0.14216986,-0.29138494
-0.40387573,0.23509477,-0.80128666,-0.66909757,-0.34111709,0.17326777,-1.24938709,0.18814879,-0.27808374
