ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.00435370,-0.02358215,-0.68483653,0.66543316,-0.85935837,-0.22177144,-1.35718367,0.70622721,-0.08145903
-0.12289612,0.01412620,-0.77339356,0.74193807,-0.79118745,-0.27311165,-1.38302961,0.66762261,-0.07432266
-0.21611850,0.07128663,-0.84597389,0.87572792,-0.64640581,-0.31710297,-1.41420009,0.61020367,-0.06795802
-0.34251947,0.14924066,-0.92177020,1.04350759,-0.42278483,-0.30471273,-1.43829345,0.54318476,-0.06793226
-0.50506708,0.27476599,-1.01209979,1.22114159,-0.14891659,-0.23406883,-1.45233970,0.46639372,-0.07602861
-0.58313565,0.41959016,-1.06425040,1.38594140,0.09928037,-0.15659776,-1.45562755,0.38055030,-0.09159344
-0.54945421,0.51732537,-1.06707655,1.54327748,0.27403085,-0.13135482,-1.45037455,0.28565993,-0.11131346
-0.49317144,0.55303149,-1.07138062,1.72920228,0.42330853,-0.13822690,-1.43882186,0.17988528,-0.13174303
-0.50258131,0.62495369,-1.06236557,1.95614852,0.62267289,-0.10748200,-1.42033714,0.06081976,-0.15128632
-0.57960107,0.84897125,-0.95868706,2.18011908,0.85160944,-0.01463089,-1.39307470,-0.07183619,-0.16862282
-0.66446924,1.16587293,-0.73483347,2.33806175,1.00364332,0.11619481,-1.35820539,-0.21482542,-0.18012039
-0.66703343,1.38398344,-0.42483555,2.39828035,1.01344669,0.24671457,-1.32078043,-0.36225578,-0.18056796
-0.54137838,1.38621429,-0.09335904,2.37153618,0.90227267,0.34447518,-1.28658597,-0.50806299,-0.16625261
-0.33088359,1.22371166,0.20984544,2.28860635,0.71297322,0.40317879,-1.25967580,-0.64786081,-0.13620459
-0.11039472,1.01534185,0.48699405,2.17610143,0.45676651,0.44122918,-1.24271556,-0.77901763,-0.09097802
0.10129297,0.80653659,0.75916648,2.04626971,0.13527195,0.47355086,-1.23801593,-0.89987302,-0.03133931
0.34054177,0.55393756,1.01113080,1.89603882,-0.21664862,0.48807742,-1.24691580,-1.00917388,0.04148870
0.63316216,0.18823526,1.20325225,1.71406739,-0.53766938,0.45466656,-1.26825782,-1.10592529,0.12469624
0.93837119,-0.28114197,1.32021973,1.49204431,-0.78498945,0.36445541,-1.29838026,-1.18938108,0.21358018
1.15984221,-0.69524627,1.38277865,1.22817841,-0.96020714,0.25157983,-1.33314024,-1.25878016,0.30254049
1.23367242,-0.88000712,1.41849443,0.92731077,-1.07249517,0.16835219,-1.36981207,-1.31300430,0.38621869
1.19432741,-0.82586470,1.41296384,0.60021540,-1.08569286,0.15297384,-1.40664923,-1.35061739,0.45923853
1.14232907,-0.63861676,1.33457390,0.25670804,-0.95469370,0.21322232,-1.44142744,-1.37016434,0.51537388
1.12158620,-0.42160828,1.21075232,-0.09510233,-0.69807431,0.33009703,-1.47167203,-1.37048830,0.54858603
1.10750179,-0.24393187,1.09828365,-0.44728026,-0.38180154,0.48219035,-1.49589496,-1.35081935,0.55518512
1.11025123,-0.11959231,1.01616257,-0.79252543,-0.06387161,0.65832752,-1.51386274,-1.31053806,0.53463744
1.14343865,-0.03524301,0.96051406,-1.11973976,0.20905308,0.84736888,-1.52617734,-1.24917612,0.48939756
1.17180842,0.01183757,0.93479644,-1.41556323,0.38850227,1.02261002,-1.53414458,-1.16691787,0.42489944
1.12991393,0.01723213,0.93274049,-1.67133944,0.44479084,1.13675223,-1.53956022,-1.06526447,0.34897303
0.96664490,-0.04554058,0.91259269,-1.88183271,0.38575237,1.14648428,-1.54414108,-0.94738700,0.27025014
0.70957420,-0.19836281,0.83078878,-2.04047196,0.23991109,1.03596163,-1.54929083,-0.81790416,0.19659624
0.40939945,-0.40687414,0.68360487,-2.14017734,0.03843914,0.81251107,-1.55631530,-0.68242142,0.13430759
0.09973054,-0.59692655,0.48743510,-2.17151873,-0.18423725,0.50484296,-1.56643260,-0.54712031,0.08766281
-0.18474737,-0.69672262,0.26149032,-2.12086262,-0.39765806,0.16353556,-1.58057873,-0.41839110,0.05870353
-0.42195443,-0.65223213,0.04206069,-1.98246865,-0.57892020,-0.14465949,-1.59930234,-0.30210222,0.04734361
-0.55785447,-0.44317230,-0.13940467,-1.77282315,-0.69884364,-0.35718517,-1.62225251,-0.20221769,0.05125014
-0.54922778,-0.12941088,-0.28363055,-1.52818310,-0.74558019,-0.44467295,-1.64788115,-0.11970665,0.06621909
-0.44100941,0.16861821,-0.38659770,-1.29087655,-0.75211882,-0.41661529,-1.67454636,-0.05260166,0.08805000
-0.29998884,0.37031809,-0.43018594,-1.09561115,-0.76018668,-0.30673812,-1.70164414,0.00308433,0.11422614
-0.17033460,0.46557793,-0.42822373,-0.95862421,-0.77885887,-0.16743772,-1.72929867,0.05190360,0.14377952
-0.09590843,0.43695710,-0.44303785,-0.87343102,-0.78453049,-0.06218893,-1.75729939,0.09714517,0.17599350
-0.11349508,0.26930862,-0.52467755,-0.81730273,-0.74516482,-0.02816096,-1.78451729,0.13976597,0.20933974
-0.24667508,0.05585911,-0.64391605,-0.76701075,-0.63892619,-0.05595574,-1.80908170,0.17897781,0.24125356
-0.44882450,-0.09225103,-0.74769192,-0.71194157,-0.46663202,-0.11333531,-1.82888642,0.21364346,0.26858416
-0.58737303,-0.17197450,-0.81699197,-0.65325772,-0.26349302,-0.16824748,-1.84245488,0.24330412,0.28881481
-0.59006954,-0.20378333,-0.83650290,-0.59404384,-0.08065505,-0.19588084,-1.84972162,0.26842672,0.30131587
-0.50686672,-0.17600326,-0.79572228,-0.53364863,0.05049046,-0.18191651,-1.85190340,0.29007056,0.30735461
-0.40211334,-0.09615334,-0.71280811,-0.47076074,0.12886305,-0.12910200,-1.85063469,0.30936676,0.30895665
-0.29894983,-0.01676065,-0.62226562,-0.40593551,0.16644857,-0.05677849,-1.84730432,0.32708861,0.30791585
-0.22698003,0.01800255,-0.56120677,-0.35643670,0.17778643,-0.00032905,-1.84414199,0.33973022,0.30628628
