ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.40091685,-0.57819799,-0.16554410,-0.15615051,0.06335380,0.14082537,0.64110518,1.84254441,0.32046132
0.39671672,-0.58323163,-0.16848905,-0.16056694,0.06735029,0.16136125,0.64414131,1.84712448,0.32734814
0.37823319,-0.59421001,-0.18242760,-0.15711024,0.07272592,0.17801721,0.64863984,1.85303086,0.33652613
0.34994674,-0.60245175,-0.20455760,-0.14090486,0.07286493,0.17987663,0.65348254,1.85829475,0.34513044
0.32515468,-0.60000402,-0.21923003,-0.11601652,0.06147929,0.16961815,0.65803033,1.86248784,0.35233607
0.30795913,-0.59208468,-0.22083911,-0.09025593,0.04284516,0.15245432,0.66172376,1.86545831,0.35767946
0.30400993,-0.58098320,-0.21838643,-0.07153895,0.02353456,0.13389825,0.66432867,1.86742507,0.36130536
0.31494498,-0.55219573,-0.21423095,-0.06258259,0.00564729,0.12019342,0.66587137,1.86884219,0.36377592
0.32364224,-0.48021993,-0.21533140,-0.05922463,0.00042865,0.12045360,0.66681345,1.87004245,0.36570653
0.32201316,-0.35870242,-0.24093931,-0.05155719,0.02271878,0.13896341,0.66827584,1.87090993,0.36746043
0.32222782,-0.22044099,-0.28738240,-0.02758963,0.07217019,0.16951026,0.67157854,1.87075067,0.36877297
0.33247085,-0.10090059,-0.33112976,0.01817564,0.12810255,0.20108601,0.67745983,1.86847351,0.36863088
0.35249427,-0.00235728,-0.35857927,0.07965343,0.16336613,0.22615150,0.68559713,1.86310525,0.36571097
0.38529549,0.10841884,-0.38465184,0.14866584,0.16877516,0.24286132,0.69491473,1.85413352,0.35895203
0.44427477,0.26948615,-0.44598207,0.22719872,0.14860430,0.26608444,0.70444491,1.84115236,0.34751929
0.52112790,0.52142866,-0.56955552,0.33681888,0.11298751,0.32423899,0.71405809,1.82288834,0.33001318
0.59294871,0.86230525,-0.74866013,0.51733689,0.06849441,0.41934242,0.72434613,1.79613310,0.30333618
0.68151712,1.18259759,-0.91708792,0.79782501,0.00054863,0.52694871,0.73530563,1.75564307,0.26242021
0.78019525,1.42389584,-1.00604967,1.16943764,-0.09548309,0.62706530,0.74577182,1.69540276,0.20217052
0.85558005,1.62071783,-1.02096371,1.58965373,-0.21278065,0.70975907,0.75407918,1.61033059,0.12038387
0.92386530,1.76349538,-0.98597344,2.00520478,-0.35896765,0.77562060,0.75823286,1.49746694,0.01915072
0.97222515,1.82123278,-0.89901750,2.37165010,-0.54267292,0.81842110,0.75567519,1.35645802,-0.09564739
0.98028921,1.76075288,-0.75384994,2.66363795,-0.75399693,0.81481572,0.74343011,1.18950036,-0.21583506
0.95550205,1.59348291,-0.55205767,2.87316637,-0.95245743,0.74610789,0.71938938,1.00079990,-0.33243768
0.92256752,1.40012023,-0.31090276,2.99238730,-1.11696175,0.61643486,0.68334921,0.79615392,-0.43693352
0.90865366,1.22570468,-0.04802949,3.01075487,-1.26937626,0.45090703,0.63604586,0.58286423,-0.52268531
0.88653655,1.04587699,0.21115806,2.92956209,-1.41898693,0.27029123,0.57841938,0.36914622,-0.58597213
0.85294921,0.81581755,0.43313410,2.76189941,-1.56350224,0.07621071,0.51186468,0.16297874,-0.62614836
0.84365500,0.51964666,0.62516291,2.52055175,-1.71448112,-0.12570327,0.43780030,-0.02871252,-0.64529292
0.84299533,0.16495959,0.81635976,2.21321308,-1.88141913,-0.31166332,0.35709070,-0.20013843,-0.64748374
0.79053140,-0.23754582,0.99407072,1.85076090,-2.04781968,-0.45513421,0.27033245,-0.34673112,-0.63780755
0.65700637,-0.62962638,1.11538369,1.45565653,-2.17136453,-0.54114667,0.17887593,-0.46565025,-0.62132270
