ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.04953282,-0.37951612,-0.28774389,-0.33478783,0.03543234,-0.06560995,-0.37982801,2.02272857,0.47261077
0.08227230,-0.20642115,-0.31476905,-0.36968847,0.01124342,-0.08163462,-0.38281420,2.03462672,0.49055291
0.09566273,0.09217904,-0.38767381,-0.39097611,-0.01968754,-0.13386224,-0.38844917,2.05109409,0.51615270
0.04300277,0.52130472,-0.54450383,-0.34664767,-0.01006827,-0.20987100,-0.39652303,2.06653607,0.54142835
-0.07520672,1.09178102,-0.77658011,-0.19604222,0.06023406,-0.24193689,-0.40519886,2.07689849,0.55963958
-0.17306346,1.68270004,-0.98065175,0.06262452,0.16046763,-0.17929613,-0.41088646,2.07749082,0.56232592
-0.12624741,2.09604566,-1.09269499,0.37978509,0.25556014,-0.03273414,-0.41044511,2.06482481,0.54329059
0.06669113,2.25832805,-1.13058733,0.68930300,0.33778017,0.16000159,-0.40218567,2.03776730,0.50128765
0.25927287,2.25300215,-1.11841407,0.95127125,0.42550450,0.36443025,-0.38539144,1.99717629,0.43937642
0.33820009,2.17521058,-1.07128652,1.16720596,0.53528035,0.57630320,-0.35945372,1.94443637,0.36206731
0.31654563,2.04038335,-0.97070120,1.35119045,0.66053719,0.80975460,-0.32344527,1.88036827,0.27327839
0.23907891,1.83685960,-0.79256008,1.49843672,0.77803069,1.05007015,-0.27696725,1.80554874,0.17676255
0.12300232,1.57080180,-0.55406493,1.59166176,0.85918089,1.26084733,-0.22139298,1.72125663,0.07712878
-0.02522955,1.23275145,-0.28215408,1.62487788,0.89129956,1.41208093,-0.15984835,1.62974743,-0.02059125
-0.20438067,0.81931539,-0.00449684,1.60948123,0.88950609,1.48765999,-0.09592218,1.53367510,-0.11229031
-0.40444816,0.35801159,0.24911180,1.56326707,0.86501489,1.48330766,-0.03273294,1.43540220,-0.19554580
-0.59662704,-0.13931152,0.47791579,1.50194968,0.80091550,1.39625852,0.02666299,1.33671453,-0.26948565
-0.74266426,-0.67752260,0.70192307,1.43606143,0.67451065,1.22164090,0.07858364,1.23890519,-0.33434343
-0.82628268,-1.23623502,0.92317722,1.36827870,0.48669416,0.96288476,0.11911154,1.14306532,-0.39098053
-0.86146970,-1.76375830,1.11411030,1.29454313,0.26723413,0.64506336,0.14545821,1.05040195,-0.44037382
-0.85432507,-2.19862272,1.24492369,1.20984596,0.05993882,0.31241756,0.15720054,0.96228273,-0.48325149
-0.79796585,-2.49081593,1.31003920,1.11311467,-0.09700409,0.01340195,0.15647778,0.87999940,-0.52004337
-0.69961902,-2.62177351,1.32490382,1.00810422,-0.18295262,-0.21487285,0.14719459,0.80450621,-0.55105226
-0.57927466,-2.63754520,1.31795307,0.90250683,-0.20397386,-0.35975895,0.13370239,0.73616437,-0.57670445
-0.46282266,-2.62847610,1.32508801,0.79761160,-0.18811480,-0.42956929,0.11937877,0.67488511,-0.59761356
-0.37334855,-2.62270219,1.36682593,0.67467968,-0.16416150,-0.43649760,0.10596958,0.62122552,-0.61426804
-0.31114051,-2.54732067,1.43595523,0.50465109,-0.15198556,-0.39120081,0.09385744,0.57760101,-0.62672204
-0.24777780,-2.35142317,1.51139841,0.26932072,-0.16771909,-0.30713236,0.08243229,0.54822026,-0.63466297
-0.15208631,-2.09551974,1.56805399,-0.03297984,-0.22136156,-0.20001807,0.07029180,0.53799067,-0.63756245
-0.05108708,-1.85626476,1.57339385,-0.39135476,-0.29543074,-0.08865190,0.05602150,0.55144149,-0.63455729
-0.00674896,-1.62967301,1.48990456,-0.78264884,-0.34292464,0.00849532,0.03967537,0.59179055,-0.62421152
-0.03954725,-1.38208669,1.31083047,-1.17259169,-0.32401085,0.08247142,0.02335354,0.65997854,-0.60451104
-0.14286072,-1.11927299,1.07697618,-1.52745923,-0.22150881,0.12074485,0.01032293,0.75418848,-0.57316113
-0.28037417,-0.88895145,0.81406258,-1.82251590,-0.03777852,0.09701318,0.00381674,0.87023609,-0.52802959
-0.37957965,-0.72612140,0.53307020,-2.03534769,0.18353295,-0.00079487,0.00545257,1.00213502,-0.46777280
-0.40277105,-0.59448468,0.28247264,-2.14075170,0.36992356,-0.15509678,0.01377814,1.14232050,-0.39274509
-0.36440820,-0.46039102,0.09470866,-2.11778523,0.46067596,-0.33381668,0.02448796,1.28199701,-0.30597470
-0.28484091,-0.31608939,-0.02971638,-1.96784692,0.43031511,-0.50816601,0.03204826,1.41233717,-0.21334497
-0.16449460,-0.11049306,-0.10473594,-1.72710389,0.29073340,-0.66511025,0.03154078,1.52659694,-0.12205974
0.00021728,0.17933951,-0.16970975,-1.44777939,0.06177783,-0.79991666,0.01949612,1.62160659,-0.03822880
0.18527211,0.49325166,-0.24470097,-1.16617841,-0.22535700,-0.90268419,-0.00600902,1.69722178,0.03441006
0.32916270,0.74145933,-0.33015865,-0.89874012,-0.50320300,-0.96240438,-0.04456772,1.75473085,0.09422905
0.38512396,0.88434742,-0.43411980,-0.66154135,-0.70287788,-0.97533964,-0.09298187,1.79610124,0.14125302
0.37690601,0.96184339,-0.55194976,-0.47568315,-0.79535725,-0.94096791,-0.14638044,1.82422007,0.17715063
0.35307454,1.02377117,-0.66593632,-0.35336042,-0.78305293,-0.85852301,-0.19962446,1.84284939,0.20484710
0.33170532,1.09277920,-0.75894383,-0.29298170,-0.68189963,-0.73352682,-0.24809598,1.85596677,0.22757850
0.31749740,1.18163457,-0.82735234,-0.28398799,-0.51984817,-0.57559606,-0.28822504,1.86715737,0.24819100
0.32122606,1.27013153,-0.87911384,-0.30442889,-0.33948015,-0.39336161,-0.31792570,1.87906094,0.26868096
