ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.10782759,-0.63731543,-0.29333079,0.10894897,-0.15452575,0.04157593,-0.21694237,0.55129646,-0.62201715
-0.07891970,-0.58413938,-0.27791831,0.07303402,-0.07150388,0.06404063,-0.22088482,0.54554121,-0.62296825
-0.04045589,-0.51881341,-0.24721105,0.01696022,0.02709649,0.09753490,-0.22297280,0.54063516,-0.62392024
-0.01621274,-0.47085774,-0.20375033,-0.03959432,0.09734040,0.12488140,-0.22103599,0.53995201,-0.62431098
-0.00483660,-0.46260009,-0.14991145,-0.08207960,0.11811852,0.13247037,-0.21689243,0.54293874,-0.62406499
0.01668161,-0.49898534,-0.09048385,-0.09887434,0.08826158,0.11984629,-0.21298642,0.54809488,-0.62325243
0.04411235,-0.55988478,-0.05147979,-0.08294990,0.02496868,0.09276520,-0.21132832,0.55321374,-0.62218144
0.06944449,-0.62524926,-0.03814469,-0.04118020,-0.06190498,0.05750893,-0.21325096,0.55608255,-0.62125343
0.10184188,-0.66718734,-0.02722011,0.00558942,-0.16018045,0.02601118,-0.21958507,0.55555596,-0.62065222
0.12702602,-0.66018748,-0.01925610,0.03275471,-0.24400716,0.00785863,-0.23023010,0.55218699,-0.62021353
0.12474216,-0.61745721,-0.03351473,0.02280835,-0.28514998,0.00261094,-0.24380463,0.54810166,-0.61952174
0.09902774,-0.57536756,-0.07952039,-0.02763211,-0.27622829,0.00486106,-0.25808438,0.54618844,-0.61811329
0.06834373,-0.55556461,-0.14826132,-0.10745856,-0.23260490,0.01023081,-0.27109407,0.54902336,-0.61561787
0.03873206,-0.54655497,-0.23285360,-0.19412846,-0.17481210,0.01704904,-0.28173302,0.55794697,-0.61185787
-0.00165293,-0.51018563,-0.34004454,-0.26042815,-0.12965797,0.02145793,-0.28994995,0.57246385,-0.60692565
-0.03667038,-0.41749913,-0.47015784,-0.28373732,-0.12511894,0.02139715,-0.29696970,0.59025415,-0.60116843
-0.03745061,-0.27196401,-0.61931703,-0.24601247,-0.17911881,0.01581229,-0.30511240,0.60756800,-0.59518475
-0.02289767,-0.11126348,-0.80152499,-0.12543565,-0.27281211,-0.01216348,-0.31675889,0.61925809,-0.59003229
-0.04939722,0.03433027,-1.06593032,0.10530374,-0.34725996,-0.08435563,-0.33265018,0.61833570,-0.58757151
-0.15298907,0.21364715,-1.44396362,0.46932950,-0.34982277,-0.20511278,-0.35111127,0.59582844,-0.59033867
-0.29490653,0.48745263,-1.89973546,0.97576929,-0.24044088,-0.33798649,-0.36822875,0.54147215,-0.60059652
-0.41041656,0.86931014,-2.34756691,1.59143969,0.00005087,-0.40590331,-0.37799040,0.44578951,-0.61856975
-0.44728266,1.35080880,-2.62401762,2.21057741,0.32583461,-0.35281747,-0.37437795,0.30452238,-0.64016266
-0.41777292,1.85366967,-2.56375696,2.70418152,0.64402353,-0.19013863,-0.35496802,0.12253412,-0.65656315
-0.46989378,2.26685534,-2.15093938,3.00032227,0.87953959,-0.00088385,-0.32212122,-0.08752011,-0.65759950
-0.65405860,2.44494794,-1.47610666,3.09510393,0.94908996,0.11681900,-0.28229787,-0.31015496,-0.63608119
-0.79596233,2.22413764,-0.61171088,3.00447293,0.78805275,0.12178827,-0.24507604,-0.53054111,-0.59013175
-0.70997085,1.60532968,0.30459137,2.72899338,0.49265653,0.04516275,-0.21846213,-0.73478723,-0.52421365
-0.36638525,0.82644338,1.03257523,2.29019148,0.23696735,-0.03518821,-0.20360606,-0.91040894,-0.44858650
0.05778410,0.16718792,1.48550276,1.76132911,0.11862453,-0.07460197,-0.19616250,-1.04941721,-0.37560130
0.33961745,-0.26163127,1.72532542,1.21558557,0.20044670,-0.07369598,-0.18937085,-1.14990628,-0.31548038
0.41818788,-0.43942491,1.80233117,0.66869573,0.49439757,-0.03045312,-0.17531717,-1.21316111,-0.27520735
0.40270767,-0.43473879,1.82538360,0.10945636,0.90197009,0.04725348,-0.14808038,-1.23997396,-0.25922336
0.38202752,-0.38687440,1.89474686,-0.43558092,1.28025442,0.12660153,-0.10631751,-1.23076977,-0.26871305
0.30429614,-0.35164477,2.00119630,-0.90835663,1.52297584,0.16681947,-0.05274888,-1.18817473,-0.30023346
0.16882053,-0.37819720,2.08878548,-1.26355588,1.59135752,0.15432843,0.00761410,-1.11784309,-0.34657719
0.07058250,-0.48860654,2.11488385,-1.48617474,1.48102863,0.10193551,0.06869984,-1.02731794,-0.39951912
0.00562011,-0.59425691,2.08875968,-1.58824315,1.19132530,0.01607653,0.12348454,-0.92447039,-0.45236071
-0.06462846,-0.62918423,2.02842564,-1.59805071,0.76856585,-0.09240570,0.16504293,-0.81619223,-0.50112171
-0.11296283,-0.58411761,1.90390287,-1.55295854,0.30277708,-0.19570930,0.18892979,-0.70757791,-0.54423294
-0.13978782,-0.45205800,1.70590968,-1.50390862,-0.14950393,-0.27879105,0.19367193,-0.60095137,-0.58173081
-0.15422706,-0.23636006,1.46940690,-1.49142728,-0.55980867,-0.33973701,0.17954875,-0.49534344,-0.61440924
-0.16233229,0.05422952,1.17972826,-1.50894094,-0.87061953,-0.36697681,0.14889250,-0.38851493,-0.64255773
-0.19974729,0.36489589,0.80174400,-1.52458733,-1.02538324,-0.35661736,0.10694608,-0.27976575,-0.66536372
-0.24444514,0.58071777,0.36824312,-1.51722588,-1.00665114,-0.32332790,0.06096408,-0.17034968,-0.68172513
-0.23730834,0.62665446,-0.06585359,-1.47938440,-0.81902683,-0.27862154,0.01879563,-0.06247070,-0.69123614
-0.15932407,0.53402742,-0.45346579,-1.41739568,-0.50185171,-0.22303048,-0.01240589,0.04170858,-0.69445087
-0.01282715,0.39634631,-0.73074047,-1.34427033,-0.16620513,-0.15917863,-0.02885932,0.14085168,-0.69248473
0.16591229,0.28897927,-0.84989541,-1.26075552,0.06484994,-0.09682421,-0.03244883,0.23419820,-0.68642558
0.29615465,0.23519526,-0.85703108,-1.18939741,0.16115653,-0.05400666,-0.03038987,0.30105514,-0.68012220
