ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.08560365,-0.65824805,-0.03674851,-0.02498032,-0.07030748,-0.05225428,-0.15705381,0.62550739,-0.60830834
-0.06815716,-0.65742655,-0.01474204,-0.06276321,-0.08623889,-0.06909225,-0.16156785,0.62690147,-0.60751886
-0.03314658,-0.65567386,-0.01033515,-0.11055831,-0.10304585,-0.08289331,-0.16819687,0.63102747,-0.60574365
0.01272456,-0.65154797,-0.03404043,-0.16027696,-0.11203345,-0.08708221,-0.17549803,0.63855767,-0.60288236
0.04948675,-0.64972243,-0.07224994,-0.22380368,-0.10826255,-0.08585053,-0.18296318,0.65004783,-0.59876980
0.08463163,-0.67100005,-0.12067921,-0.31047469,-0.09974066,-0.07462679,-0.19005582,0.66683306,-0.59296996
0.12250438,-0.68583970,-0.16553974,-0.42190233,-0.11951966,-0.04811604,-0.19713226,0.69065240,-0.58474041
0.12247007,-0.60458881,-0.20262590,-0.55013141,-0.18279669,-0.01850608,-0.20577839,0.72300294,-0.57312828
0.04669810,-0.41377101,-0.28626051,-0.67593822,-0.27054648,-0.01634629,-0.21760844,0.76434216,-0.55731834
-0.12167578,-0.17502684,-0.48433908,-0.75671089,-0.34997092,-0.06927223,-0.23343022,0.81284901,-0.53727596
-0.35047865,0.08242579,-0.82523826,-0.73523425,-0.38579263,-0.17759794,-0.25273892,0.86300883,-0.51473816
-0.56992557,0.47538981,-1.29317791,-0.56755630,-0.35814574,-0.31662415,-0.27388726,0.90593935,-0.49360171
-0.67876440,1.15428744,-1.88263506,-0.20529061,-0.22707288,-0.42383400,-0.29353541,0.92997217,-0.48007583
-0.61365890,1.98270289,-2.54978425,0.35948829,0.02883365,-0.41773756,-0.30560368,0.92146604,-0.48186436
-0.38346122,2.70659178,-3.07126923,1.02142931,0.36451273,-0.24412369,-0.30362706,0.87021305,-0.50368195
-0.00135397,3.19382499,-3.24993896,1.64521911,0.74471202,0.09858643,-0.28285461,0.77437860,-0.54320990
0.33979879,3.35321163,-3.07981598,2.16367794,1.17372175,0.53074640,-0.24024009,0.63845669,-0.59221156
0.35936347,3.21723716,-2.62926883,2.56402199,1.63644754,0.94692104,-0.17460589,0.46890605,-0.63990157
0.02263041,2.93608262,-1.92753301,2.83351042,1.99630371,1.25018684,-0.08938427,0.27302509,-0.67522728
-0.48688937,2.54910270,-0.93180250,2.93841645,2.05942899,1.35753362,0.00384373,0.06087737,-0.68914745
-0.94353060,1.98861162,0.29850165,2.85279570,1.69160352,1.23872268,0.08696523,-0.15364782,-0.67824842
-1.20398689,1.16661990,1.62693518,2.57872039,0.86940323,0.88898413,0.14029699,-0.35470592,-0.64705481
-1.18619440,0.01900660,2.82915768,2.16082550,-0.12879292,0.37741566,0.15190637,-0.52833376,-0.60557670
-0.91871894,-1.14859473,3.45575985,1.68280853,-0.79075035,-0.10450639,0.12891705,-0.66685000,-0.56332421
-0.60207496,-1.72669308,3.32683929,1.20461671,-0.86928382,-0.39143533,0.09398903,-0.76947255,-0.52613183
-0.34744299,-1.55815360,2.88221582,0.72541208,-0.54103329,-0.44970806,0.06781647,-0.83783946,-0.49796114
-0.09944987,-1.03594198,2.60089792,0.22028299,-0.08647766,-0.32733748,0.05902389,-0.87198259,-0.48268226
0.13225437,-0.55292594,2.55450206,-0.30478901,0.29334729,-0.12272377,0.06631628,-0.87054717,-0.48313871
0.24611572,-0.31491786,2.61576218,-0.79872855,0.48761733,0.04621022,0.08343308,-0.83376091,-0.49927190
0.19679430,-0.32507307,2.64804255,-1.20478009,0.48775499,0.11677089,0.10309743,-0.76536689,-0.52760688
0.05078257,-0.43099894,2.55146593,-1.49663529,0.34459217,0.09503422,0.11938147,-0.67189431,-0.56265907
-0.11307752,-0.51187468,2.31911172,-1.68152473,0.11090328,0.00102892,0.12803908,-0.56058672,-0.59896074
-0.27770019,-0.50788025,1.98762976,-1.78253057,-0.15218823,-0.14579764,0.12653215,-0.43785131,-0.63226080
-0.41842867,-0.38359512,1.57936912,-1.82267649,-0.38420527,-0.30989895,0.11454688,-0.30884017,-0.65966688
-0.48060045,-0.15687693,1.13819851,-1.81628333,-0.56251933,-0.45468814,0.09342553,-0.17766302,-0.67943574
-0.44886273,0.10734110,0.71986706,-1.76597440,-0.69717974,-0.55751088,0.06472769,-0.04800329,-0.69078945
-0.33855361,0.34458882,0.34260069,-1.66820104,-0.79448785,-0.60248501,0.02977605,0.07631799,-0.69381947
-0.17505815,0.52604360,-0.01354785,-1.52165366,-0.83928877,-0.58942194,-0.00952227,0.19133545,-0.68948224
0.02032597,0.60318786,-0.35491025,-1.33738581,-0.81448899,-0.53496008,-0.05016085,0.29362591,-0.67952366
0.23790463,0.52860773,-0.65053691,-1.13843708,-0.71864317,-0.44776050,-0.08849212,0.38127547,-0.66615319
0.43281336,0.37922138,-0.86632078,-0.94585728,-0.57629118,-0.32955721,-0.12132677,0.45421432,-0.65151903
0.55901045,0.27974437,-0.98278181,-0.77113710,-0.41898727,-0.18163877,-0.14684946,0.51365762,-0.63730137
0.59000224,0.26814966,-1.01303131,-0.62462941,-0.26146257,-0.01681026,-0.16434620,0.56156332,-0.62454188
0.51587798,0.30168438,-0.98854383,-0.51613990,-0.11532066,0.13167835,-0.17387098,0.60053524,-0.61358335
0.38613944,0.30719366,-0.93311040,-0.44411382,0.00665346,0.23793190,-0.17633754,0.63333648,-0.60421443
0.25039917,0.25270540,-0.86561307,-0.39768606,0.09118854,0.29469167,-0.17344785,0.66212964,-0.59598577
0.12080570,0.16040662,-0.79140949,-0.36260974,0.12740196,0.30377419,-0.16753080,0.68811025,-0.58848442
0.02534652,0.03669929,-0.71070857,-0.32555062,0.11566701,0.27194045,-0.16111098,0.71146535,-0.58152656
-0.02028447,-0.11871722,-0.62639603,-0.28126075,0.06029143,0.20953556,-0.15658074,0.73176458,-0.57514415
-0.03617146,-0.24288093,-0.56134628,-0.24441374,-0.00147103,0.15195962,-0.15484774,0.74529130,-0.57067460
