ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.06888447,-0.77826912,-0.23161873,-0.03288791,0.13720548,0.04096693,-0.10082764,0.36282100,-0.66933774
-0.07179957,-0.76254433,-0.21327837,-0.01553315,0.12651608,0.01702996,-0.09754383,0.36245232,-0.66957396
-0.04891693,-0.72919551,-0.17073500,-0.00225334,0.10191404,-0.00122609,-0.09394893,0.36119107,-0.66995759
-0.01567363,-0.68135624,-0.12230391,-0.00271825,0.07551327,-0.00389932,-0.09159776,0.35945406,-0.67034123
0.00705610,-0.63380754,-0.09098121,-0.01238674,0.06306201,0.00079643,-0.09014347,0.35811827,-0.67061564
0.01488687,-0.61130563,-0.07509679,-0.02754241,0.06677943,0.00566912,-0.08884169,0.35770418,-0.67074352
0.01840381,-0.61895365,-0.06131373,-0.05049407,0.07359757,0.00332395,-0.08724703,0.35866045,-0.67067958
0.04195984,-0.64365040,-0.04771414,-0.08179270,0.06619254,-0.00756869,-0.08566046,0.36158483,-0.67031637
0.08393079,-0.67512511,-0.04402587,-0.11190181,0.04162704,-0.01856146,-0.08486887,0.36677892,-0.66956241
0.11348757,-0.69491550,-0.05515208,-0.13168070,0.01599037,-0.02420152,-0.08530280,0.37379812,-0.66845057
0.11490689,-0.68521500,-0.08436289,-0.14596364,-0.00085808,-0.02680958,-0.08670243,0.38199725,-0.66707765
0.10860914,-0.65277393,-0.13267517,-0.16686098,-0.02223328,-0.02823002,-0.08893617,0.39142102,-0.66542499
0.11056463,-0.61042217,-0.19539432,-0.20145647,-0.05678325,-0.02856618,-0.09244469,0.40284340,-0.66331410
0.11574594,-0.55037940,-0.28046035,-0.25018381,-0.09843881,-0.02813615,-0.09768015,0.41727896,-0.66049632
0.12739751,-0.46714385,-0.40131410,-0.30641829,-0.14854885,-0.02839278,-0.10498131,0.43554095,-0.65672033
0.13679267,-0.36600040,-0.57131174,-0.34919970,-0.20238036,-0.02797457,-0.11468291,0.45748027,-0.65187336
0.10133218,-0.21278376,-0.79904870,-0.34621890,-0.23091133,-0.02810964,-0.12633008,0.48095601,-0.64630263
0.00045351,0.02774659,-1.06058029,-0.27388021,-0.20715472,-0.04545666,-0.13820602,0.50171880,-0.64100275
-0.11696497,0.27819852,-1.32459180,-0.12178194,-0.11560616,-0.08669827,-0.14776657,0.51430755,-0.63748519
-0.16737539,0.42482394,-1.56568858,0.11121317,0.04563011,-0.12312189,-0.15192228,0.51288026,-0.63747009
-0.10225127,0.46983362,-1.71967718,0.40735112,0.23008450,-0.11578415,-0.14824774,0.49222455,-0.64221583
0.04755185,0.50249912,-1.71001909,0.73120898,0.37089407,-0.04450373,-0.13685701,0.44906631,-0.65167622
0.19514169,0.59608499,-1.52966290,1.03837951,0.45266442,0.08755415,-0.11989677,0.38294335,-0.66423945
0.28496867,0.71194332,-1.24807869,1.28236564,0.50723740,0.25192139,-0.09930046,0.29665467,-0.67718809
0.30287192,0.73516121,-0.93817923,1.43340638,0.56939203,0.40352086,-0.07577059,0.19583691,-0.68757293
0.21479165,0.65178163,-0.62894788,1.48916701,0.65158434,0.50500572,-0.04913103,0.08733916,-0.69313923
0.02772350,0.52430263,-0.31979428,1.46800699,0.72996128,0.53795110,-0.01934736,-0.02249981,-0.69280976
-0.17293113,0.36327635,-0.00207868,1.40224598,0.75580631,0.50287970,0.01221183,-0.12909653,-0.68659253
-0.30434580,0.18146651,0.33050409,1.32724991,0.68550248,0.42115305,0.04230525,-0.23035211,-0.67515623
