ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.04194612,-0.61516691,-0.29245959,0.08019622,0.02448889,0.15881296,-0.17533135,0.42407722,-0.65357842
0.01704036,-0.61610564,-0.23737893,0.06313200,0.01999390,0.14932033,-0.17525644,0.41931552,-0.65444515
-0.01509630,-0.62788207,-0.18030191,0.03606339,0.02431169,0.13324906,-0.17517748,0.41420276,-0.65536695
-0.04617532,-0.66558623,-0.15126985,0.00257341,0.05012002,0.11111816,-0.17456000,0.41123093,-0.65594862
-0.06814246,-0.72620514,-0.14196706,-0.03597117,0.09046144,0.08394539,-0.17254423,0.41080736,-0.65620704
-0.06438636,-0.77523520,-0.12825303,-0.07328411,0.12092655,0.05817601,-0.16900331,0.41308384,-0.65612534
-0.03582937,-0.78251978,-0.10269416,-0.09909706,0.12905283,0.04063195,-0.16471264,0.41761443,-0.65569997
-0.00575210,-0.75501354,-0.08524644,-0.11038440,0.12104309,0.03016546,-0.16054276,0.42342999,-0.65501262
0.00989180,-0.71654986,-0.08682864,-0.11540816,0.10409248,0.02034612,-0.15699037,0.42976740,-0.65415210
0.02129930,-0.68524180,-0.09779790,-0.12317295,0.07535090,0.00873102,-0.15449479,0.43652907,-0.65309887
0.03760484,-0.66668406,-0.11337714,-0.13730667,0.03615524,-0.00467716,-0.15362086,0.44405386,-0.65174016
0.05101684,-0.64479262,-0.14684116,-0.15988936,-0.00230268,-0.01757611,-0.15460681,0.45286090,-0.64994630
0.05721363,-0.59698433,-0.20838538,-0.19142301,-0.03972629,-0.02489275,-0.15733927,0.46357913,-0.64757787
0.04433877,-0.51742165,-0.29232262,-0.23075023,-0.07610478,-0.03598175,-0.16180000,0.47682053,-0.64446970
-0.00438179,-0.43614144,-0.41385647,-0.27208362,-0.08973777,-0.06563561,-0.16758209,0.49294226,-0.64052143
-0.07619084,-0.36949405,-0.59930365,-0.29621382,-0.07721400,-0.10669201,-0.17362466,0.51140282,-0.63587960
-0.14234808,-0.23049822,-0.82670820,-0.27256810,-0.06017127,-0.14473665,-0.17927515,0.52988372,-0.63109479
-0.16414761,0.03455134,-1.06523532,-0.17444431,-0.04002213,-0.16790710,-0.18436686,0.54394720,-0.62726641
-0.11031337,0.32169082,-1.30205854,0.00037572,-0.00559544,-0.16008496,-0.18838625,0.54810640,-0.62586685
-0.01793886,0.55362939,-1.50751583,0.22990062,0.06530276,-0.11612419,-0.18995324,0.53770670,-0.62818199
0.05006311,0.72955311,-1.65682543,0.48385445,0.19417636,-0.04989543,-0.18664380,0.50995114,-0.63482637
0.06437689,0.82422509,-1.72935926,0.73239999,0.36810702,0.01806511,-0.17598662,0.46410640,-0.64541902
0.03304301,0.86044035,-1.69320497,0.95699736,0.54385976,0.08114165,-0.15692694,0.40114638,-0.65854705
-0.00333298,0.89326579,-1.52725564,1.15213682,0.68468821,0.14673726,-0.13033799,0.32287451,-0.67211644
-0.01676067,0.89716558,-1.26420616,1.31412863,0.78628100,0.21395306,-0.09807831,0.23139377,-0.68383869
-0.01941504,0.83139077,-0.96505217,1.43730805,0.85584245,0.27499205,-0.06195041,0.12923818,-0.69158869
-0.05125763,0.72259344,-0.65021793,1.51748913,0.89462153,0.32558903,-0.02356245,0.01944056,-0.69365429
-0.14187073,0.60360907,-0.30890495,1.55260607,0.89279705,0.35135419,0.01529317,-0.09467689,-0.68896451
-0.29178363,0.44954833,0.07691689,1.53844105,0.83580925,0.32019209,0.05229365,-0.20947613,-0.67728222
-0.45931650,0.22152546,0.48544565,1.47217675,0.73389949,0.21925021,0.08534155,-0.32095248,-0.65932676
-0.56052256,-0.05969691,0.84700344,1.35954161,0.62471697,0.08004116,0.11382074,-0.42523749,-0.63664066
-0.54410823,-0.32560901,1.12204997,1.21048022,0.53487321,-0.05134390,0.13855993,-0.51919328,-0.61123535
-0.43139272,-0.51434670,1.31975324,1.03746422,0.46783908,-0.13828312,0.16064630,-0.60068434,-0.58522350
-0.28231691,-0.59770534,1.45750212,0.85499677,0.42149843,-0.16692783,0.18078574,-0.66877406,-0.56045759
-0.16126094,-0.58748565,1.55006568,0.67258735,0.39032316,-0.15384973,0.19939463,-0.72351869,-0.53833451
-0.09134661,-0.52192856,1.61879243,0.49354632,0.35905801,-0.12161838,0.21650401,-0.76535469,-0.51988529
-0.03756432,-0.45665452,1.68509885,0.31743765,0.31016473,-0.07898351,0.23149775,-0.79473883,-0.50591451
0.02741081,-0.43155749,1.75194369,0.13864934,0.23294795,-0.03067413,0.24323400,-0.81190697,-0.49712193
0.08497175,-0.42436167,1.80799691,-0.05255762,0.11927508,0.01255910,0.25030369,-0.81644773,-0.49428018
