ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.02637442,-0.65786954,-0.16975008,-0.03465226,0.25541604,0.09340088,-0.17019442,0.36131578,-0.66449343
-0.06038128,-0.67461345,-0.13961575,-0.05793786,0.24797027,0.05879750,-0.16265908,0.36290030,-0.66491081
-0.06946082,-0.68038652,-0.10230615,-0.08460825,0.20954155,0.01907983,-0.15371939,0.36633094,-0.66514348
-0.03448454,-0.66325991,-0.06780163,-0.09917391,0.13792449,-0.00519347,-0.14739136,0.37120921,-0.66490282
0.02293721,-0.63947343,-0.04450252,-0.10021365,0.04268788,-0.01203803,-0.14493222,0.37660187,-0.66425099
0.08162243,-0.63447579,-0.03813270,-0.09500294,-0.05057596,-0.00617476,-0.14682449,0.38178173,-0.66327502
0.11449227,-0.64798816,-0.06156477,-0.09683221,-0.10330904,0.00218463,-0.15205387,0.38678199,-0.66204330
0.10693497,-0.66138664,-0.12170482,-0.11534137,-0.10158402,0.00254915,-0.15839405,0.39250673,-0.66057269
0.08244187,-0.67954074,-0.19609840,-0.14753098,-0.06485935,-0.00553013,-0.16383399,0.40008438,-0.65882856
0.07452092,-0.69203148,-0.26575595,-0.18297041,-0.02432409,-0.01213393,-0.16749368,0.41015199,-0.65676296
0.10159879,-0.66851296,-0.33213321,-0.20713786,-0.01125867,-0.01143223,-0.16987724,0.42244119,-0.65435457
0.15797860,-0.63206909,-0.39478623,-0.21004591,-0.04601461,-0.00466112,-0.17271564,0.43570699,-0.65164691
0.19879095,-0.58371900,-0.45607904,-0.20159787,-0.12495057,0.00929376,-0.17810901,0.44869695,-0.64866040
0.18823818,-0.47762984,-0.53950657,-0.19967050,-0.23373269,0.03188694,-0.18761760,0.46128774,-0.64524141
0.13409518,-0.34243499,-0.66993086,-0.20234344,-0.36389645,0.05097081,-0.20231103,0.47402423,-0.64110754
0.04660988,-0.22707826,-0.86841451,-0.17685903,-0.48303812,0.03785641,-0.22268531,0.48615552,-0.63625347
-0.05945696,-0.10318670,-1.18256355,-0.07004734,-0.52317463,-0.01460219,-0.24701083,0.49363354,-0.63164805
