ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.05514704,-0.71118293,-0.21170853,-0.10525417,0.33603089,0.01999106,-0.17045356,0.25030638,-0.67817915
0.01239227,-0.65082278,-0.19592874,-0.09750457,0.35753760,0.03824660,-0.15942184,0.25449608,-0.67871465
0.09216246,-0.58110630,-0.15879389,-0.07386164,0.35994224,0.07132772,-0.14448479,0.25906530,-0.67947038
0.14614471,-0.52856165,-0.10965981,-0.04247470,0.32718350,0.10773783,-0.13014296,0.26163727,-0.68027317
0.17621511,-0.51759750,-0.05389722,-0.01881967,0.26040251,0.13380809,-0.11794579,0.26219504,-0.68104400
0.18466341,-0.55585435,0.01073763,-0.01349420,0.17253423,0.13822086,-0.10926456,0.26166845,-0.68164521
0.16129459,-0.62287355,0.05778525,-0.03456488,0.10232807,0.11519190,-0.10428690,0.26166845,-0.68194182
0.12602230,-0.70823275,0.05288572,-0.08140147,0.07138212,0.07199818,-0.10169819,0.26412181,-0.68183614
0.11476574,-0.77839975,0.00940430,-0.13872096,0.06996868,0.02896755,-0.09995101,0.27038128,-0.68127311
0.12530479,-0.78416194,-0.05175191,-0.18820981,0.08591417,0.00593201,-0.09795954,0.28053632,-0.68027140
0.15509486,-0.73384059,-0.12568083,-0.22162574,0.09843075,0.00864964,-0.09527972,0.29370927,-0.67890291
0.20717260,-0.68558597,-0.19190078,-0.24059254,0.07101139,0.02831718,-0.09276727,0.30878189,-0.67720585
0.25699490,-0.67405909,-0.22318497,-0.25279452,-0.04591395,0.04094633,-0.09328353,0.32497478,-0.67508874
0.27997850,-0.68609846,-0.20334852,-0.26303765,-0.29737326,0.01201730,-0.10201199,0.34194706,-0.67225942
0.25453363,-0.70571719,-0.15177920,-0.26927907,-0.70376540,-0.09402419,-0.12584824,0.35937680,-0.66811933
0.14578596,-0.73520640,-0.12572079,-0.25795773,-1.22883501,-0.29180043,-0.17159000,0.37625149,-0.66159661
-0.02319761,-0.75588026,-0.22263238,-0.20092300,-1.74222089,-0.52131789,-0.24207230,0.38975585,-0.65135563
-0.18540018,-0.67227039,-0.52064269,-0.09348990,-2.06046089,-0.67199229,-0.33243287,0.39576117,-0.63659004
-0.30043482,-0.43352204,-0.99161557,0.01857469,-2.04166108,-0.68396668,-0.42981253,0.39227021,-0.61810619
-0.31609931,-0.15293107,-1.51215523,0.08452787,-1.70529100,-0.58105125,-0.51819175,0.38169837,-0.59869787
-0.26366283,0.08144937,-1.87823617,0.10795376,-1.26126435,-0.43718038,-0.58741952,0.36840140,-0.58153277
-0.27077218,0.26118831,-1.93083400,0.14337372,-0.92126583,-0.33052989,-0.63802692,0.35400108,-0.56798203
-0.28841176,0.31066219,-1.75157172,0.24118908,-0.74011154,-0.29198818,-0.67675163,0.33552290,-0.55760074
-0.22687613,0.22016802,-1.56399412,0.42015242,-0.62176512,-0.30912668,-0.70917057,0.30729292,-0.54975216
-0.25497341,0.11472617,-1.52872303,0.66323529,-0.36566012,-0.36795794,-0.73388817,0.26352812,-0.54553038
-0.40313862,0.10565624,-1.65044652,0.90860330,0.09264049,-0.42854714,-0.74265712,0.20151963,-0.54758354
-0.45027323,0.32036521,-1.67578087,1.11388129,0.54689143,-0.42972969,-0.73049099,0.12320168,-0.55622870
-0.36185577,0.70385817,-1.36540111,1.29881526,0.82696785,-0.35347476,-0.70155223,0.03159353,-0.56771828
-0.25267289,0.98467775,-0.82913289,1.46843036,0.93546222,-0.23778244,-0.66363801,-0.07164507,-0.57699484
-0.17083449,1.04924587,-0.25799176,1.59122284,0.89647732,-0.14281982,-0.62393883,-0.18427288,-0.57981617
-0.11525943,0.91122645,0.29636832,1.64161524,0.76376228,-0.10896323,-0.58808019,-0.30230283,-0.57354388
