ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.09188277,-0.83275906,-0.35980978,0.05966403,0.25017552,0.09105131,-0.10756530,0.29077608,-0.67857700
-0.09953809,-0.80233279,-0.29152117,0.04498836,0.20551616,0.06966280,-0.10129598,0.28687509,-0.67938157
-0.09596136,-0.77100965,-0.23787193,0.03401792,0.17298376,0.04609744,-0.09423371,0.28231061,-0.68028560
-0.09144070,-0.75792269,-0.24754238,0.03884308,0.17588226,0.03253866,-0.08785169,0.27795554,-0.68109284
-0.08778066,-0.74643935,-0.26984967,0.05927429,0.18693715,0.03062926,-0.08108298,0.27265438,-0.68198711
-0.07301991,-0.72480416,-0.25535489,0.09052467,0.18505559,0.03896568,-0.07405918,0.26544473,-0.68305365
-0.05039702,-0.70339841,-0.21150471,0.11963065,0.15712844,0.05260787,-0.06763937,0.25596945,-0.68427383
-0.02678904,-0.69675863,-0.14644189,0.12517382,0.09347573,0.05728420,-0.06327784,0.24513466,-0.68548691
-0.02185572,-0.70047419,-0.07398472,0.09111524,0.00901285,0.03870938,-0.06232900,0.23528663,-0.68642735
-0.04428845,-0.71927728,-0.02964117,0.02008503,-0.06862725,-0.00259791,-0.06516268,0.22930502,-0.68684917
-0.05198396,-0.77095606,-0.04084586,-0.06851829,-0.12356079,-0.04933793,-0.07113035,0.22920675,-0.68661739
-0.01728605,-0.82118947,-0.10608561,-0.15408044,-0.16141205,-0.08356580,-0.07929531,0.23547707,-0.68570270
0.03859091,-0.82034537,-0.20654051,-0.22326350,-0.19875147,-0.10255022,-0.08919058,0.24737996,-0.68411842
0.10615572,-0.76841537,-0.34131611,-0.26606726,-0.25831481,-0.11254126,-0.10125279,0.26334649,-0.68188320
0.16881269,-0.68256796,-0.51827757,-0.27400987,-0.34328744,-0.12323620,-0.11669057,0.28112798,-0.67904056
0.17070936,-0.54400339,-0.75332242,-0.23900043,-0.41138811,-0.13660030,-0.13581032,0.29786847,-0.67579740
0.09125676,-0.30348309,-1.05111765,-0.15847926,-0.43689251,-0.14729912,-0.15712399,0.31030541,-0.67261552
-0.02406508,0.02317352,-1.35253758,-0.03528735,-0.41979421,-0.15591632,-0.17869276,0.31523316,-0.67008636
-0.11743546,0.31485173,-1.61255491,0.13373270,-0.32906307,-0.15761687,-0.19797109,0.30949418,-0.66890614
-0.14843509,0.47072630,-1.84303301,0.35371151,-0.12972433,-0.14746796,-0.21074323,0.28959955,-0.66988744
-0.13457416,0.52248965,-2.03384294,0.61746349,0.17517883,-0.13029451,-0.21197685,0.25205017,-0.67357462
-0.10553100,0.56272529,-2.12037963,0.89562650,0.52425497,-0.09393471,-0.19804262,0.19462649,-0.67950679
-0.05324841,0.65260396,-2.00069209,1.13942671,0.82367689,-0.01827038,-0.16898982,0.11804961,-0.68575687
-0.00756644,0.80047964,-1.64818168,1.31117466,1.02347235,0.08997429,-0.12842143,0.02636488,-0.68950711
