ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.08600096,-0.48127757,-0.12956383,-0.13365324,0.39191112,0.09665457,-0.11475714,0.12674076,-0.69060385
0.06169410,-0.46331189,-0.05841674,-0.16239752,0.32564257,0.07938893,-0.10399469,0.13417609,-0.69094486
0.06818494,-0.45431816,0.01881608,-0.17791945,0.20078494,0.05604290,-0.09330512,0.14502579,-0.69107984
0.11277007,-0.47662495,0.05998833,-0.16217535,0.05156253,0.03365249,-0.08900973,0.15579960,-0.69079566
0.15214644,-0.51351013,0.04958473,-0.12620265,-0.06514141,0.01470910,-0.09092224,0.16456597,-0.69024330
0.16767762,-0.54667555,-0.01117257,-0.09128803,-0.11528081,0.00380582,-0.09665304,0.17060044,-0.68960657
0.17008988,-0.56374103,-0.07687553,-0.08117204,-0.11433637,0.00592863,-0.10342107,0.17489722,-0.68898227
0.16273450,-0.55017088,-0.10150543,-0.10964712,-0.09245891,0.02506838,-0.10959051,0.17986021,-0.68831978
0.14046252,-0.50144647,-0.09373833,-0.17575763,-0.06020318,0.06314831,-0.11447033,0.18835820,-0.68746903
0.10635470,-0.45239715,-0.08826260,-0.26612045,-0.02325741,0.11394925,-0.11764818,0.20271582,-0.68624619
0.07319472,-0.46240246,-0.09190037,-0.36460240,-0.00134116,0.16121132,-0.11930560,0.22411297,-0.68442569
0.06385640,-0.54606843,-0.09129293,-0.46497250,-0.01055255,0.19115592,-0.12050615,0.25283904,-0.68169583
0.08374161,-0.66724764,-0.08827786,-0.57036365,-0.07148770,0.19884164,-0.12307597,0.28907024,-0.67760281
0.10843761,-0.76343114,-0.09390146,-0.67019730,-0.20963994,0.17862452,-0.13002891,0.33280725,-0.67152678
0.09203699,-0.77844162,-0.15995247,-0.72629187,-0.39981568,0.12274221,-0.14457252,0.38224597,-0.66300595
-0.00517085,-0.70986234,-0.35830497,-0.70405290,-0.58881584,0.03099564,-0.16801601,0.43270060,-0.65225345
-0.13614345,-0.58688690,-0.66101209,-0.60366510,-0.75311674,-0.08553868,-0.19991937,0.47819021,-0.64016799
-0.25456859,-0.40203812,-0.99244717,-0.44837338,-0.86929835,-0.21181180,-0.23891672,0.51374911,-0.62794577
-0.38456688,-0.10954596,-1.34984040,-0.25369007,-0.87731783,-0.33003620,-0.28172560,0.53600697,-0.61698991
-0.50513373,0.29675039,-1.77732278,-0.00578940,-0.69584973,-0.41372595,-0.32160564,0.54183812,-0.60941574
-0.53983458,0.72183977,-2.26015139,0.31149022,-0.29468462,-0.43049520,-0.34883164,0.52698915,-0.60825328
-0.43605257,1.05882327,-2.64123209,0.65959872,0.23359161,-0.36177354,-0.35476152,0.48804908,-0.61574042
-0.22916881,1.30067085,-2.71835846,0.96658397,0.74240101,-0.21039930,-0.33636116,0.42580406,-0.63101664
-0.01941111,1.50967374,-2.44753389,1.19075061,1.15894793,0.01413015,-0.29587577,0.34506189,-0.65033349
0.14992826,1.67344671,-1.95287680,1.33000891,1.45652126,0.29104880,-0.23801647,0.25191733,-0.66912016
0.28061661,1.65972918,-1.33753708,1.40413879,1.60545516,0.56761036,-0.16935288,0.15146757,-0.68350034
0.31297969,1.40836951,-0.65313200,1.43007953,1.60438669,0.77377030,-0.09751684,0.04727542,-0.69100436
0.20821454,0.98605780,0.04181509,1.41413106,1.44264695,0.85846447,-0.03017662,-0.05776593,-0.69077879
0.04016706,0.44594916,0.73931840,1.36093169,1.10365010,0.79934416,0.02466409,-0.16080256,-0.68345416
-0.09750419,-0.18822937,1.40604434,1.26730322,0.66234190,0.61564909,0.06079536,-0.25870001,-0.67082078
-0.18504731,-0.82744321,1.91224690,1.12269075,0.28365971,0.37518529,0.07813757,-0.34771315,-0.65522575
-0.25025279,-1.32603834,2.17342608,0.91936872,0.09391987,0.15223365,0.08341621,-0.42365432,-0.63905615
-0.31333712,-1.58900779,2.24707017,0.65562811,0.09267838,-0.01368134,0.08573094,-0.48227757,-0.62468663
-0.36556483,-1.57928887,2.25184799,0.35165877,0.18276001,-0.11663611,0.09140437,-0.52005128,-0.61435862
-0.36933465,-1.37448473,2.26694040,0.05843948,0.23418854,-0.17063807,0.10124970,-0.53603001,-0.60944504
-0.30698546,-1.16878038,2.29925420,-0.17589400,0.15887113,-0.20024077,0.11105590,-0.53291247,-0.60989173
-0.21709379,-1.02202766,2.28878956,-0.33402083,-0.04982325,-0.22730362,0.11466767,-0.51568334,-0.61458507
-0.14420261,-0.85045259,2.17392671,-0.43150571,-0.31381007,-0.24606922,0.10760878,-0.48939233,-0.62206688
-0.09935577,-0.57802548,1.91487178,-0.51228480,-0.51267997,-0.22505840,0.08984210,-0.45693606,-0.63113919
-0.07471271,-0.16349912,1.52397857,-0.61421255,-0.58638814,-0.14506792,0.06537960,-0.41803394,-0.64118569
-0.04848564,0.29549177,1.08858232,-0.73320629,-0.53746087,-0.01042899,0.03950666,-0.37107367,-0.65187070
-0.00778699,0.61793037,0.67182253,-0.83368463,-0.40174157,0.15200183,0.01692293,-0.31593663,-0.66262142
0.03834488,0.70621379,0.31299679,-0.88063980,-0.24878796,0.29547356,0.00019619,-0.25514059,-0.67255425
0.07268306,0.54668731,0.04470954,-0.86006429,-0.13811515,0.37860378,-0.01088209,-0.19314769,-0.68080778
0.07798297,0.22058086,-0.13819123,-0.78510054,-0.10020652,0.38269052,-0.01848558,-0.13459289,-0.68691667
0.04556304,-0.10149850,-0.24566228,-0.68653066,-0.13813402,0.31634155,-0.02581104,-0.08243039,-0.69093331
-0.01455817,-0.30352413,-0.30473348,-0.58969560,-0.22130719,0.20910080,-0.03566852,-0.03745924,-0.69322626
-0.07067921,-0.40606186,-0.36433983,-0.50466738,-0.29933585,0.09785164,-0.04906287,0.00081056,-0.69421199
-0.08524587,-0.45279910,-0.44864437,-0.42965053,-0.34265202,0.01794895,-0.06510667,0.03319567,-0.69424574
-0.06504309,-0.45699032,-0.52172061,-0.37542064,-0.35725147,-0.01690194,-0.07795574,0.05476699,-0.69389229
