ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.16409109,-0.45538166,-0.19775653,-0.06426786,-0.03869481,0.03447271,-0.01440951,0.18178088,-0.69170059
0.13604282,-0.48302189,-0.21192288,-0.08791861,-0.00939749,0.02068667,-0.01604399,0.18511258,-0.69146437
0.11216921,-0.51388947,-0.23308503,-0.10030913,0.02766166,-0.00166389,-0.01709270,0.19032158,-0.69110648
0.11205747,-0.53097672,-0.24460324,-0.08929136,0.05068069,-0.02522688,-0.01677890,0.19552583,-0.69075659
0.14665539,-0.53199333,-0.22664726,-0.07004008,0.04538206,-0.04315842,-0.01608111,0.19952373,-0.69048662
0.19095038,-0.50270425,-0.18158328,-0.06371166,0.01622749,-0.05352429,-0.01625184,0.20249014,-0.69027083
0.19837339,-0.42380647,-0.14483099,-0.08283002,-0.00855476,-0.05701453,-0.01775810,0.20590723,-0.68999553
0.17349213,-0.32739436,-0.15253415,-0.11900365,-0.00848465,-0.05065369,-0.01984270,0.21142662,-0.68953996
0.15788450,-0.26602681,-0.19545644,-0.15043456,0.00777451,-0.03219318,-0.02148528,0.21952680,-0.68886593
0.17574364,-0.24325190,-0.23614587,-0.16034710,0.01869024,-0.00166693,-0.02240239,0.22919116,-0.68804182
0.22978372,-0.24150340,-0.25063265,-0.14805206,0.00307774,0.04467126,-0.02327834,0.23874777,-0.68718575
0.29062439,-0.26179540,-0.23654914,-0.12744368,-0.05092183,0.10485457,-0.02555190,0.24703229,-0.68637851
0.31026259,-0.32289247,-0.20619683,-0.12102668,-0.14559942,0.16287557,-0.03099926,0.25425616,-0.68556772
0.27575288,-0.42520242,-0.18251007,-0.14524155,-0.27606532,0.20475454,-0.04139594,0.26214489,-0.68450917
0.22055911,-0.53803437,-0.20824187,-0.19658743,-0.42672289,0.22812202,-0.05805452,0.27290310,-0.68283342
0.17622198,-0.61802246,-0.31531474,-0.25622579,-0.58888160,0.23404776,-0.08168359,0.28787677,-0.68015417
0.12806600,-0.62273202,-0.49260354,-0.29510710,-0.76317701,0.22349854,-0.11283653,0.30664163,-0.67615884
0.02827731,-0.54737814,-0.72316884,-0.27918742,-0.92302995,0.18656840,-0.15165841,0.32642172,-0.67077637
-0.15979848,-0.42544108,-1.04518125,-0.17262770,-0.99524289,0.09907420,-0.19608287,0.34180067,-0.66456625
-0.40697314,-0.28065878,-1.51946129,0.05933298,-0.92327740,-0.05409918,-0.24104991,0.34464712,-0.65906834
-0.65200999,-0.07007152,-2.11509681,0.44037591,-0.68519193,-0.24501702,-0.27981713,0.32461830,-0.65654983
-0.82146405,0.28737480,-2.69865861,0.95300244,-0.28325315,-0.38463804,-0.30458467,0.27113220,-0.65884188
-0.81773637,0.79632025,-3.04869746,1.50528519,0.14232796,-0.38329966,-0.31006509,0.17798358,-0.66492768
-0.65633069,1.35680881,-2.92070949,1.96823117,0.39583390,-0.23561050,-0.29925878,0.04767053,-0.66940878
-0.54117548,1.80399313,-2.31938934,2.24327636,0.43228714,-0.04179251,-0.28159130,-0.10885491,-0.66502093
-0.64000555,1.88718345,-1.49035730,2.28421685,0.33696784,0.04706742,-0.26559137,-0.27570685,-0.64727860
-0.83828811,1.41624949,-0.67542984,2.10482120,0.28548210,-0.03543877,-0.25320119,-0.43625933,-0.61724300
-0.93245049,0.61401216,-0.08808785,1.78047355,0.45992625,-0.20866195,-0.23727414,-0.57746208,-0.58089604
-0.87611381,0.00119415,0.23250368,1.41895660,0.83451473,-0.35065026,-0.20719287,-0.69305968,-0.54524531
-0.69739692,-0.16069131,0.49123600,1.12038436,1.19737216,-0.40158846,-0.15928080,-0.78423408,-0.51384123
-0.42592422,-0.03229786,0.84519854,0.92998017,1.39093592,-0.36152939,-0.09905009,-0.85734846,-0.48577444
-0.12908605,0.13196499,1.28578060,0.80901743,1.38405337,-0.25874498,-0.03592361,-0.91902893,-0.45868451
0.10971676,0.22215602,1.75449808,0.67231805,1.22533227,-0.13658595,0.02164618,-0.97145439,-0.43238582
0.26558140,0.20202230,2.16621375,0.45952110,1.01798333,-0.03366359,0.06924984,-1.01166384,-0.40990219
0.33213563,0.06664154,2.42979329,0.16711296,0.86365881,0.03156480,0.10757841,-1.03456893,-0.39561437
0.29898937,-0.11558365,2.52378936,-0.16656215,0.79366086,0.05095730,0.14057300,-1.03625443,-0.39273798
0.22159812,-0.29459404,2.50270677,-0.48178623,0.74422264,0.02047410,0.17146814,-1.01588742,-0.40185736
0.16396562,-0.45737050,2.43536675,-0.71870900,0.62389266,-0.04485491,0.19988052,-0.97648650,-0.42079678
0.12425011,-0.51213762,2.34099939,-0.84968498,0.39684231,-0.11115290,0.22215787,-0.92412746,-0.44577494
0.09212717,-0.39191641,2.21437745,-0.89957083,0.07444465,-0.15735652,0.23358572,-0.86517822,-0.47336396
0.07632350,-0.17178273,2.05479540,-0.91399574,-0.30290033,-0.18193829,0.23030732,-0.80358450,-0.50172824
0.04214706,0.06106861,1.82399178,-0.92025429,-0.65465103,-0.18674429,0.21102156,-0.74082441,-0.53002948
-0.04210164,0.27494938,1.48463591,-0.93678168,-0.88635980,-0.17322164,0.17839881,-0.67693998,-0.55748440
-0.12718055,0.45734959,1.06132573,-0.98125441,-0.93840623,-0.13671663,0.13876779,-0.61062996,-0.58343142
-0.16250872,0.57829181,0.60765343,-1.05256203,-0.80085586,-0.07004011,0.10016253,-0.53983476,-0.60753485
-0.13768334,0.60061284,0.17438252,-1.12967242,-0.52946984,0.02132826,0.06983763,-0.46326602,-0.62953893
-0.06659866,0.54335025,-0.17200439,-1.18460411,-0.24498920,0.11172834,0.05132592,-0.38146116,-0.64900763
0.01760495,0.43745955,-0.38343332,-1.18926654,-0.05147232,0.17256641,0.04317243,-0.29706469,-0.66529090
0.08887783,0.30253183,-0.48904788,-1.13045357,0.01851394,0.19061935,0.04081181,-0.21431916,-0.67780351
0.12904424,0.20193855,-0.53670040,-1.05536798,0.01221798,0.18072775,0.04025169,-0.15457359,-0.68518941
