ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.00008168,-0.53269508,-0.30888097,0.00940912,0.11835175,-0.00341610,-0.20850679,0.36338013,-0.66036578
0.01581511,-0.56589400,-0.26470854,-0.01092783,0.09978173,-0.01043592,-0.20635336,0.36222393,-0.66077428
0.03260486,-0.62005149,-0.22860838,-0.03871816,0.09783816,-0.01839042,-0.20369244,0.36205246,-0.66108598
0.03908591,-0.68353098,-0.22310213,-0.06276610,0.13488668,-0.03320520,-0.20028784,0.36376846,-0.66118456
0.02702952,-0.75167900,-0.24910096,-0.07790742,0.21472125,-0.05989458,-0.19433569,0.36686431,-0.66132220
0.00495652,-0.80107417,-0.29468628,-0.08035074,0.30801640,-0.08334850,-0.18447281,0.37053284,-0.66172804
0.00145527,-0.78600841,-0.30977434,-0.07072985,0.35951503,-0.08823048,-0.17126000,0.37390317,-0.66243671
0.03162075,-0.70519046,-0.26487421,-0.05814801,0.33254580,-0.07566802,-0.15747086,0.37645820,-0.66324305
0.09479036,-0.60155154,-0.19084937,-0.05461204,0.22414460,-0.05199731,-0.14668547,0.37845478,-0.66381496
0.17250998,-0.51661188,-0.13117073,-0.06432887,0.05985284,-0.02526217,-0.14198381,0.38075633,-0.66381851
0.24688321,-0.49495156,-0.12039910,-0.08177845,-0.11076035,-0.00694517,-0.14486271,0.38412666,-0.66304591
0.28259366,-0.53172369,-0.19246935,-0.10200250,-0.23149987,-0.00752530,-0.15439356,0.38888158,-0.66149182
0.25192435,-0.55257005,-0.35447755,-0.12395857,-0.27869808,-0.02401546,-0.16771233,0.39512140,-0.65930545
0.20372035,-0.49381855,-0.56859567,-0.14126787,-0.27506859,-0.03603038,-0.18197453,0.40277495,-0.65668481
0.15117115,-0.32353308,-0.80020728,-0.14015761,-0.23712011,-0.02808347,-0.19533649,0.41107302,-0.65391943
0.06775562,-0.05986356,-1.04610259,-0.10757137,-0.15606323,0.00194656,-0.20597207,0.41823997,-0.65153857
0.00326078,0.19952599,-1.28544206,-0.03412848,-0.03674106,0.05277299,-0.21183986,0.42173432,-0.65027754
0.00245016,0.34545135,-1.47117843,0.08672295,0.09888207,0.10931614,-0.21164213,0.41840127,-0.65089207
0.04445738,0.33695252,-1.57385494,0.25303737,0.23294675,0.14209318,-0.20516090,0.40478238,-0.65394607
0.07415139,0.25232103,-1.59314498,0.45125228,0.36228156,0.13847057,-0.19272484,0.37791869,-0.65958696
0.04764497,0.20995503,-1.54280400,0.66237030,0.48967235,0.11036682,-0.17461938,0.33600205,-0.66739024
-0.00677837,0.22657920,-1.41834263,0.86332278,0.60712166,0.08053974,-0.15109289,0.27878440,-0.67629826
-0.03104406,0.29252735,-1.19847340,1.02914454,0.70323531,0.07458597,-0.12278174,0.20792414,-0.68472585
-0.04149588,0.40633907,-0.90147780,1.14576724,0.78834875,0.10089462,-0.09041948,0.12658963,-0.69096706
-0.08554287,0.47810216,-0.57186214,1.20972365,0.86666636,0.14846162,-0.05429698,0.03855174,-0.69364719
-0.14791755,0.46008958,-0.19950075,1.21955534,0.88733109,0.19972027,-0.01587393,-0.05219638,-0.69194924
-0.19902195,0.38074043,0.22700179,1.18288382,0.82646155,0.23519181,0.02127704,-0.14185539,-0.68575954
-0.22044214,0.20089180,0.61840253,1.11494953,0.73724932,0.25059584,0.05450850,-0.22753141,-0.67565354
-0.20577058,-0.04678999,0.91453129,1.02659810,0.62312107,0.25251030,0.08291008,-0.30729631,-0.66263385
-0.17051103,-0.24585539,1.19015947,0.92422407,0.42876266,0.22904895,0.10422105,-0.37987122,-0.64793309
-0.13107683,-0.40048976,1.47455965,0.81156061,0.17857209,0.16485419,0.11543835,-0.44439204,-0.63285846
-0.09891175,-0.53433807,1.67303495,0.68738104,-0.02622452,0.08338873,0.11669896,-0.50008955,-0.61853067
-0.06666629,-0.57264264,1.73663256,0.54573102,-0.12709171,0.02686432,0.11167540,-0.54598715,-0.60583690
-0.01220374,-0.50688542,1.72789217,0.38521675,-0.14419316,0.01213127,0.10448357,-0.58090154,-0.59561101
0.07227922,-0.43777606,1.72212434,0.21209419,-0.12980762,0.03596727,0.09733087,-0.60384458,-0.58864072
0.15284238,-0.39358620,1.73637171,0.03160068,-0.12761105,0.08625426,0.09026253,-0.61423072,-0.58553787
0.20775385,-0.34458042,1.74568830,-0.14974721,-0.16028261,0.14896915,0.08203075,-0.61181259,-0.58662840
0.24280266,-0.31385268,1.73201387,-0.32093076,-0.24191050,0.21249632,0.07072033,-0.59688772,-0.59180839
0.21753129,-0.30729664,1.68732845,-0.47780603,-0.37023750,0.25764756,0.05423113,-0.57027073,-0.60052548
0.10719472,-0.28982502,1.58590571,-0.62885925,-0.50764092,0.26811997,0.03152728,-0.53259123,-0.61199552
-0.03247809,-0.26364355,1.39901402,-0.78062106,-0.61367463,0.24689725,0.00343208,-0.48388378,-0.62536865
-0.12839305,-0.26192436,1.13361578,-0.92544591,-0.67214509,0.21086111,-0.02808932,-0.42419921,-0.63965470
-0.16557281,-0.28010944,0.81907691,-1.04695692,-0.67115136,0.17418406,-0.06062029,-0.35451683,-0.65365035
-0.17932690,-0.28604832,0.48129997,-1.13124470,-0.60670131,0.14070127,-0.09141285,-0.27704197,-0.66611678
-0.18615493,-0.25926811,0.15952625,-1.17614451,-0.50577569,0.10929976,-0.11821100,-0.19466241,-0.67607270
-0.18345254,-0.18703439,-0.11202529,-1.18614480,-0.40514652,0.07958462,-0.14026498,-0.11014394,-0.68293199
-0.16023075,-0.08531229,-0.34092991,-1.15681946,-0.31902782,0.05739243,-0.15800399,-0.02620222,-0.68647353
-0.11093481,-0.00451527,-0.54527295,-1.07915483,-0.24977375,0.04807826,-0.17218319,0.05386765,-0.68683852
-0.05913349,0.01676068,-0.71914233,-0.95942064,-0.20087119,0.04521863,-0.18368999,0.12661742,-0.68457399
-0.02695763,-0.00050494,-0.82855669,-0.85507863,-0.17464823,0.04192813,-0.19129214,0.17656714,-0.68180772
