ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.01306665,-0.63373469,-0.31085299,-0.06254105,0.18369367,0.05351707,-0.22249433,0.25133652,-0.67273985
0.02676683,-0.62725234,-0.27649052,-0.07252075,0.18625424,0.06109304,-0.21722108,0.25390781,-0.67308619
0.04665301,-0.62572324,-0.24040489,-0.07914911,0.18886783,0.07252191,-0.21009133,0.25774780,-0.67349825
0.06060020,-0.64795048,-0.21629743,-0.07647841,0.19055570,0.08103106,-0.20283808,0.26176604,-0.67387389
0.06171076,-0.68785534,-0.19679050,-0.06674704,0.18831075,0.07955304,-0.19557066,0.26533426,-0.67426463
0.05055517,-0.72435615,-0.17344017,-0.05293040,0.17713782,0.06521372,-0.18861030,0.26801941,-0.67468645
0.03080523,-0.74471514,-0.14836304,-0.03615821,0.15525078,0.04369841,-0.18245772,0.26953277,-0.67512782
0.00969282,-0.72851637,-0.12931642,-0.01878856,0.12373742,0.02557692,-0.17759141,0.26971034,-0.67557184
-0.00617261,-0.66897102,-0.11321547,-0.00924563,0.08643290,0.01834066,-0.17431908,0.26881980,-0.67597146
-0.00614516,-0.60829684,-0.09581280,-0.01832206,0.05026996,0.02158591,-0.17272104,0.26786489,-0.67621923
0.02099054,-0.59418489,-0.08928748,-0.04797241,0.02195514,0.03035405,-0.17258000,0.26835624,-0.67618015
0.05392605,-0.62268346,-0.11136334,-0.08633320,0.00239259,0.03823664,-0.17347754,0.27143040,-0.67576987
0.06587364,-0.67289845,-0.16596008,-0.11657579,-0.01444178,0.03809819,-0.17514374,0.27708670,-0.67500082
0.06798890,-0.72826180,-0.24793984,-0.12822027,-0.04122946,0.02978844,-0.17777294,0.28427195,-0.67395470
0.07197437,-0.74863252,-0.35185849,-0.12449465,-0.09423321,0.02132809,-0.18219588,0.29165780,-0.67268657
0.06058550,-0.69105004,-0.47152205,-0.12449130,-0.18403233,0.01792278,-0.18983244,0.29877798,-0.67108986
0.01238541,-0.54119474,-0.61067982,-0.14042570,-0.30092096,0.01483471,-0.20220238,0.30646339,-0.66886174
-0.06965098,-0.34881266,-0.79924089,-0.15009503,-0.39283681,0.00640982,-0.21948047,0.31520266,-0.66583616
-0.16657261,-0.20268968,-1.07030197,-0.11839399,-0.38471187,-0.01183188,-0.23886745,0.32322083,-0.66248466
-0.26991745,-0.11059941,-1.40496538,-0.02495685,-0.24974050,-0.04316889,-0.25511033,0.32667384,-0.65997326
-0.35566878,-0.01018953,-1.71178329,0.14146526,-0.04869681,-0.08175399,-0.26367548,0.32059125,-0.65962958
-0.37870433,0.13091154,-1.87754734,0.37873967,0.12125385,-0.11939190,-0.26377738,0.29964344,-0.66216319
-0.33457500,0.31253966,-1.86231288,0.66028812,0.20696765,-0.15049659,-0.25813904,0.25953632,-0.66716468
-0.26977826,0.49543812,-1.69953193,0.93718149,0.21704485,-0.18145304,-0.25038843,0.19873147,-0.67312526
-0.22333959,0.60424969,-1.43085813,1.15718238,0.20759978,-0.22442086,-0.24264389,0.11944776,-0.67793050
-0.20956394,0.62154629,-1.11756939,1.29051663,0.24870665,-0.27449832,-0.23399439,0.02702091,-0.67972791
-0.22684084,0.59069880,-0.80952787,1.33855755,0.36247539,-0.31646257,-0.22135789,-0.07206797,-0.67753443
-0.21868367,0.55533686,-0.50063149,1.32481637,0.52504228,-0.32017314,-0.20190949,-0.17217751,-0.67119642
-0.13959668,0.58224603,-0.18400871,1.27315918,0.71038854,-0.24592487,-0.17426914,-0.26939452,-0.66104869
-0.01689888,0.67820260,0.13042081,1.18958307,0.89699950,-0.09047570,-0.13854412,-0.36100334,-0.64766756
0.08844850,0.73307272,0.44838636,1.06608209,1.04597729,0.09219520,-0.09621776,-0.44437645,-0.63192512
0.10576952,0.62314322,0.81070092,0.90406299,1.08509521,0.21411886,-0.05082827,-0.51681514,-0.61505840
0.05260377,0.29704013,1.23250375,0.72771241,0.97327947,0.21904693,-0.00788105,-0.57664881,-0.59846432
0.01855574,-0.13268764,1.60877684,0.57035816,0.76170921,0.12900816,0.02788648,-0.62427190,-0.58326624
0.03960443,-0.45819283,1.82476743,0.45448364,0.52122091,0.00624385,0.05455304,-0.66199342,-0.56992242
0.10947171,-0.59279731,1.90509597,0.38302782,0.26664065,-0.09791475,0.07156051,-0.69294243,-0.55824635
0.20409969,-0.58669933,1.93109588,0.33673355,0.01660258,-0.15258462,0.07832720,-0.71970852,-0.54785351
0.29220642,-0.50714166,1.90062514,0.28085789,-0.14917963,-0.14194068,0.07613597,-0.74294840,-0.53875279
0.36351753,-0.41077812,1.77964932,0.18796726,-0.17510840,-0.07227284,0.06934094,-0.76106130,-0.53161642
0.40107662,-0.36079425,1.61882222,0.05035370,-0.08734092,0.02562015,0.06300481,-0.77119329,-0.52761487
0.38444566,-0.36456006,1.47538690,-0.11962822,0.06931872,0.12442250,0.06085205,-0.77057588,-0.52792658
0.32321194,-0.37895841,1.33454520,-0.29425152,0.24284374,0.20952796,0.06491125,-0.75786853,-0.53303197
0.24463563,-0.40505111,1.20311565,-0.45234044,0.34762653,0.26678361,0.07444346,-0.73352463,-0.54249769
0.17675814,-0.43397340,1.13084413,-0.59424206,0.31475859,0.29015007,0.08528959,-0.69867938,-0.55553425
0.11978532,-0.43217466,1.11318424,-0.72811537,0.14687299,0.27588470,0.09175799,-0.65401253,-0.57151558
0.05883487,-0.43070250,1.06448975,-0.84637490,-0.09260676,0.22040895,0.08963762,-0.60010556,-0.58975522
0.00831271,-0.45557678,0.90528154,-0.92984630,-0.33541341,0.13684921,0.07752683,-0.53857894,-0.60904631
-0.01218316,-0.46550589,0.64618155,-0.96921861,-0.54047860,0.04875344,0.05616457,-0.47219844,-0.62780457
-0.02103138,-0.41268405,0.33947990,-0.96602851,-0.67617288,-0.02624549,0.02768943,-0.40414125,-0.64457449
-0.03553237,-0.33151858,0.09575389,-0.94381115,-0.73188879,-0.07247663,0.00368177,-0.35325220,-0.65577634
