ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.20583169,-0.51921872,-0.22468651,-0.05011262,0.03959689,0.06178325,-0.02569362,0.15272137,-0.69314189
0.20880560,-0.55288491,-0.21248854,-0.02656992,0.04415106,0.06911846,-0.02539264,0.15302905,-0.69313123
0.21133058,-0.58306080,-0.19872256,-0.01400559,0.07337138,0.08726054,-0.02415497,0.15262174,-0.69317297
0.19650906,-0.59146918,-0.17367050,-0.02706054,0.11720583,0.11108203,-0.02115933,0.15225984,-0.69324224
0.16081234,-0.60450590,-0.12633514,-0.05673204,0.15024244,0.12945069,-0.01632338,0.15352447,-0.69325378
0.11389533,-0.62712003,-0.06474406,-0.09478143,0.15154205,0.13569283,-0.01061958,0.15728720,-0.69313656
0.06179800,-0.63830190,0.00886552,-0.13790832,0.10667222,0.12260461,-0.00590037,0.16402041,-0.69282841
0.01909484,-0.65734700,0.08054921,-0.18385859,0.02691240,0.08640132,-0.00411811,0.17401550,-0.69227071
0.00561031,-0.71904281,0.11084921,-0.22729130,-0.05563897,0.03675305,-0.00617234,0.18728740,-0.69141286
0.02156003,-0.79768603,0.08178954,-0.26249720,-0.11907463,-0.00867121,-0.01165411,0.20342607,-0.69021932
0.04934757,-0.82598613,0.01897121,-0.29280211,-0.17488356,-0.03606938,-0.01984945,0.22189274,-0.68865191
0.08291923,-0.77816444,-0.04534830,-0.32608623,-0.23955201,-0.04086491,-0.03081300,0.24263182,-0.68661384
0.11386691,-0.69562897,-0.13457017,-0.36223835,-0.29928073,-0.02592402,-0.04464465,0.26589677,-0.68396390
0.09874054,-0.63274571,-0.28754189,-0.39953751,-0.35558203,-0.01058787,-0.06098268,0.29179809,-0.68055824
0.00706982,-0.57127684,-0.48241320,-0.44062880,-0.43994560,-0.02378770,-0.08040139,0.32050925,-0.67617571
-0.15325177,-0.40742264,-0.71368912,-0.47204853,-0.56669946,-0.08203173,-0.10475254,0.35188116,-0.67051884
-0.35505028,-0.07773797,-1.03876456,-0.44222595,-0.69838887,-0.18661090,-0.13553836,0.38335609,-0.66362225
-0.49935451,0.33442189,-1.51294905,-0.28156814,-0.72660213,-0.30365782,-0.17089761,0.40776166,-0.65667860
-0.48182863,0.69857499,-2.10768539,0.03069936,-0.55124784,-0.36720711,-0.20362090,0.41451587,-0.65234936
-0.33590708,0.96876538,-2.65693704,0.42878071,-0.17149553,-0.33909492,-0.22379679,0.39491605,-0.65341235
-0.15504650,1.14606663,-2.95109559,0.80384566,0.32605675,-0.22889189,-0.22349108,0.34698595,-0.66059667
-0.00907006,1.22509757,-2.86745698,1.07944332,0.80993800,-0.06973164,-0.19993084,0.27562010,-0.67175323
0.04274792,1.20157821,-2.39585922,1.24537620,1.15805622,0.09791360,-0.15658546,0.18861574,-0.68302435
0.01404194,1.05636297,-1.62901698,1.33268725,1.29714391,0.23640644,-0.10172856,0.09265591,-0.69074149
-0.06544301,0.76552384,-0.70874890,1.36159370,1.22344502,0.30270645,-0.04558269,-0.00762034,-0.69266057
-0.16809877,0.31451593,0.22008737,1.31095753,1.01986323,0.27512712,0.00362441,-0.10735917,-0.68839616
-0.19384260,-0.26314697,1.00293863,1.15851824,0.81132838,0.18323349,0.04296255,-0.19965114,-0.67934960
-0.11775794,-0.82244474,1.54086861,0.93454787,0.69541460,0.07760853,0.07491450,-0.27777933,-0.66794439
-0.02697331,-1.15212355,1.85262166,0.69920762,0.66736761,0.00278367,0.10410835,-0.33868991,-0.65640774
0.03687753,-1.16176460,2.07421114,0.48716304,0.61111454,-0.02572563,0.13200245,-0.38307822,-0.64617919
0.11446874,-1.00160670,2.32691805,0.29843219,0.43091803,-0.01928628,0.15478256,-0.41291373,-0.63827023
0.21861931,-0.84597917,2.55520651,0.12183775,0.15623612,0.00889175,0.16703170,-0.42963118,-0.63357689
0.29157616,-0.73448121,2.60867700,-0.05304218,-0.08989999,0.05069222,0.16707354,-0.43380800,-0.63259559
0.29098706,-0.64796806,2.42970828,-0.23065923,-0.23372670,0.10086930,0.15806704,-0.42540692,-0.63521179
0.23420440,-0.54262586,2.12575030,-0.40016208,-0.32624486,0.15452277,0.14365637,-0.40450925,-0.64090862
0.15953515,-0.39125151,1.83259084,-0.54135855,-0.44105721,0.20711643,0.12441448,-0.37234440,-0.64889662
0.06812025,-0.19298667,1.55871924,-0.64229314,-0.58341714,0.25134514,0.09906253,-0.33136505,-0.65810747
-0.05814938,0.02551742,1.23944360,-0.70273557,-0.69253300,0.28218864,0.06769162,-0.28443934,-0.66733962
-0.20882389,0.19260149,0.83965051,-0.73217158,-0.69169865,0.30058516,0.03369151,-0.23409993,-0.67556474
-0.33506117,0.23852980,0.39661251,-0.74577397,-0.56675429,0.30250655,0.00268907,-0.18204587,-0.68224642
-0.38888561,0.15121945,0.00859813,-0.75361328,-0.37910811,0.27721566,-0.02083270,-0.12905655,-0.68736424
-0.36396711,-0.02886282,-0.25565789,-0.75143832,-0.20714933,0.22340736,-0.03580619,-0.07565991,-0.69108162
-0.28005854,-0.22833688,-0.41245593,-0.71842843,-0.09812649,0.15768900,-0.04412840,-0.02338559,-0.69347224
-0.15964459,-0.37161771,-0.51584379,-0.63575663,-0.05908602,0.10389827,-0.04895692,0.02468208,-0.69459563
-0.02910720,-0.44318486,-0.58956527,-0.51269895,-0.08069714,0.07486506,-0.05336232,0.06507384,-0.69468354
0.07076972,-0.46258334,-0.61781222,-0.38836707,-0.15154142,0.06201524,-0.05987863,0.09617195,-0.69409566
0.09822202,-0.44089623,-0.59062466,-0.30079260,-0.24693442,0.04782584,-0.07026249,0.11939625,-0.69309749
0.06145689,-0.40868293,-0.54940845,-0.25173979,-0.32569018,0.02667775,-0.08472850,0.13768942,-0.69178229
0.01551027,-0.40862013,-0.55240717,-0.21603582,-0.35643794,0.00502619,-0.10176095,0.15295450,-0.69021133
-0.00802125,-0.43302797,-0.58414367,-0.18792701,-0.35123473,-0.00908250,-0.11510401,0.16309192,-0.68893964
