ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.13050277,-0.52272075,-0.19254456,-0.07553965,-0.10319145,0.04739125,-0.04456232,0.02156387,-0.69492865
0.12588115,-0.51766031,-0.18595529,-0.09674074,-0.08241827,0.06206741,-0.04860938,0.02524460,-0.69485671
0.11542836,-0.50749086,-0.17719783,-0.12644670,-0.05372012,0.07653522,-0.05312207,0.03165723,-0.69478567
0.11136055,-0.51623169,-0.17596114,-0.14862242,-0.02110174,0.08082609,-0.05622232,0.04005561,-0.69474571
0.11474516,-0.55271827,-0.19494491,-0.14942519,0.01308498,0.07729533,-0.05776906,0.04933706,-0.69472617
0.10755347,-0.58038780,-0.22517806,-0.12519840,0.03735104,0.06570217,-0.05795532,0.05773814,-0.69471640
0.10314652,-0.58924755,-0.24163468,-0.08364983,0.03637364,0.04945227,-0.05757876,0.06365672,-0.69470841
0.11919622,-0.58716157,-0.22896914,-0.04084831,-0.00008125,0.03894779,-0.05804373,0.06638456,-0.69467733
0.13949899,-0.55941751,-0.19421794,-0.01519977,-0.06045947,0.03627861,-0.06076606,0.06653705,-0.69457787
0.15653379,-0.52607623,-0.16632266,-0.01657410,-0.11943458,0.03729958,-0.06625391,0.06578952,-0.69437450
0.16112796,-0.52577309,-0.16237571,-0.04714673,-0.16483138,0.03830046,-0.07410237,0.06620632,-0.69404859
0.13906476,-0.53789704,-0.16917715,-0.10642404,-0.20054404,0.03825690,-0.08380059,0.06991687,-0.69357526
0.10119299,-0.53599362,-0.18049809,-0.18954036,-0.23457153,0.03703653,-0.09508537,0.07885200,-0.69289590
0.05093352,-0.53144734,-0.21247583,-0.29060294,-0.26664077,0.02837053,-0.10780960,0.09454135,-0.69188708
0.00550935,-0.52203910,-0.29464922,-0.39083694,-0.28392467,0.00358987,-0.12168983,0.11770194,-0.69036763
-0.01426901,-0.51905207,-0.46373279,-0.44376544,-0.26847769,-0.03952315,-0.13576241,0.14660828,-0.68824430
-0.04447861,-0.50920922,-0.71552999,-0.40536385,-0.21094973,-0.08804054,-0.14832737,0.17601615,-0.68576043
-0.09026643,-0.40527470,-0.98820159,-0.27047865,-0.12765568,-0.12190929,-0.15773540,0.19890226,-0.68355451
-0.08681811,-0.19119378,-1.21339143,-0.05634677,-0.04478795,-0.13076658,-0.16334270,0.20892243,-0.68238051
-0.02009921,0.05181445,-1.37750462,0.23289800,0.03874906,-0.10835895,-0.16526669,0.20060741,-0.68278635
0.04271753,0.25664957,-1.52023332,0.59661814,0.15970893,-0.05696151,-0.16260982,0.16851169,-0.68486527
0.06800165,0.39973613,-1.63307510,1.00022681,0.32485960,0.01085805,-0.15325442,0.10829375,-0.68771857
0.09777799,0.51308727,-1.61143520,1.37821984,0.48359403,0.09530690,-0.13629216,0.01939108,-0.68891833
0.11452462,0.62981901,-1.38806480,1.67160130,0.59045670,0.18947124,-0.11336696,-0.09398561,-0.68495408
0.03499654,0.71501325,-0.99409004,1.84023702,0.61894409,0.25805733,-0.08786856,-0.22394896,-0.67267058
-0.12477614,0.72006112,-0.49602733,1.86678361,0.56869923,0.27775679,-0.06355182,-0.36040288,-0.65076952
-0.28152687,0.60289560,0.01623952,1.76084986,0.45823838,0.23949265,-0.04336514,-0.49299377,-0.62051280
-0.38255160,0.29510907,0.48160842,1.54860193,0.30918613,0.12983868,-0.02888159,-0.61297693,-0.58533806
-0.39119495,-0.17157171,0.86591346,1.26640628,0.17684677,-0.03347331,-0.01959368,-0.71423995,-0.54972818
-0.31545728,-0.59848580,1.12136732,0.95414408,0.12367615,-0.18983218,-0.01260025,-0.79366396,-0.51789695
-0.20889250,-0.80361737,1.24077947,0.65117964,0.15561298,-0.28325752,-0.00429019,-0.85096836,-0.49274119
-0.10610049,-0.77088907,1.28293265,0.38722823,0.23208035,-0.29610785,0.00733876,-0.88827443,-0.47532832
-0.01627547,-0.60117136,1.31761229,0.16207644,0.31436943,-0.23763302,0.02217998,-0.90866990,-0.46539372
0.07330254,-0.42028099,1.37211638,-0.04713881,0.38111701,-0.13707288,0.03907543,-0.91421844,-0.46249246
0.15624659,-0.34577791,1.43818411,-0.25556405,0.42217774,-0.04177918,0.05684211,-0.90548595,-0.46647447
0.18672280,-0.42511031,1.50047746,-0.46358102,0.42002462,0.00553962,0.07447517,-0.88242837,-0.47715149
0.17457133,-0.59211147,1.54473745,-0.65821813,0.34413800,-0.00464018,0.09030639,-0.84528698,-0.49392673
0.17225317,-0.71540680,1.53799451,-0.80571126,0.19466109,-0.04254098,0.10161277,-0.79586453,-0.51534648
0.15425288,-0.69292164,1.43760754,-0.88129790,0.01111924,-0.07526416,0.10607688,-0.73828091,-0.53899700
0.09940512,-0.54972203,1.26180574,-0.90739504,-0.18818011,-0.09390685,0.10245295,-0.67690474,-0.56262088
0.06661369,-0.37184884,1.06903869,-0.92541535,-0.39042694,-0.09717979,0.08991498,-0.61369464,-0.58515690
