ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.00063680,-0.67462350,-0.05398805,-0.06124813,0.13277325,0.07890487,-0.15969853,0.18926907,-0.68410333
0.00648758,-0.67280382,-0.02801720,-0.06738028,0.09414456,0.05944669,-0.15716786,0.19164314,-0.68415483
0.02252651,-0.66959823,0.00103957,-0.06816478,0.03664507,0.03507327,-0.15559681,0.19484946,-0.68406603
0.04953086,-0.65877729,0.02131961,-0.06218568,-0.01085258,0.01767526,-0.15651865,0.19776639,-0.68378541
0.07226451,-0.63269044,0.02691087,-0.06207828,-0.02461963,0.01177789,-0.15889681,0.20036750,-0.68340088
0.08320936,-0.59900248,0.01894287,-0.08232235,0.00466480,0.01851844,-0.16092338,0.20365311,-0.68298883
0.09395328,-0.57731369,0.00305918,-0.12681091,0.06497397,0.03791753,-0.16082417,0.20934668,-0.68256434
0.11498923,-0.58160372,-0.01046993,-0.18620876,0.12324520,0.06501635,-0.15789332,0.21896022,-0.68204217
0.14449602,-0.61011987,-0.01319327,-0.24339049,0.14998779,0.08828826,-0.15292780,0.23296948,-0.68125269
0.16692483,-0.64490902,-0.01332587,-0.28150769,0.13636859,0.09767757,-0.14760056,0.25054562,-0.68004850
0.16628182,-0.66678706,-0.01926191,-0.29557593,0.08125530,0.08943451,-0.14381130,0.27000989,-0.67837186
0.15109665,-0.67251826,-0.03035071,-0.29529899,-0.01430292,0.06654890,-0.14348872,0.28985030,-0.67619880
0.13789049,-0.66313012,-0.04809161,-0.29595812,-0.13262343,0.03836630,-0.14814314,0.30954297,-0.67345739
0.12195547,-0.62702038,-0.09170201,-0.31154927,-0.23943712,0.01387824,-0.15807553,0.32968836,-0.67000555
0.10140961,-0.56161318,-0.18887263,-0.35200863,-0.31207592,-0.00635660,-0.17217576,0.35175849,-0.66563723
0.08110391,-0.47370492,-0.35085068,-0.41319878,-0.35389910,-0.03069946,-0.18889238,0.37747885,-0.66008338
0.05205290,-0.35077135,-0.57804123,-0.46222765,-0.37680983,-0.06499622,-0.20719759,0.40724252,-0.65319300
0.01285983,-0.17101483,-0.85471864,-0.44919151,-0.37569267,-0.10096381,-0.22621274,0.43831962,-0.64539504
-0.04962953,0.09278281,-1.15147010,-0.33961057,-0.34441449,-0.13237933,-0.24467586,0.46485461,-0.63797451
-0.11571816,0.41090627,-1.43856528,-0.12006332,-0.30384553,-0.16458283,-0.26169953,0.47936742,-0.63278919
-0.11421748,0.65706315,-1.68590908,0.21362548,-0.25942808,-0.19706136,-0.27711707,0.47378906,-0.63175905
-0.05866790,0.77214437,-1.89002178,0.64725776,-0.16854565,-0.22057809,-0.28974277,0.44028977,-0.63631741
-0.00302324,0.84485122,-2.03440352,1.13026822,-0.02083810,-0.21828526,-0.29685295,0.37326746,-0.64633549
0.05246164,0.96293453,-2.02000756,1.58556119,0.13684268,-0.17299624,-0.29663363,0.27182755,-0.65897687
0.09123618,1.08240208,-1.77981977,1.94221609,0.26363175,-0.09982752,-0.28936891,0.14066260,-0.66911306
0.06353588,1.12020422,-1.33922536,2.16212103,0.29426463,-0.04665457,-0.27787695,-0.01140070,-0.67114669
-0.04736136,1.05744155,-0.73370141,2.24754719,0.16193246,-0.05503388,-0.26828333,-0.17414359,-0.66078760
-0.19202826,0.84283642,-0.05841783,2.22173769,-0.11276174,-0.14462015,-0.26745462,-0.33834020,-0.63617177
-0.28263155,0.43904392,0.52440792,2.10756362,-0.39002744,-0.29276231,-0.27811517,-0.49657012,-0.59820412
-0.25569973,-0.02890804,0.86065680,1.92421591,-0.44712893,-0.40803456,-0.29478387,-0.64299949,-0.55059226
-0.13453397,-0.31998248,0.92471581,1.67704721,-0.17313966,-0.40007330,-0.30523724,-0.77271275,-0.49952677
0.01643264,-0.31158164,0.91231803,1.35748346,0.28388770,-0.28032766,-0.29945516,-0.88084520,-0.45220352
0.16679839,-0.15930456,1.04276376,0.97953059,0.67255061,-0.12863769,-0.27678505,-0.96313395,-0.41454492
0.28961479,-0.08544879,1.32453143,0.59770575,0.87562849,-0.00172332,-0.24375807,-1.01817068,-0.38949838
0.35409786,-0.13996553,1.60649420,0.26577813,0.92515434,0.07911575,-0.20741219,-1.04843451,-0.37693426
0.39319488,-0.28557016,1.77327877,-0.00043375,0.87700764,0.11174607,-0.17211300,-1.05849535,-0.37494148
0.44579015,-0.46033407,1.82716488,-0.20964480,0.75642151,0.11194344,-0.14055786,-1.05273332,-0.38120844
0.48720337,-0.55137926,1.80674133,-0.36922431,0.57930624,0.10105873,-0.11502978,-1.03467465,-0.39359229
0.50702192,-0.51411808,1.72318084,-0.47747209,0.37325946,0.09784252,-0.09729819,-1.00757173,-0.41002475
0.50223269,-0.40475885,1.59462176,-0.54216551,0.17511007,0.11332826,-0.08804874,-0.97458955,-0.42855478
0.46903743,-0.27992354,1.44228364,-0.59920285,0.01055632,0.14939175,-0.08674629,-0.93745087,-0.44809452
0.43198902,-0.14318117,1.26435978,-0.69113683,-0.11417010,0.20477396,-0.09214169,-0.89504626,-0.46898321
0.39514253,0.01002291,1.05189688,-0.82729678,-0.18397900,0.27207924,-0.10250598,-0.84432122,-0.49229095
0.33914794,0.13024161,0.79423049,-0.97626214,-0.16619390,0.33802790,-0.11482395,-0.78300198,-0.51844310
0.27010010,0.16240466,0.50607337,-1.09902313,-0.06822416,0.38566260,-0.12504382,-0.71140977,-0.54657117
0.21103848,0.10871528,0.24145624,-1.17295003,0.05168116,0.40183314,-0.13039940,-0.63214571,-0.57490615
0.15222878,0.01557575,0.03698568,-1.18994178,0.14585515,0.38253435,-0.13058296,-0.54902065,-0.60149079
0.09426890,-0.07678835,-0.11032720,-1.15784522,0.19483859,0.32683101,-0.12684229,-0.46600674,-0.62479142
0.08436109,-0.14909241,-0.21566201,-1.09383459,0.18461131,0.24887115,-0.12131867,-0.38619711,-0.64403189
0.11527544,-0.18786677,-0.27837062,-1.03454098,0.14205279,0.18925344,-0.11713665,-0.32865144,-0.65633759
