ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.08378342,-0.69904893,-0.09485368,-0.13341002,0.13665679,0.09150616,-0.10075408,0.45111575,-0.65403843
-0.08673577,-0.71228914,-0.08413582,-0.19056436,0.16641622,0.05308703,-0.09626028,0.45953514,-0.65260511
-0.04831999,-0.71612445,-0.08533291,-0.24296619,0.17785563,0.00947661,-0.08993157,0.47358981,-0.65007062
0.02103955,-0.67993851,-0.10086310,-0.24188025,0.15190080,-0.01595560,-0.08417918,0.48953669,-0.64700241
0.08491294,-0.61402720,-0.11539131,-0.18293371,0.09613531,-0.02365415,-0.08039666,0.50322674,-0.64421483
0.14415687,-0.55867975,-0.11527650,-0.09542397,0.01450622,-0.01763960,-0.07970832,0.51145298,-0.64242186
0.19517502,-0.51923463,-0.09996393,-0.02016391,-0.07551085,-0.00087474,-0.08285040,0.51366507,-0.64177536
0.22299195,-0.48047785,-0.09079629,0.01470702,-0.14100646,0.02051817,-0.08942813,0.51186368,-0.64185350
0.22180396,-0.45386428,-0.10493430,0.00304009,-0.15987622,0.04195143,-0.09776316,0.50925986,-0.64199826
0.18780591,-0.45993714,-0.13248226,-0.04882846,-0.13609893,0.05790063,-0.10580395,0.50900435,-0.64160130
0.13875110,-0.49851639,-0.15686293,-0.13160739,-0.08891076,0.06420018,-0.11212929,0.51366033,-0.64016444
0.11011472,-0.55622867,-0.17961780,-0.23341227,-0.03722803,0.06687324,-0.11617027,0.52502104,-0.63728183
0.11124096,-0.61701004,-0.22175137,-0.34081090,-0.00382953,0.06914159,-0.11825352,0.54396414,-0.63261513
0.14098791,-0.65177407,-0.30387535,-0.43473344,-0.00149335,0.07137989,-0.11951818,0.57019686,-0.62595831
0.19128854,-0.61017179,-0.42980229,-0.49850850,-0.02886522,0.08116292,-0.12123836,0.60208113,-0.61739663
0.21381537,-0.44349888,-0.58162342,-0.53718423,-0.10133416,0.09949343,-0.12496824,0.63751059,-0.60715565
0.18921837,-0.14475130,-0.74224053,-0.56749939,-0.21811330,0.12155544,-0.13272695,0.67526396,-0.59523981
0.13944312,0.23905904,-0.93145191,-0.58931071,-0.33675676,0.14574061,-0.14551596,0.71485736,-0.58153277
0.08160184,0.57913089,-1.17851306,-0.56496617,-0.39293343,0.16808695,-0.16196871,0.75454429,-0.56658602
0.03275876,0.70685274,-1.49645901,-0.42492430,-0.30880953,0.18531933,-0.17766564,0.78869555,-0.55287632
-0.02983744,0.61644649,-1.83386792,-0.12664241,-0.06838938,0.19344335,-0.18597300,0.80745703,-0.54511654
-0.11180718,0.46644130,-2.04372338,0.29389533,0.21550602,0.18880484,-0.18239429,0.80065741,-0.54798228
-0.15607081,0.38065920,-1.98953100,0.75303865,0.38018485,0.18197007,-0.16878669,0.76244996,-0.56295212
-0.14550039,0.38989411,-1.65326759,1.17998537,0.36919916,0.17991260,-0.15196817,0.69238060,-0.58754753
-0.15610413,0.44271761,-1.15429116,1.53143562,0.24766199,0.16655760,-0.13844762,0.59383932,-0.61691886
-0.26080850,0.44626235,-0.63143979,1.77986389,0.09131856,0.11700186,-0.13156351,0.47276976,-0.64558153
-0.40754263,0.35369728,-0.14627840,1.91568729,-0.05861012,0.01885258,-0.13206155,0.33675297,-0.66866371
-0.49747057,0.17984781,0.27950007,1.94485084,-0.17890116,-0.11675751,-0.13908805,0.19381186,-0.68288492
-0.49578954,-0.03422891,0.63163519,1.88003278,-0.23351564,-0.25806439,-0.15012044,0.05152476,-0.68706053
-0.41515188,-0.19666874,0.90448518,1.73631726,-0.19776253,-0.36758548,-0.16097871,-0.08343139,-0.68206170
-0.27502426,-0.23236229,1.12422617,1.52898708,-0.10099338,-0.42823614,-0.16782638,-0.20548500,-0.67027019
-0.08928918,-0.19794243,1.32504333,1.28073533,0.00851973,-0.44943066,-0.16900399,-0.31057108,-0.65474265
0.13258176,-0.19413391,1.51472446,1.02071969,0.08681218,-0.44521543,-0.16509460,-0.39674523,-0.63836347
0.38863698,-0.24686447,1.69479691,0.77152023,0.09322618,-0.41516902,-0.15878074,-0.46408945,-0.62322579
0.64106547,-0.29671184,1.85349650,0.54187238,0.01768453,-0.34803764,-0.15400688,-0.51386093,-0.61053645
0.83476072,-0.26592548,1.95858353,0.32865616,-0.11586830,-0.24569271,-0.15438277,-0.54748425,-0.60092332
0.95838382,-0.18357005,1.98770424,0.12688600,-0.26924373,-0.13183550,-0.16205914,-0.56599768,-0.59471764
1.00586346,-0.15964455,1.92977854,-0.05974534,-0.39490710,-0.02850033,-0.17696515,-0.57037714,-0.59199133
0.96860137,-0.20965019,1.78931941,-0.23076458,-0.46010672,0.06664125,-0.19699054,-0.56181001,-0.59257033
0.87715413,-0.24023222,1.60324698,-0.40424717,-0.46967237,0.16617822,-0.21951893,-0.54077138,-0.59630636
0.77056386,-0.21707881,1.39828705,-0.59870524,-0.42165194,0.27307353,-0.24212359,-0.50624127,-0.60329353
0.66570364,-0.18980955,1.15711834,-0.81684183,-0.29278329,0.38667884,-0.26163609,-0.45638778,-0.61369969
0.56890160,-0.16617715,0.87929253,-1.04961151,-0.09206900,0.49997314,-0.27436167,-0.38960946,-0.62731081
0.48949408,-0.14597810,0.60332720,-1.27684706,0.14173403,0.59285363,-0.27753210,-0.30540885,-0.64304438
0.42292026,-0.16053722,0.34792420,-1.47024323,0.36098300,0.64559672,-0.27009664,-0.20520849,-0.65879393
0.36303234,-0.20728536,0.11522013,-1.59344687,0.51099332,0.65626008,-0.25341309,-0.09290735,-0.67177365
0.29087630,-0.24810801,-0.09151927,-1.60449547,0.58403192,0.62813895,-0.23070316,0.02456755,-0.67949169
