ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.02062983,-0.69692192,-0.02160196,0.02242942,0.16011412,0.06824742,-0.09734543,0.10918767,-0.69219079
0.01725404,-0.68481472,-0.00543380,0.00716393,0.16756169,0.06923496,-0.09271531,0.10732122,-0.69248385
0.01429875,-0.67616935,0.02345657,-0.00984412,0.16909857,0.06988296,-0.08641764,0.10570145,-0.69284262
0.01655320,-0.66538022,0.06006027,-0.02069748,0.15202887,0.06667215,-0.08046347,0.10510776,-0.69314011
0.02639925,-0.64470051,0.09543854,-0.02307336,0.11516820,0.05743768,-0.07575102,0.10498916,-0.69335502
0.03941330,-0.61817570,0.11913982,-0.01889819,0.06978862,0.04478640,-0.07293084,0.10476280,-0.69348201
0.05489645,-0.59415390,0.12954161,-0.01735228,0.02629105,0.03346727,-0.07215004,0.10426738,-0.69352819
0.07341036,-0.57536254,0.13710235,-0.02920513,-0.01351965,0.02540555,-0.07325949,0.10409592,-0.69348557
0.09062159,-0.56188367,0.14849087,-0.05983495,-0.04972633,0.02071166,-0.07609857,0.10545205,-0.69332660
0.10344646,-0.56006063,0.15296569,-0.10546236,-0.07709252,0.01991879,-0.08041893,0.10961261,-0.69301756
0.11086163,-0.57853798,0.13467983,-0.15995475,-0.08419706,0.02291366,-0.08554506,0.11745118,-0.69253535
0.11870318,-0.62070802,0.08952212,-0.22422891,-0.06776324,0.03064699,-0.09042893,0.12963533,-0.69185866
0.13426965,-0.67383132,0.03087162,-0.30352990,-0.05085323,0.04629869,-0.09444291,0.14706575,-0.69089957
0.16521047,-0.72025705,-0.02277253,-0.39643171,-0.07259542,0.06809259,-0.09843463,0.17084375,-0.68941297
0.20524259,-0.74772309,-0.09299356,-0.48236386,-0.15344095,0.08311875,-0.10471070,0.20131360,-0.68702678
0.22652261,-0.76934405,-0.23039984,-0.53428904,-0.28169200,0.07478604,-0.11575794,0.23688809,-0.68342841
0.19218052,-0.79770780,-0.44556246,-0.54788985,-0.43276915,0.03562470,-0.13322161,0.27471398,-0.67847043
0.07125001,-0.74142246,-0.72050399,-0.53442075,-0.57384685,-0.02496028,-0.15748841,0.31231555,-0.67213775
-0.11371268,-0.48964995,-1.04462212,-0.49299440,-0.67765194,-0.08290665,-0.18754944,0.34772602,-0.66458845
-0.28784815,-0.06346942,-1.40115976,-0.39339754,-0.71713999,-0.12092226,-0.22118243,0.37797291,-0.65642905
-0.39240647,0.36915242,-1.81365400,-0.18090071,-0.60853732,-0.14472568,-0.25371407,0.39694584,-0.64939393
-0.40367185,0.59619804,-2.31813994,0.17475553,-0.27506515,-0.16514388,-0.27654210,0.39520002,-0.64660990
-0.35197247,0.61928111,-2.76347112,0.62642963,0.21351107,-0.17759136,-0.28056553,0.36374678,-0.65082990
-0.31833023,0.65567473,-2.84620946,1.05721078,0.67724483,-0.15855916,-0.26260990,0.29971121,-0.66152113
-0.32318710,0.83145944,-2.46609369,1.36541145,1.01299581,-0.08019763,-0.22619991,0.20859305,-0.67448220
-0.35267919,1.06555433,-1.81822401,1.52619874,1.22515057,0.04629059,-0.17698000,0.10056362,-0.68463349
-0.39869344,1.17625927,-1.09867209,1.56107330,1.32269100,0.16844506,-0.12056622,-0.01430543,-0.68849295
