ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.07319340,-0.78012481,0.04557930,-0.04908937,-0.10919576,-0.04302909,-0.04408993,0.26999972,-0.68365042
-0.06588409,-0.77728014,0.00116563,-0.09915854,-0.03761300,-0.05195544,-0.04729882,0.27337412,-0.68319485
-0.05275047,-0.74143502,-0.04722222,-0.16684626,0.06358149,-0.05452297,-0.04845214,0.28123031,-0.68229348
-0.02991194,-0.68396057,-0.05648359,-0.22462610,0.14831610,-0.04706012,-0.04530060,0.29371198,-0.68094365
0.01625032,-0.64456150,-0.02761320,-0.26220257,0.18391687,-0.03674693,-0.03936398,0.30969614,-0.67915334
0.08372201,-0.62841131,0.01665478,-0.27427106,0.15800158,-0.02899013,-0.03320871,0.32752574,-0.67699005
0.14811196,-0.62319176,0.05323849,-0.25852119,0.08118145,-0.02908485,-0.02942079,0.34521370,-0.67463495
0.18507411,-0.62797920,0.06746188,-0.22309453,-0.02751933,-0.03975513,-0.02990736,0.36095997,-0.67232691
0.19360474,-0.64022290,0.06709676,-0.18885087,-0.14716955,-0.05797556,-0.03567729,0.37404414,-0.67018671
0.18679337,-0.64434210,0.06045845,-0.18222186,-0.25290293,-0.07973434,-0.04669146,0.38549499,-0.66805273
0.17350390,-0.62836860,0.04038585,-0.22116288,-0.32543463,-0.09828400,-0.06189575,0.39801732,-0.66545341
0.15206704,-0.60528553,0.00133530,-0.30879371,-0.34686241,-0.11090369,-0.07937832,0.41506618,-0.66175202
0.11062932,-0.59562188,-0.07039817,-0.44062219,-0.29766685,-0.12113027,-0.09631156,0.44001665,-0.65628075
0.05958766,-0.60114624,-0.19886388,-0.59345010,-0.19482299,-0.12650526,-0.10980377,0.47532479,-0.64841086
0.03630608,-0.60079201,-0.37398884,-0.71386558,-0.08723951,-0.12525230,-0.11855990,0.52060227,-0.63786084
0.05178923,-0.56349148,-0.56138988,-0.75826649,-0.02195242,-0.12109228,-0.12342217,0.57174818,-0.62505695
0.07375441,-0.44431284,-0.73654936,-0.72328415,-0.03860643,-0.11950519,-0.12723842,0.62300930,-0.61100890
0.06490031,-0.20818640,-0.90852701,-0.61408559,-0.12656893,-0.13441671,-0.13366431,0.66893062,-0.59709494
0.02638553,0.10464466,-1.15186283,-0.40937265,-0.22380664,-0.17974929,-0.14474326,0.70362067,-0.58540111
-0.02526974,0.45413814,-1.53336207,-0.06341712,-0.24442448,-0.24521439,-0.15925583,0.71873260,-0.57930199
-0.07385209,0.82918086,-2.02340882,0.44350183,-0.11645205,-0.28942386,-0.17202257,0.70330282,-0.58308508
-0.07421967,1.16916645,-2.44536060,1.03265843,0.10335565,-0.27015646,-0.17683558,0.64816850,-0.59915433
0.00446544,1.45258198,-2.55508777,1.55840418,0.31014766,-0.16911126,-0.17126337,0.55237404,-0.62474524
0.10162526,1.69175406,-2.33850936,1.92802918,0.51386486,0.00314025,-0.15536534,0.42383392,-0.65279693
0.08447185,1.82879706,-1.96771853,2.13140123,0.74496053,0.19728106,-0.12851051,0.27415283,-0.67593150
-0.10201700,1.78432835,-1.49819815,2.19234546,0.95269398,0.34248795,-0.09107206,0.11452612,-0.68896717
-0.39087737,1.51291785,-0.90165400,2.13683261,1.05987182,0.37558663,-0.04667729,-0.04548622,-0.68950533
-0.68822033,1.04465689,-0.22374736,1.98314186,1.03330448,0.26952775,-0.00101516,-0.19774606,-0.67794204
-0.88747818,0.47205526,0.43087834,1.75571050,0.89499287,0.05759014,0.04088807,-0.33547885,-0.65704625
-0.86301351,-0.13040404,0.97878322,1.49391085,0.72358203,-0.17424886,0.07659217,-0.45439323,-0.63080706
-0.63401656,-0.63782374,1.35031009,1.22659412,0.63342910,-0.33060418,0.10764185,-0.55313038,-0.60297561
-0.37859357,-0.84930869,1.54518140,0.94962836,0.67491300,-0.36324682,0.13859907,-0.63158998,-0.57646468
-0.20563924,-0.74322539,1.69268538,0.64123217,0.79142610,-0.29429570,0.17313771,-0.68882118,-0.55380877
-0.11392048,-0.55219154,1.89268511,0.29824571,0.90004854,-0.18416190,0.21179088,-0.72286943,-0.53744824
-0.08614079,-0.47480276,2.10861612,-0.04442824,0.94861886,-0.08818996,0.25276080,-0.73277032,-0.52901266
-0.09344030,-0.56261891,2.27439179,-0.32887402,0.88347766,-0.04607562,0.29271373,-0.72064378,-0.52847095
-0.07928531,-0.76298564,2.37493352,-0.49820324,0.64308103,-0.06423307,0.32605182,-0.69243414,-0.53426370
-0.04990594,-0.90964038,2.41355538,-0.53180426,0.21962459,-0.11113821,0.34528494,-0.65691929,-0.54420807
-0.05272204,-0.89509381,2.39089823,-0.48377349,-0.31819647,-0.15519048,0.34379555,-0.62195001,-0.55666029
-0.08801296,-0.74081367,2.30033031,-0.46226882,-0.84066417,-0.17093370,0.31898483,-0.58967673,-0.57118256
-0.15287635,-0.44309525,2.10546009,-0.56623040,-1.21538177,-0.12731551,0.27390104,-0.55478267,-0.58823843
-0.24046751,-0.01535883,1.79198897,-0.82712892,-1.37163473,-0.01679523,0.21597223,-0.50701658,-0.60844688
-0.31719811,0.39185196,1.37732617,-1.18258424,-1.28315424,0.12045529,0.15512674,-0.43681642,-0.63140916
-0.37105489,0.61406742,0.87693649,-1.52708840,-0.98099245,0.22389548,0.10206289,-0.34062888,-0.65480392
-0.40411489,0.60651236,0.36544494,-1.78442301,-0.58177885,0.24658473,0.06464671,-0.22181480,-0.67501947
-0.37431502,0.41771438,-0.05555389,-1.90709327,-0.23872155,0.17456597,0.04454102,-0.08838692,-0.68861994
-0.27184647,0.18207950,-0.35327065,-1.85641826,-0.06975774,0.03703974,0.03651844,0.04821136,-0.69362410
-0.13509856,0.03936056,-0.54704224,-1.63219833,-0.10047330,-0.12070176,0.03149421,0.17471898,-0.69053280
0.03909081,0.04294633,-0.66633705,-1.29384524,-0.28561194,-0.25854980,0.02097741,0.28014121,-0.68224908
0.19295684,0.12229380,-0.72846328,-1.01043612,-0.48553218,-0.33943935,0.00813171,0.34619369,-0.67466337
