ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.15662593,-0.59485565,-0.18567083,0.11721658,0.22470093,0.14088058,-0.09735420,0.18706849,-0.68855956
0.12430206,-0.58370644,-0.15358592,0.09531528,0.24130956,0.14463944,-0.09008273,0.18033055,-0.68935614
0.08066380,-0.60151302,-0.08890565,0.06597512,0.24272570,0.12771756,-0.08027249,0.17280847,-0.69028415
0.03961424,-0.67104527,-0.01590897,0.04251169,0.22098096,0.08421604,-0.07099808,0.16720097,-0.69101146
0.02115325,-0.74803545,0.03579259,0.02914059,0.18004606,0.03514604,-0.06323060,0.16286082,-0.69155850
0.02767449,-0.75993748,0.07058957,0.02247553,0.11864070,0.00137555,-0.05785612,0.15916247,-0.69195102
0.05378883,-0.71314999,0.10070864,0.01712221,0.04277805,-0.01167773,-0.05564262,0.15585652,-0.69219789
0.09094310,-0.67232734,0.12339267,0.00640159,-0.02900903,-0.00998241,-0.05684857,0.15310767,-0.69229292
0.11197219,-0.65798594,0.12721282,-0.02194261,-0.06602624,0.00013965,-0.06060747,0.15173866,-0.69222542
0.10147235,-0.65909299,0.09526669,-0.07887534,-0.04776479,0.01253631,-0.06478814,0.15347229,-0.69198476
0.06438669,-0.68009762,0.03504091,-0.16024203,0.01058328,0.01971534,-0.06713998,0.16032748,-0.69153807
0.03049157,-0.72571525,-0.03055743,-0.24218969,0.07296784,0.02352739,-0.06665342,0.17328559,-0.69081787
0.03446331,-0.77908140,-0.10458771,-0.29411711,0.10642147,0.03481157,-0.06390004,0.19126361,-0.68977086
0.08257126,-0.81452875,-0.19168788,-0.30516189,0.08835325,0.06025340,-0.06069317,0.21154523,-0.68841747
0.14291399,-0.82579269,-0.28258677,-0.29531026,0.01463354,0.08971293,-0.05951354,0.23174754,-0.68680388
0.15535756,-0.83246932,-0.38603386,-0.29693675,-0.09823883,0.09403622,-0.06258072,0.25151476,-0.68487149
0.07728703,-0.83214859,-0.53169079,-0.32419967,-0.22123049,0.04587204,-0.07111955,0.27231958,-0.68239561
-0.05915016,-0.77780268,-0.75551642,-0.34529280,-0.31090244,-0.05073237,-0.08484390,0.29502677,-0.67920396
-0.16108646,-0.64438397,-1.07692792,-0.29865500,-0.31897000,-0.15893348,-0.10128316,0.31686309,-0.67566686
