ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.09339162,-0.53336500,-0.06337948,-0.03154590,0.01651390,0.05681179,-0.09692230,0.08747945,-0.69270231
0.08494529,-0.54334184,-0.06942088,-0.04521620,0.02949558,0.04960085,-0.09703837,0.08845876,-0.69267922
0.08126858,-0.55301220,-0.07691550,-0.05873494,0.04026782,0.04345697,-0.09682445,0.09050414,-0.69265346
0.08623620,-0.55257926,-0.07942049,-0.06266736,0.04202040,0.04172890,-0.09633113,0.09320487,-0.69262771
0.09724869,-0.54468504,-0.07940632,-0.05682043,0.03546035,0.04388312,-0.09595255,0.09582360,-0.69259396
0.11081752,-0.53991686,-0.07891440,-0.04640833,0.02449653,0.04893224,-0.09597549,0.09782832,-0.69254956
0.11822779,-0.54237129,-0.07628807,-0.04013767,0.01408245,0.05355539,-0.09648500,0.09918444,-0.69249273
0.11294160,-0.55116991,-0.06974713,-0.04701129,0.00486388,0.05391721,-0.09743788,0.10052498,-0.69241014
0.09881308,-0.56522156,-0.06048867,-0.07185119,-0.00205508,0.04628856,-0.09877003,0.10300343,-0.69227604
0.08692626,-0.58345606,-0.05694099,-0.11284197,-0.00519729,0.03102299,-0.10033905,0.10788441,-0.69206025
0.09025108,-0.60784045,-0.06268775,-0.16379598,-0.01296137,0.01391741,-0.10213481,0.11612894,-0.69171391
0.10475992,-0.63520182,-0.06864232,-0.22090606,-0.03836901,-0.00256042,-0.10467831,0.12830360,-0.69114200
0.11393846,-0.65000547,-0.07336492,-0.28314163,-0.08826095,-0.01780675,-0.10894739,0.14482519,-0.69019357
0.12795426,-0.64059555,-0.10013323,-0.34165167,-0.16198636,-0.03035368,-0.11606364,0.16577300,-0.68868033
0.14503415,-0.60888805,-0.18538345,-0.38126989,-0.24840314,-0.04743157,-0.12688615,0.19029785,-0.68644245
0.14567324,-0.56441765,-0.34290702,-0.39330821,-0.33630348,-0.07999773,-0.14174222,0.21664443,-0.68341420
0.11076851,-0.49409824,-0.56453828,-0.36854711,-0.41038165,-0.13146912,-0.16044424,0.24246442,-0.67967907
0.01593372,-0.35923668,-0.86086612,-0.27713393,-0.42681352,-0.19905214,-0.18155748,0.26401134,-0.67569439
-0.08463619,-0.15678314,-1.24620150,-0.07702194,-0.34036558,-0.26324859,-0.20148164,0.27481564,-0.67260309
-0.12894294,0.09599259,-1.66725701,0.24163341,-0.15331632,-0.29080040,-0.21536863,0.26644505,-0.67195837
-0.10040262,0.38805768,-1.99486468,0.63285511,0.10103505,-0.25539572,-0.21906814,0.23190139,-0.67461985
0.00006927,0.66834299,-2.12848351,1.01645892,0.38912541,-0.14484116,-0.21005421,0.16899152,-0.67971104
0.10455800,0.87591894,-2.05364160,1.32358455,0.69359147,0.03796751,-0.18724643,0.08111222,-0.68465125
0.14022139,1.02106049,-1.81207108,1.53012565,1.00600241,0.26978978,-0.15043761,-0.02500807,-0.68620356
0.07068150,1.12695035,-1.44630149,1.64035287,1.28385545,0.50028245,-0.10082089,-0.14218545,-0.68151022
-0.10001937,1.14647361,-0.96381366,1.66239921,1.43480108,0.67497808,-0.04266128,-0.26383988,-0.66872143
-0.30442324,1.03232945,-0.35526665,1.61295125,1.35079672,0.75753593,0.01542005,-0.38423374,-0.64754057
-0.40936579,0.74595201,0.33553187,1.51766593,0.99875047,0.72983857,0.06204113,-0.49898960,-0.61946490
-0.37238110,0.25706911,0.96200870,1.39626641,0.47630824,0.59262401,0.08819885,-0.60525221,-0.58718876
-0.31459275,-0.32907335,1.38590744,1.25280547,-0.02354307,0.37299090,0.09213523,-0.70109547,-0.55346687
-0.30923207,-0.78751156,1.55640498,1.08028446,-0.31635042,0.14020843,0.08052585,-0.78472815,-0.52052291
-0.33674809,-0.95353380,1.51508050,0.87275439,-0.34350389,-0.02640656,0.06446923,-0.85426210,-0.49035322
-0.35598538,-0.85176732,1.41170935,0.61986648,-0.16252696,-0.09438854,0.05358733,-0.90741882,-0.46536619
