ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.08018938,-0.60529055,-0.08722137,-0.02724293,0.02072144,0.07929134,-0.07740169,0.38263024,-0.66742133
0.06065803,-0.62592505,-0.10172159,-0.02342639,0.01688239,0.07054363,-0.07776274,0.38267023,-0.66739824
0.04552677,-0.65334923,-0.11140331,-0.01790643,0.01168217,0.06123773,-0.07841464,0.38244522,-0.66740445
0.05250869,-0.66879432,-0.10886635,-0.01156115,0.00244771,0.05804111,-0.07942218,0.38176953,-0.66746750
0.07556385,-0.67614507,-0.10072541,-0.00844864,-0.00748194,0.05944753,-0.08088997,0.38070686,-0.66757141
0.08935812,-0.68813587,-0.09957410,-0.01755842,-0.00556144,0.05627876,-0.08255212,0.37982310,-0.66763535
0.08515211,-0.70539813,-0.10871957,-0.04242636,0.00819633,0.04556408,-0.08386807,0.38017484,-0.66751635
0.07256053,-0.71639996,-0.11737858,-0.07798632,0.02206149,0.03349648,-0.08461040,0.38272783,-0.66706966
0.05600603,-0.69972806,-0.12386685,-0.11629932,0.02870767,0.02586108,-0.08494175,0.38798292,-0.66619582
0.05059535,-0.66320213,-0.13658288,-0.14934582,0.02175127,0.02416307,-0.08528322,0.39585809,-0.66486907
0.06000620,-0.65390191,-0.15854793,-0.17445940,-0.00139044,0.02005690,-0.08630427,0.40582878,-0.66311873
0.07651954,-0.68211409,-0.19527843,-0.19576594,-0.03998123,0.00656549,-0.08873574,0.41744025,-0.66095455
0.10884047,-0.69890741,-0.24789842,-0.21877293,-0.10062144,-0.01283377,-0.09347248,0.43059694,-0.65831083
0.14492045,-0.66386955,-0.31322719,-0.25002779,-0.18664457,-0.03331021,-0.10163138,0.44563228,-0.65501084
0.16213070,-0.56805283,-0.40095915,-0.28996290,-0.29005286,-0.04357951,-0.11413965,0.46321519,-0.65077396
0.16123872,-0.42388770,-0.52263215,-0.32281053,-0.39944494,-0.03014009,-0.13144271,0.48349951,-0.64538883
0.13720632,-0.27082095,-0.68601546,-0.32541788,-0.50190144,-0.00201406,-0.15337792,0.50515284,-0.63897090
0.05775567,-0.13778744,-0.89432978,-0.28027513,-0.56490000,0.00856860,-0.17896607,0.52533618,-0.63209385
-0.07189367,-0.03098816,-1.16444481,-0.17068543,-0.53515465,-0.01528159,-0.20548753,0.53995743,-0.62596098
-0.19843971,0.05323720,-1.49069009,0.01500538,-0.39235732,-0.06573219,-0.22839991,0.54380962,-0.62245319
-0.27864412,0.12498690,-1.78622593,0.26106196,-0.16092327,-0.12556449,-0.24326475,0.53181117,-0.62346734
-0.28219929,0.21172363,-1.96561464,0.52845554,0.11673024,-0.16164148,-0.24697506,0.50097127,-0.62990925
-0.24454022,0.38213639,-1.98658205,0.77927906,0.37808415,-0.15015605,-0.23847874,0.45122284,-0.64111110
-0.21414145,0.62427120,-1.83410588,0.99308455,0.57868999,-0.09337045,-0.21923820,0.38464986,-0.65505347
-0.17981406,0.82241797,-1.56034109,1.16643672,0.72179904,-0.00363981,-0.19179760,0.30409067,-0.66921430
-0.13557102,0.90711312,-1.24340078,1.29915060,0.82704619,0.09724821,-0.15828068,0.21239171,-0.68125269
-0.10985758,0.87716919,-0.90961765,1.38522005,0.89854177,0.18339895,-0.12046026,0.11262374,-0.68924158
-0.15763029,0.77465323,-0.52934384,1.41488446,0.91748388,0.22905671,-0.08058764,0.00852850,-0.69182847
-0.26859811,0.63273737,-0.08483010,1.38716967,0.86534189,0.22013189,-0.04169085,-0.09565485,-0.68849651
-0.35232240,0.44969906,0.37800911,1.31321390,0.75886509,0.17184632,-0.00669197,-0.19599888,-0.67968617
-0.34811050,0.24364635,0.77516606,1.20743198,0.65794681,0.12083585,0.02333937,-0.28951686,-0.66656258
-0.25742389,0.05148451,1.04098429,1.08146784,0.62420812,0.10659074,0.05011929,-0.37425627,-0.65056615
