ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.10328047,0.07866751,-1.13119841,0.09522036,-0.05493659,-0.12932014,-0.09187107,0.16211125,-0.69033033
-0.11811768,0.22120473,-1.28077686,0.20991812,0.10599381,-0.12581335,-0.09092359,0.15064143,-0.69092443
-0.04267407,0.34063125,-1.42711463,0.38261005,0.33819105,-0.07983345,-0.08251298,0.12709996,-0.69223075
0.11425212,0.39452077,-1.45404824,0.57137136,0.55033293,0.01657426,-0.06378397,0.09035233,-0.69386299
0.24261153,0.44436730,-1.33752582,0.75560968,0.70696112,0.14119091,-0.03660048,0.03997970,-0.69481497
0.28643210,0.50221021,-1.12654557,0.91875291,0.81392055,0.27048253,-0.00356473,-0.02310976,-0.69380438
0.28815234,0.50540240,-0.87482394,1.04784614,0.87663585,0.38589238,0.03289857,-0.09694456,-0.68958614
0.26205858,0.42940455,-0.59913290,1.13532215,0.89121853,0.47424479,0.07043892,-0.17876907,-0.68121894
0.17780401,0.32818741,-0.30129371,1.18075405,0.83568192,0.52431178,0.10630700,-0.26542508,-0.66830138
0.06663232,0.21763487,0.02927163,1.19142576,0.67870591,0.52669460,0.13662245,-0.35392586,-0.65109277
-0.02130583,0.06210616,0.37722983,1.17677841,0.42836675,0.47497198,0.15715127,-0.44191156,-0.63038258
-0.06891878,-0.14203392,0.67789771,1.13891001,0.14645821,0.37641985,0.16558820,-0.52745272,-0.60717075
-0.09002726,-0.34844420,0.87875810,1.07288045,-0.09437267,0.25608698,0.16285238,-0.60855070,-0.58246611
-0.12293435,-0.51257810,0.98648819,0.97445243,-0.25072089,0.13896611,0.15229036,-0.68300562,-0.55733432
-0.15859971,-0.62900838,1.03515288,0.84780764,-0.30968836,0.04216653,0.13814828,-0.74877684,-0.53295205
-0.15845072,-0.69370545,1.05158298,0.70222270,-0.27946233,-0.02050952,0.12445227,-0.80443098,-0.51050927
-0.14053668,-0.69380091,1.06285997,0.54246798,-0.18530782,-0.04481389,0.11416694,-0.84910054,-0.49114714
-0.12946735,-0.64431614,1.09255215,0.37052916,-0.05526539,-0.04026520,0.10894498,-0.88211730,-0.47595795
-0.12018981,-0.58277106,1.14172438,0.18777099,0.08168476,-0.02213797,0.10933369,-0.90285773,-0.46590612
-0.11521532,-0.54117631,1.20218414,-0.00592195,0.18898782,-0.00074726,0.11470344,-0.91067868,-0.46177758
-0.10305503,-0.50853427,1.26563570,-0.20137729,0.23491728,0.02141217,0.12309515,-0.90514166,-0.46403944
-0.07311891,-0.46979591,1.31232002,-0.37609225,0.20637148,0.04105962,0.13158405,-0.88684443,-0.47243151
-0.04181836,-0.45147349,1.31661211,-0.51406164,0.12256484,0.05338149,0.13740392,-0.85774290,-0.48583661
-0.02363085,-0.45502158,1.25612329,-0.61991342,0.02290902,0.05563025,0.13913423,-0.82015489,-0.50280900
-0.02513349,-0.45013197,1.12239547,-0.70294898,-0.06922942,0.04476530,0.13677226,-0.77581877,-0.52209210
-0.03624007,-0.42706397,0.93425511,-0.76213035,-0.14795642,0.02069072,0.13090920,-0.72620587,-0.54257584
-0.03374450,-0.39203281,0.72122691,-0.79335055,-0.20786714,-0.00975668,0.12223945,-0.67307830,-0.56314660
0.00300691,-0.35930200,0.49710229,-0.79662178,-0.23799236,-0.03155091,0.11174424,-0.61840890,-0.58278670
0.07465619,-0.33512695,0.27560908,-0.78008601,-0.23376834,-0.03096504,0.10073142,-0.56396111,-0.60075726
0.15008901,-0.30247402,0.09011975,-0.76256973,-0.21575705,-0.01040873,0.09008909,-0.51058345,-0.61679986
0.18967024,-0.23913773,-0.03970690,-0.76131650,-0.20138378,0.01529801,0.07988002,-0.45772697,-0.63114719
0.18360872,-0.15441077,-0.14305625,-0.77277179,-0.18159894,0.03430775,0.07015143,-0.40424020,-0.64412869
0.16438417,-0.10615782,-0.25919030,-0.77130943,-0.15277227,0.04395707,0.06137101,-0.35008586,-0.65573904
0.15575748,-0.13669044,-0.38491706,-0.73283937,-0.13059208,0.04209967,0.05371825,-0.29715415,-0.66564967
0.15528698,-0.21767337,-0.49111181,-0.65684305,-0.13213106,0.02718309,0.04657770,-0.24829421,-0.67357195
0.16773839,-0.29178622,-0.55993957,-0.56277110,-0.16299761,0.00675054,0.03875758,-0.20563614,-0.67953698
0.19372139,-0.33620637,-0.59747005,-0.47027403,-0.21219856,-0.00963089,0.02910593,-0.16977972,-0.68385911
0.21244898,-0.35663151,-0.62278950,-0.38888778,-0.25915575,-0.01824404,0.01723066,-0.14023902,-0.68691844
0.21522195,-0.36245483,-0.64426191,-0.32071531,-0.28831032,-0.02040349,0.00359269,-0.11614656,-0.68902756
0.21094242,-0.37516831,-0.66156867,-0.26264270,-0.29086354,-0.01735814,-0.01082135,-0.09665382,-0.69042268
0.19769314,-0.40191838,-0.67667634,-0.21027617,-0.26407676,-0.00733688,-0.02470294,-0.08118744,-0.69128498
0.17377639,-0.42238204,-0.68033773,-0.16462398,-0.22201316,0.00796837,-0.03699729,-0.06932047,-0.69176630
0.14091145,-0.41900228,-0.65728312,-0.12899407,-0.18447003,0.02298204,-0.04749723,-0.06043278,-0.69199542
0.10651251,-0.39615284,-0.61524729,-0.09872036,-0.15356827,0.03321756,-0.05649833,-0.05389883,-0.69206113
0.08351420,-0.39970093,-0.58352569,-0.06037000,-0.11028011,0.03653339,-0.06386428,-0.04979656,-0.69200874
0.06114617,-0.45290713,-0.57801617,-0.00694250,-0.04673391,0.03573073,-0.06879065,-0.04906393,-0.69185688
0.04025528,-0.50675562,-0.56693900,0.05031886,0.01308917,0.03694316,-0.07086243,-0.05246476,-0.69160290
0.04759106,-0.53015606,-0.51377187,0.09271062,0.05176610,0.04518368,-0.07070249,-0.05956529,-0.69123436
0.06314380,-0.53005725,-0.43609727,0.10941426,0.07011068,0.05552912,-0.06928059,-0.06882776,-0.69076814
0.05905835,-0.51866101,-0.37866167,0.10812180,0.07379170,0.05914194,-0.06785869,-0.07624140,-0.69038450
