ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.10659092,-0.53540659,-0.08707823,-0.07400882,0.00069318,0.03276862,-0.04230091,-0.00421749,-0.69445265
0.10437568,-0.53045083,-0.09871452,-0.08706210,0.01514029,0.03825453,-0.04292784,-0.00092781,-0.69452014
0.09856411,-0.53337254,-0.11064618,-0.10504179,0.03263135,0.04318682,-0.04320993,0.00432118,-0.69463825
0.09640964,-0.54273305,-0.11529285,-0.12213908,0.03837563,0.04427280,-0.04294134,0.01087343,-0.69478389
0.10486970,-0.56475261,-0.11467596,-0.13200402,0.02447901,0.04274464,-0.04283471,0.01845650,-0.69492154
0.11614782,-0.59185104,-0.11817095,-0.13066359,-0.00469998,0.03719169,-0.04372146,0.02635335,-0.69500946
0.12259946,-0.59842300,-0.13305083,-0.12230730,-0.04011560,0.02655129,-0.04611447,0.03384290,-0.69502100
0.12915990,-0.59406681,-0.15877500,-0.11544076,-0.07472623,0.01679156,-0.05011631,0.04071097,-0.69494996
0.14568794,-0.59424016,-0.18994802,-0.11822436,-0.10249326,0.01387790,-0.05554410,0.04738792,-0.69479899
0.16718164,-0.59458935,-0.22405435,-0.13638430,-0.11320992,0.01877660,-0.06186741,0.05481647,-0.69457698
0.17467131,-0.59061838,-0.26744241,-0.17213456,-0.10275435,0.03167961,-0.06818667,0.06421923,-0.69429635
0.16634652,-0.58110630,-0.32310000,-0.22321851,-0.08160983,0.04986170,-0.07376157,0.07683170,-0.69394380
0.14923624,-0.56194396,-0.39521384,-0.28182542,-0.05767631,0.07270798,-0.07829317,0.09352544,-0.69346159
0.13630552,-0.52349451,-0.50119207,-0.33540485,-0.02722034,0.10717290,-0.08158304,0.11442310,-0.69276713
0.11220254,-0.46540037,-0.66439191,-0.37033298,0.02787482,0.15314977,-0.08292666,0.13867890,-0.69181426
0.06469251,-0.39946813,-0.89322133,-0.36911644,0.10401669,0.19511789,-0.08112955,0.16431657,-0.69066068
0.06319085,-0.34135306,-1.13293283,-0.30597201,0.13760903,0.21113311,-0.07655274,0.18776926,-0.68947958
0.13176232,-0.30642573,-1.30095627,-0.15932702,0.07766026,0.18777424,-0.07249151,0.20360771,-0.68859153
0.19161299,-0.27613261,-1.39035072,0.06442781,-0.05634270,0.12539872,-0.07299225,0.20573034,-0.68841836
0.17651897,-0.22815265,-1.42760437,0.31961577,-0.21435318,0.03112176,-0.08037372,0.18997051,-0.68912080
0.09338770,-0.17411826,-1.40514522,0.54492536,-0.32446547,-0.07744606,-0.09425261,0.15624893,-0.69026461
-0.01607257,-0.10558587,-1.35411178,0.70480202,-0.29958885,-0.17170513,-0.11040370,0.10818870,-0.69108961
-0.11046432,-0.03263115,-1.31841925,0.79721208,-0.10749022,-0.22354206,-0.12152517,0.05077994,-0.69108339
-0.15587085,0.06634594,-1.25510356,0.83796739,0.20644338,-0.20842186,-0.12078554,-0.01145424,-0.69011364
-0.16052089,0.26862865,-1.10062449,0.85257589,0.56604969,-0.11595417,-0.10446506,-0.07544440,-0.68808356
-0.14537492,0.51428727,-0.83954049,0.86314402,0.89005179,0.03657898,-0.07258059,-0.13999910,-0.68455357
-0.13338813,0.65601053,-0.45857241,0.87578670,1.07788191,0.20360036,-0.02935601,-0.20513259,-0.67871642
-0.14787148,0.62687805,0.07667457,0.88047540,1.03608435,0.32163482,0.01657403,-0.27082181,-0.66991408
-0.14979364,0.39211407,0.72523053,0.85545870,0.77053922,0.33846941,0.05476156,-0.33582923,-0.65836944
-0.10192584,-0.05149788,1.30757090,0.78289467,0.41178554,0.25348551,0.07837849,-0.39720947,-0.64535242
-0.05447561,-0.51141913,1.66147931,0.66741408,0.11753912,0.11748052,0.08759891,-0.45144987,-0.63249169
-0.04914531,-0.73480529,1.78435739,0.52744765,-0.02680167,-0.01224013,0.08788370,-0.49610995,-0.62102609
-0.02582845,-0.71845077,1.77046315,0.37703773,-0.03182169,-0.09428336,0.08585578,-0.53010195,-0.61169980
0.07578439,-0.57587252,1.72882441,0.22390727,0.01774026,-0.10842987,0.08555885,-0.55312496,-0.60500391
0.22099726,-0.36266920,1.74451265,0.07373665,0.02975817,-0.05981421,0.08669192,-0.56530097,-0.60130341
0.35271187,-0.16412383,1.81641360,-0.06360342,-0.03148421,0.02648832,0.08612032,-0.56723791,-0.60073506
0.43225955,-0.07870601,1.87205157,-0.17276715,-0.14967335,0.10957446,0.08070806,-0.56041118,-0.60299070
0.42922389,-0.13206127,1.85270667,-0.24397314,-0.28652283,0.15167563,0.06897923,-0.54717792,-0.60729152
0.35381459,-0.28069814,1.74881926,-0.28502549,-0.41355352,0.14485184,0.05122604,-0.52999622,-0.61269619
0.25140387,-0.44054619,1.60197214,-0.32766401,-0.51448962,0.11200878,0.02856403,-0.50996672,-0.61862481
