ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.00983658,-0.70557064,-0.15550635,0.04785924,0.17549594,0.15329362,-0.20455219,0.25113049,-0.67475572
-0.01911902,-0.74398408,-0.12825920,0.03329722,0.17734888,0.13746733,-0.19935520,0.24803058,-0.67559671
-0.01817901,-0.77857896,-0.09682097,0.01258320,0.16744380,0.11592804,-0.19264993,0.24483917,-0.67658777
-0.00920337,-0.79274534,-0.06473933,-0.01089364,0.13593718,0.09458460,-0.18697784,0.24319162,-0.67730886
-0.00574034,-0.78405056,-0.03153980,-0.03686103,0.08919988,0.07325147,-0.18317374,0.24327972,-0.67767208
-0.00697539,-0.75956484,-0.01291607,-0.06430419,0.04025973,0.05227492,-0.18160269,0.24525190,-0.67763833
0.00309905,-0.74542107,-0.02004774,-0.09406427,0.00069258,0.03540115,-0.18209263,0.24923489,-0.67721118
0.03447704,-0.74973538,-0.05223728,-0.12849255,-0.02578577,0.02382961,-0.18412054,0.25548759,-0.67640217
0.07225569,-0.74004912,-0.11231484,-0.16238857,-0.04130586,0.01665598,-0.18712631,0.26423499,-0.67521928
0.10029121,-0.69088339,-0.21150181,-0.18085349,-0.06089237,0.01369184,-0.19086901,0.27493018,-0.67371227
0.10611651,-0.59158056,-0.33608451,-0.17669183,-0.10972528,0.01367749,-0.19610514,0.28613433,-0.67193261
0.08792508,-0.45156644,-0.45976877,-0.15953698,-0.18623908,0.01841444,-0.20420600,0.29651031,-0.66987056
0.06444060,-0.34116129,-0.59104791,-0.14384020,-0.26776228,0.02120383,-0.21590108,0.30565893,-0.66747017
0.03023475,-0.29571030,-0.75164686,-0.12621951,-0.32817555,0.00692765,-0.23089414,0.31363237,-0.66471722
-0.04204871,-0.23419034,-0.96532174,-0.07742211,-0.33608778,-0.02565827,-0.24760874,0.31925207,-0.66191897
-0.15191968,-0.07142896,-1.24691975,0.03756180,-0.27439662,-0.06626842,-0.26327057,0.31891253,-0.65989955
-0.23550870,0.16840048,-1.56000685,0.23635051,-0.14452765,-0.09433975,-0.27473351,0.30705843,-0.65978766
-0.24696228,0.41249315,-1.83016620,0.50271832,0.04526162,-0.08467980,-0.27897897,0.27811413,-0.66244914
-0.21747607,0.62712675,-1.98382457,0.78553519,0.27614668,-0.03468186,-0.27353634,0.22905087,-0.66778543
-0.17895933,0.78612484,-1.97198591,1.02714638,0.50421592,0.03559532,-0.25742303,0.16090897,-0.67440494
-0.16739009,0.86888809,-1.78845190,1.19949291,0.69840238,0.10212951,-0.23159261,0.07784761,-0.68008668
-0.19742227,0.87786675,-1.49379416,1.30964952,0.87448377,0.14770809,-0.19746766,-0.01533354,-0.68271353
-0.23568514,0.79984405,-1.16450221,1.37829901,1.03294183,0.16696721,-0.15589375,-0.11490835,-0.68072874
-0.28571524,0.64878205,-0.79051213,1.41775105,1.11714393,0.15958844,-0.10884413,-0.21830893,-0.67298406
-0.37311820,0.48993386,-0.31523190,1.42793699,1.06914252,0.12016742,-0.06103600,-0.32331977,-0.65876995
-0.44271005,0.32562411,0.23475144,1.40384853,0.88651517,0.04779647,-0.01848896,-0.42744687,-0.63820895
-0.41117229,0.11423462,0.75600573,1.33823097,0.62291930,-0.03797726,0.01423906,-0.52773126,-0.61248039
-0.29535350,-0.11367018,1.16274557,1.22951856,0.37210365,-0.10454269,0.03586654,-0.62099781,-0.58356552
-0.16399862,-0.29409411,1.41392479,1.08339120,0.22423163,-0.12819348,0.04902267,-0.70441836,-0.55373772
-0.06064005,-0.37878925,1.53559161,0.90569824,0.20539348,-0.11161839,0.05869659,-0.77574896,-0.52521803
-0.00934942,-0.37012713,1.61684621,0.70187562,0.26606365,-0.08214637,0.06921745,-0.83323499,-0.50007381
0.00609943,-0.33150350,1.72614468,0.47844151,0.34069290,-0.05869903,0.08247075,-0.87557996,-0.48012911
0.03610220,-0.30435902,1.85313065,0.24407710,0.40018734,-0.03254335,0.09829725,-0.90197465,-0.46680571
0.10845329,-0.30272524,1.95613232,0.00690050,0.43438425,0.00844264,0.11565430,-0.91214867,-0.46095702
0.18344895,-0.32588954,2.03250337,-0.23400974,0.42062813,0.05660868,0.13287975,-0.90604914,-0.46296845
0.20425456,-0.33580776,2.10200978,-0.48103349,0.32152236,0.08638342,0.14725465,-0.88325520,-0.47306468
0.19394977,-0.32335890,2.15091825,-0.71253410,0.12617905,0.08420135,0.15518342,-0.84374380,-0.49093223
0.18641502,-0.30419405,2.11508476,-0.89056389,-0.13252771,0.06431128,0.15349158,-0.78964708,-0.51487759
0.15302273,-0.26068249,1.95644512,-0.99794910,-0.41913152,0.03900401,0.14024502,-0.72517167,-0.54207675
0.09585485,-0.19087389,1.70997688,-1.04578938,-0.69937196,0.01147837,0.11473111,-0.65478107,-0.56969241
