ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.01581184,-0.81851145,-0.28782418,0.12993508,0.04566487,0.04407019,-0.15568522,0.42396133,-0.65532965
-0.04140962,-0.80741667,-0.22859930,0.08092633,0.07682756,0.03362007,-0.15435240,0.41752565,-0.65659690
-0.05479515,-0.81955402,-0.14977339,0.00684247,0.10412334,0.01996539,-0.15172725,0.41248811,-0.65771140
-0.04249273,-0.84553870,-0.07793239,-0.07122196,0.11154590,0.00787433,-0.14837596,0.41299099,-0.65789078
-0.01871420,-0.84865971,-0.02623591,-0.14211553,0.09816486,0.00012867,-0.14519203,0.41889940,-0.65708355
0.00869106,-0.83760596,0.00324228,-0.19920941,0.06588396,-0.00700663,-0.14313578,0.42943667,-0.65531633
0.03319690,-0.84016423,0.00163284,-0.23887160,0.03575964,-0.02105318,-0.14262627,0.44345136,-0.65271079
0.03070133,-0.84580415,-0.05100023,-0.25968892,0.02567945,-0.04498576,-0.14314253,0.45959817,-0.64950671
0.00757462,-0.82538152,-0.13659996,-0.26313965,0.02042860,-0.07613773,-0.14410688,0.47652300,-0.64598027
0.00490457,-0.77070065,-0.20770745,-0.25363567,-0.01282926,-0.11034112,-0.14608890,0.49309543,-0.64230819
0.03168936,-0.69008116,-0.24454802,-0.24197386,-0.09073614,-0.14379352,-0.15082430,0.50873868,-0.63847803
0.06488953,-0.57747615,-0.26652652,-0.24705165,-0.20126754,-0.17005253,-0.16007847,0.52396582,-0.63421362
0.07485909,-0.41994603,-0.30838106,-0.28024346,-0.31792834,-0.18770532,-0.17464435,0.54044404,-0.62898212
0.05282530,-0.24909866,-0.40441127,-0.32600184,-0.40431322,-0.20435841,-0.19400232,0.55973346,-0.62230577
0.00380087,-0.13274878,-0.59009315,-0.34533686,-0.40998455,-0.22286603,-0.21571213,0.58136171,-0.61439414
-0.06996856,-0.06484528,-0.86579726,-0.30405974,-0.32938109,-0.24208530,-0.23588193,0.60212586,-0.60646919
-0.12292749,0.05446316,-1.15457091,-0.18524811,-0.21098748,-0.25827746,-0.25172058,0.61705683,-0.60035231
-0.12417528,0.27157380,-1.38984354,0.01852067,-0.07479184,-0.25069794,-0.26201333,0.62040480,-0.59804249
-0.09211998,0.51834701,-1.56233527,0.29306201,0.07871495,-0.20231141,-0.26561971,0.60664426,-0.60131495
-0.02574415,0.70084687,-1.64071141,0.59412675,0.22399750,-0.12080424,-0.26193303,0.57234661,-0.61077179
0.05848788,0.81718838,-1.59288304,0.87364779,0.33912367,-0.01409314,-0.25163352,0.51739324,-0.62525409
0.11353658,0.92478990,-1.44189824,1.10952858,0.42854546,0.11471341,-0.23592512,0.44410469,-0.64239521
0.13353059,1.00574854,-1.22984987,1.29920882,0.50267186,0.24943929,-0.21582280,0.35555375,-0.65953723
0.14718862,1.01495162,-0.98370606,1.44261322,0.56116418,0.36882800,-0.19234692,0.25488984,-0.67420424
0.15914503,0.94749613,-0.71689638,1.54082876,0.61752645,0.45805330,-0.16645307,0.14529417,-0.68433156
0.13074585,0.83168470,-0.44405256,1.59217371,0.70191788,0.51227626,-0.13793204,0.03004560,-0.68850450
0.02906342,0.71651639,-0.16899695,1.59553456,0.80008924,0.53446592,-0.10591260,-0.08732628,-0.68599576
-0.10778055,0.60020418,0.14267581,1.55816032,0.85377141,0.52354322,-0.07117489,-0.20344166,-0.67666148
-0.21060588,0.43584922,0.50717237,1.48951464,0.82128754,0.47639664,-0.03666932,-0.31553542,-0.66094212
-0.22882966,0.19888454,0.87844966,1.39622012,0.69863261,0.40476689,-0.00617436,-0.42140834,-0.63988559
-0.16643734,-0.07565115,1.19578706,1.28560987,0.50992784,0.33212073,0.01707139,-0.51939795,-0.61499268
-0.08338253,-0.30526342,1.43661027,1.16523779,0.28548539,0.26497281,0.03111630,-0.60849174,-0.58790097
-0.01709001,-0.43570599,1.62318225,1.03494228,0.04283153,0.18838865,0.03523218,-0.68808314,-0.56016898
0.01155911,-0.48455099,1.78562605,0.88234752,-0.20560676,0.09062398,0.02942986,-0.75718742,-0.53340673
0.01716680,-0.51801872,1.91793516,0.69487531,-0.42481198,-0.02376474,0.01468379,-0.81396929,-0.50947736
0.05146577,-0.58337734,1.97683779,0.46868294,-0.56560463,-0.13654780,-0.00629516,-0.85612042,-0.49041716
0.09928063,-0.65266674,1.94591001,0.20231187,-0.60249616,-0.22049097,-0.02958613,-0.88120101,-0.47830329
0.15491647,-0.66621009,1.85012648,-0.09854338,-0.54604402,-0.24846826,-0.05149637,-0.88678547,-0.47504859
0.24412397,-0.61371317,1.71777014,-0.41085438,-0.44193081,-0.21130394,-0.06993317,-0.87122692,-0.48172139
0.30179469,-0.52730386,1.56458843,-0.70390712,-0.32794187,-0.13274352,-0.08464617,-0.83459315,-0.49784303
0.25054718,-0.44160551,1.37767277,-0.96284194,-0.20386601,-0.05786649,-0.09553617,-0.77847952,-0.52156371
0.12176335,-0.38537628,1.15378284,-1.19050105,-0.08330175,-0.01544131,-0.10199849,-0.70485481,-0.55045106
0.01164439,-0.34481824,0.92659628,-1.38068215,-0.00686883,-0.00914244,-0.10448530,-0.61574544,-0.58182316
-0.04175857,-0.28353192,0.70358446,-1.50498804,0.01051033,-0.03333757,-0.10497457,-0.51451833,-0.61261271
-0.05898745,-0.21364880,0.45572076,-1.53458315,-0.01457360,-0.07079432,-0.10559273,-0.40691857,-0.63971686
-0.03868566,-0.16004985,0.18789710,-1.46806762,-0.07047495,-0.10341552,-0.10799518,-0.30005956,-0.66092081
0.03346940,-0.11117387,-0.06295841,-1.33018682,-0.15177105,-0.12468146,-0.11360045,-0.20028753,-0.67550879
0.13359430,-0.02572842,-0.28469721,-1.14922681,-0.24025649,-0.12583074,-0.12328450,-0.11195279,-0.68408379
0.20616202,0.10032616,-0.49130836,-0.94470110,-0.30339105,-0.10082013,-0.13672136,-0.03759072,-0.68796989
0.23065021,0.19551482,-0.64460160,-0.78443229,-0.32770295,-0.07157334,-0.14827743,0.01065656,-0.68902223
