ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.22106195,-0.43796531,0.01797902,-0.12907539,-0.11751992,-0.06037054,-0.21540440,0.22122247,-0.67624320
0.19767255,-0.44255764,0.05700342,-0.23004984,-0.08281043,-0.03502258,-0.21981317,0.23095732,-0.67489426
0.18317449,-0.44647670,0.05822957,-0.35751192,-0.02150019,-0.00306154,-0.22379544,0.25040668,-0.67260753
0.20351255,-0.47800667,0.00111295,-0.44854570,0.03448864,0.01862245,-0.22496764,0.27804500,-0.66957040
0.23944648,-0.51327649,-0.08153347,-0.47330149,0.06446827,0.03128435,-0.22409777,0.30998078,-0.66589033
0.27277015,-0.50268164,-0.15927418,-0.43431399,0.05699268,0.04539794,-0.22264685,0.34131203,-0.66189855
0.33166513,-0.47408343,-0.20142518,-0.36438992,0.00259091,0.06938050,-0.22248961,0.36854982,-0.65792186
0.39037290,-0.44521389,-0.20409184,-0.30267758,-0.08181071,0.09673815,-0.22537390,0.39093577,-0.65401978
0.38236961,-0.39690818,-0.19318361,-0.27337189,-0.15905790,0.11396411,-0.23184973,0.41004153,-0.64999247
0.31578794,-0.36325706,-0.19483628,-0.27826878,-0.19400152,0.12366120,-0.24084273,0.42832927,-0.64558686
0.23636279,-0.38519372,-0.22392211,-0.31304097,-0.17672257,0.13634438,-0.25014684,0.44806938,-0.64064309
0.17776578,-0.43993321,-0.26069438,-0.38359156,-0.13950254,0.15491481,-0.25795413,0.47159526,-0.63486633
0.17723256,-0.48186292,-0.28489630,-0.48691134,-0.13572400,0.17752640,-0.26452849,0.50150668,-0.62751240
0.20452803,-0.45878906,-0.35072389,-0.58010806,-0.17098069,0.20043007,-0.27159278,0.53876870,-0.61784332
0.17106909,-0.32967880,-0.54357595,-0.60348066,-0.21410003,0.20170953,-0.28020044,0.58038918,-0.60611752
0.07474538,-0.11033479,-0.87810313,-0.51247362,-0.27051772,0.14467135,-0.29111406,0.61957187,-0.59387044
-0.10030166,0.25615467,-1.34096813,-0.25194211,-0.31432746,0.02024043,-0.30512184,0.64605806,-0.58412055
-0.41234068,0.86710860,-1.94061272,0.22952206,-0.27339780,-0.14409287,-0.32059809,0.64560534,-0.58169440
-0.69367708,1.60097601,-2.59681044,0.91540892,-0.12938849,-0.26997564,-0.33325146,0.60260637,-0.59124092
-0.68683434,2.24672915,-3.12194736,1.69725877,0.10681108,-0.23665308,-0.33777766,0.50602778,-0.61314465
-0.44531345,2.71181467,-3.32869220,2.39626672,0.46185049,-0.01119991,-0.32819214,0.35537619,-0.64100009
-0.28471153,2.91789167,-3.10891815,2.83614759,0.95067657,0.29393645,-0.29840037,0.16321730,-0.66367997
-0.45961448,2.78800346,-2.41105481,2.91182170,1.43819944,0.51875445,-0.24609978,-0.04755735,-0.67109962
-0.85420744,2.29391106,-1.23737282,2.63186071,1.70613077,0.58349050,-0.17764742,-0.25024538,-0.65967221
-1.04432890,1.42796311,0.14228634,2.14242030,1.69703308,0.52771709,-0.10517904,-0.42370108,-0.63371631
-0.81477128,0.32919648,1.27945582,1.64522619,1.51406419,0.43399122,-0.03840367,-0.56020244,-0.60123858
-0.33302433,-0.61484869,2.00615795,1.25253272,1.23077755,0.37000582,0.01745201,-0.66411402,-0.56840030
0.10053136,-1.05706050,2.49242779,0.93679567,0.88653838,0.36794886,0.05880997,-0.74281218,-0.53856718
0.31085168,-1.07143623,2.87344455,0.58464437,0.59751916,0.40831707,0.08506824,-0.79831383,-0.51507118
0.31318651,-1.03461553,3.09503331,0.11715547,0.48082900,0.44030782,0.10153314,-0.82532119,-0.50275483
0.13615947,-1.11259553,3.10522474,-0.41452914,0.53518104,0.42369103,0.11663957,-0.81725626,-0.50551133
-0.16215095,-1.19460678,2.94184324,-0.88866801,0.65347683,0.34907216,0.13658601,-0.77367512,-0.52273238
-0.40301708,-1.24276176,2.69685402,-1.21932041,0.66709783,0.22137133,0.16142643,-0.70135233,-0.54943779
-0.51791449,-1.23265512,2.48724015,-1.38561089,0.43586660,0.03578189,0.18383402,-0.61066995,-0.57960304
-0.56815730,-1.07440232,2.32398473,-1.40481011,-0.04690378,-0.18811425,0.19247678,-0.51225201,-0.60886692
