ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.01884554,-0.57593030,-0.37001719,0.04483010,0.10604159,0.20106288,-0.25858849,0.65627206,-0.58805549
-0.06154771,-0.57816784,-0.32953994,0.02821272,0.12678392,0.19111894,-0.25460285,0.65365740,-0.58937869
-0.09792567,-0.59458517,-0.28855624,0.00054479,0.14973060,0.17047602,-0.24867972,0.65140057,-0.59084219
-0.09216017,-0.63266700,-0.25575816,-0.03025242,0.16125719,0.14440611,-0.24218702,0.65116540,-0.59175511
-0.06026758,-0.67700257,-0.22410740,-0.05608567,0.15689536,0.12206449,-0.23574494,0.65287937,-0.59205882
-0.02834853,-0.70819758,-0.19652747,-0.07055082,0.13566156,0.10625560,-0.23003169,0.65595421,-0.59184391
0.00207083,-0.72494819,-0.17350447,-0.07237656,0.09978308,0.09471174,-0.22570458,0.65953124,-0.59129066
0.02816458,-0.73232573,-0.15350780,-0.06934490,0.05311888,0.08584702,-0.22329065,0.66297951,-0.59053404
0.03791556,-0.72997262,-0.13732766,-0.07746095,0.00106856,0.07344968,-0.22316715,0.66650504,-0.58947193
0.02751668,-0.72289822,-0.14154817,-0.10956431,-0.03473517,0.04807944,-0.22522476,0.67134807,-0.58773313
-0.00485523,-0.71805300,-0.20838719,-0.16481308,-0.03134385,0.00949231,-0.22832028,0.67918461,-0.58491446
-0.05286221,-0.68552233,-0.34028614,-0.23410819,-0.00616435,-0.02764634,-0.23105071,0.69132673,-0.58072554
-0.09307861,-0.57788647,-0.47707662,-0.30791819,-0.00102959,-0.04885454,-0.23328648,0.70844540,-0.57487951
-0.11975166,-0.39682863,-0.58951804,-0.37753272,-0.04275406,-0.05769849,-0.23645488,0.73058940,-0.56704514
-0.14878502,-0.17732636,-0.70857960,-0.42720563,-0.12762573,-0.06552857,-0.24256966,0.75695496,-0.55706702
-0.16956318,0.04593419,-0.89467601,-0.41714460,-0.20814276,-0.07517619,-0.25260665,0.78481828,-0.54563517
-0.17360060,0.23905653,-1.20669717,-0.29249956,-0.19571096,-0.07861730,-0.26449002,0.80805613,-0.53529650
-0.17525027,0.39206550,-1.62209748,-0.03065920,-0.03717740,-0.06778409,-0.27274542,0.81771914,-0.53044153
-0.13988191,0.51145433,-1.98534827,0.32833171,0.23234099,-0.04213441,-0.27131137,0.80544960,-0.53527607
-0.05606255,0.61724956,-2.13493798,0.70025733,0.52130943,0.00120739,-0.25695873,0.76723199,-0.55115261
-0.01463071,0.78192526,-2.02306186,1.00927148,0.72819566,0.06482353,-0.23091776,0.70476332,-0.57557219
-0.06775529,0.99588223,-1.69370524,1.23267019,0.83705568,0.12634794,-0.19725643,0.62316585,-0.60392138
-0.15285871,1.07221923,-1.27315073,1.38057858,0.89082742,0.14649447,-0.15951632,0.52779700,-0.63191979
-0.21911397,0.93851832,-0.85840764,1.46273312,0.90426597,0.12279118,-0.12013094,0.42343880,-0.65643083
-0.27073199,0.73036204,-0.47371314,1.49491081,0.91437582,0.09299482,-0.08039261,0.31428095,-0.67544751
-0.32714610,0.53993280,-0.14578939,1.49263041,0.95340176,0.07691595,-0.03956508,0.20351689,-0.68801874
-0.41095469,0.36672646,0.15871499,1.45637816,0.98986399,0.05472697,0.00313312,0.09381957,-0.69386121
-0.48951531,0.17253643,0.49266997,1.38074643,0.99204752,0.00892248,0.04675924,-0.01187375,-0.69319162
