ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.06509341,-0.51062694,-0.04670742,0.11164855,0.04350305,0.00426540,-0.08983911,0.43958426,-0.65684200
0.10415710,-0.52504120,-0.03308458,0.06956130,0.08060085,0.01396064,-0.08849819,0.43399099,-0.65795739
0.14733761,-0.54723494,-0.01207356,0.02293998,0.10983481,0.02230972,-0.08568746,0.42890195,-0.65904347
0.18138368,-0.56958612,0.01339738,-0.00779054,0.11449682,0.02538495,-0.08207635,0.42662886,-0.65963580
0.21171874,-0.57780776,0.03323093,-0.02258385,0.09543698,0.02665378,-0.07878310,0.42600264,-0.65990310
0.23653334,-0.57809248,0.04649664,-0.02421314,0.05371880,0.02649169,-0.07687869,0.42595384,-0.65999724
0.25304864,-0.58196129,0.05848934,-0.02117990,0.00321121,0.02635831,-0.07709734,0.42579593,-0.66001588
0.26427480,-0.58240679,0.06339831,-0.02522419,-0.03805654,0.03050989,-0.07939991,0.42562853,-0.65994218
0.25593139,-0.57609694,0.05739942,-0.04492212,-0.06151851,0.03455966,-0.08313924,0.42631304,-0.65964202
0.21995237,-0.57860664,0.04571299,-0.08369557,-0.07148905,0.02838826,-0.08760267,0.42911001,-0.65890938
0.18201787,-0.59629431,0.03795898,-0.13977831,-0.08477616,0.00943997,-0.09260463,0.43533831,-0.65749027
0.17149352,-0.61679315,0.04131410,-0.20893025,-0.11483413,-0.01608560,-0.09869377,0.44607483,-0.65510675
0.19620422,-0.63439708,0.04355424,-0.28890453,-0.16347290,-0.03868199,-0.10669542,0.46213150,-0.65146220
0.23689993,-0.62866839,0.02386783,-0.37852206,-0.22793164,-0.05480696,-0.11737284,0.48426873,-0.64618985
0.26621755,-0.56482966,-0.05347761,-0.46110240,-0.30197760,-0.06333889,-0.13128682,0.51266543,-0.63896557
0.25417880,-0.43087082,-0.22304836,-0.50264659,-0.38230559,-0.06020204,-0.14867964,0.54557510,-0.62987816
0.17892633,-0.23464003,-0.46050955,-0.47946047,-0.46304986,-0.05517351,-0.16957896,0.57908998,-0.61964429
0.06153040,-0.00964438,-0.73514155,-0.38638587,-0.52797041,-0.06459269,-0.19376612,0.60832095,-0.60948944
-0.07237984,0.21826042,-1.05567931,-0.21825316,-0.53504665,-0.09325749,-0.21992924,0.62809292,-0.60111070
-0.20298487,0.45939118,-1.43726719,0.03960560,-0.40591092,-0.12608367,-0.24384782,0.63256929,-0.59693687
-0.26660047,0.67660902,-1.85945839,0.39394462,-0.11332257,-0.12333142,-0.25847714,0.61511651,-0.59988608
-0.24253768,0.85290119,-2.19414687,0.81424193,0.25422309,-0.05503573,-0.25796021,0.56985529,-0.61172999
-0.16001609,1.05011928,-2.28785884,1.23979466,0.60618455,0.09022839,-0.24052960,0.49415268,-0.63128927
-0.03305444,1.24351545,-2.13769147,1.61005038,0.93678174,0.30576463,-0.20670968,0.38965080,-0.65442650
0.05038755,1.32828345,-1.82352608,1.87518759,1.23123592,0.53916927,-0.15787037,0.26184262,-0.67542620
-0.00136181,1.28289023,-1.35030289,2.01576546,1.40457115,0.72400012,-0.09828077,0.11881747,-0.68869099
-0.18980910,1.16421655,-0.69421234,2.04823126,1.38076840,0.80836556,-0.03625294,-0.03103305,-0.69048130
-0.38386114,0.92624615,0.06528859,1.99832147,1.14791102,0.76840949,0.01838937,-0.18051895,-0.67991440
-0.39388068,0.47277878,0.79599216,1.89189272,0.71780870,0.62856526,0.05679757,-0.32400631,-0.65864740
-0.24303856,-0.14331180,1.45256408,1.74279052,0.13331655,0.42026816,0.07193033,-0.45740098,-0.62975828
-0.09150834,-0.79536558,2.00152654,1.53302932,-0.45828494,0.16835996,0.06141285,-0.57683044,-0.59680988
-0.01696063,-1.31046260,2.33232911,1.22867537,-0.84945643,-0.06076714,0.03088955,-0.67693456,-0.56382685
0.00137783,-1.48430118,2.39034528,0.82020473,-0.89810270,-0.18673348,-0.00723185,-0.75111432,-0.53572898
-0.00078742,-1.33566179,2.26258946,0.33170141,-0.60767916,-0.19372578,-0.03877551,-0.79346809,-0.51792803
-0.02760162,-1.10669266,2.10541903,-0.20077591,-0.14690622,-0.13179245,-0.05376048,-0.80000679,-0.51478789
-0.08573695,-0.94813923,2.04712022,-0.72888507,0.25013089,-0.06875086,-0.05052796,-0.76926787,-0.52764152
-0.16685588,-0.85848414,2.10104484,-1.19449895,0.42433627,-0.05674421,-0.03522987,-0.70322353,-0.55377147
-0.25140158,-0.76321509,2.14173536,-1.54874528,0.35538043,-0.11075292,-0.01764338,-0.60746160,-0.58743297
-0.35960132,-0.55559810,2.01562531,-1.76006087,0.13337512,-0.21649658,-0.00618921,-0.49054582,-0.62200472
-0.48142185,-0.27622054,1.68477333,-1.81875451,-0.13266986,-0.34806972,-0.00535645,-0.36290640,-0.65191155
-0.53309966,-0.03090525,1.21506511,-1.73844349,-0.35958181,-0.46831749,-0.01573491,-0.23532187,-0.67380817
-0.49542687,0.21693899,0.69429548,-1.55632684,-0.50943470,-0.53988831,-0.03515361,-0.11704386,-0.68690068
-0.37095982,0.47556901,0.21582289,-1.32574851,-0.58215454,-0.54094710,-0.06040164,-0.01398825,-0.69241813
-0.15675988,0.67294286,-0.16573956,-1.09975045,-0.58601336,-0.47553417,-0.08815807,0.07206594,-0.69253358
0.08164301,0.79600622,-0.44768561,-0.91505057,-0.54188351,-0.36584458,-0.11551499,0.14290316,-0.68933749
0.27529415,0.84846881,-0.64819106,-0.77967074,-0.45803074,-0.23295888,-0.14020357,0.20208824,-0.68433955
0.40934162,0.83511555,-0.81794564,-0.67711349,-0.31974908,-0.08716730,-0.15979368,0.25283294,-0.67857078
0.47963823,0.78317131,-0.98546046,-0.58786837,-0.12836690,0.06133296,-0.17154276,0.29690949,-0.67285619
0.48799439,0.68456855,-1.11596431,-0.50616001,0.08520984,0.19344149,-0.17355785,0.33507628,-0.66782361
0.47453338,0.57367519,-1.17950016,-0.45027773,0.24268631,0.27833033,-0.16992380,0.36091456,-0.66452895
