ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.03588165,-0.63976652,-0.19925116,-0.04308083,0.11689067,-0.00364336,-0.20801955,0.25590846,-0.67391652
0.06958368,-0.67363704,-0.16146346,-0.03882518,0.08934968,-0.01941612,-0.20605643,0.25661939,-0.67405772
0.10526864,-0.70624643,-0.13316600,-0.03166503,0.07375904,-0.03295548,-0.20408857,0.25717851,-0.67421224
0.12915990,-0.71953688,-0.12883940,-0.02718117,0.09491225,-0.03462328,-0.20203232,0.25726187,-0.67442093
0.13959799,-0.70383386,-0.13400087,-0.03109123,0.14280161,-0.02263098,-0.19833416,0.25732423,-0.67480013
0.13169174,-0.64405989,-0.12466212,-0.04355925,0.18308237,0.00187211,-0.19247987,0.25804871,-0.67532407
0.11591551,-0.55936559,-0.08494090,-0.06007667,0.18804682,0.03223779,-0.18547024,0.25992872,-0.67582849
0.11351404,-0.50769100,-0.02947151,-0.07806261,0.15230689,0.05733907,-0.17907944,0.26315538,-0.67611266
0.12431970,-0.52715983,0.02071507,-0.09979811,0.08701800,0.06313261,-0.17498515,0.26787844,-0.67600432
0.12970097,-0.60797109,0.04639564,-0.12547710,0.01629820,0.04451846,-0.17406601,0.27431345,-0.67540133
0.12639477,-0.70574733,0.02826237,-0.15118320,-0.03701263,0.01165649,-0.17606220,0.28255459,-0.67430548
0.12360318,-0.76012004,-0.03565278,-0.17263897,-0.06823509,-0.01797913,-0.18005055,0.29243312,-0.67279491
0.13187896,-0.73899398,-0.12898363,-0.18631095,-0.09375327,-0.02749051,-0.18533729,0.30352613,-0.67095398
0.15340697,-0.66813780,-0.23152463,-0.19472015,-0.13413784,-0.01261833,-0.19205606,0.31538497,-0.66879514
0.17531922,-0.58792361,-0.33895172,-0.20716627,-0.19967974,0.01351136,-0.20106729,0.32800489,-0.66619759
0.17647977,-0.52212619,-0.46906829,-0.22882697,-0.28261458,0.02705190,-0.21337918,0.34192063,-0.66292513
0.10863855,-0.44942855,-0.65576524,-0.24823549,-0.34384258,0.00523420,-0.22908421,0.35738836,-0.65884721
-0.04413358,-0.32689191,-0.93130114,-0.23747249,-0.33004722,-0.05233988,-0.24616322,0.37314005,-0.65432793
-0.21100776,-0.15796723,-1.28096505,-0.16687178,-0.22671413,-0.12368126,-0.26089579,0.38578505,-0.65039387
-0.33315568,0.07000875,-1.62961862,-0.01591265,-0.07013791,-0.18378049,-0.27001026,0.39017400,-0.64844283
-0.38084312,0.35655450,-1.90437559,0.21842503,0.10242768,-0.21256533,-0.27191063,0.38039781,-0.64973139
-0.31542886,0.61037196,-2.08301408,0.51670943,0.29097846,-0.19346880,-0.26572836,0.35119395,-0.65490339
-0.16250872,0.77244834,-2.15754681,0.83525561,0.50310596,-0.11655575,-0.25022444,0.29954720,-0.66353700
-0.03213110,0.88548294,-2.07949038,1.11002032,0.71509594,0.00108143,-0.22458501,0.22634946,-0.67380107
0.00371167,0.96826378,-1.81831374,1.29418115,0.90350637,0.12396224,-0.18944373,0.13659218,-0.68288315
-0.03348573,0.96631430,-1.43667391,1.38273024,1.06136346,0.22044475,-0.14633860,0.03705396,-0.68815905
-0.13428794,0.85222289,-1.00532888,1.38860726,1.17211536,0.26141048,-0.09729616,-0.06587288,-0.68801785
-0.28106814,0.65183271,-0.54959337,1.33310754,1.22280585,0.23877711,-0.04489570,-0.16688989,-0.68200664
-0.39943642,0.41766078,-0.11050049,1.25274520,1.22404674,0.17927861,0.00840367,-0.26268707,-0.67054726
-0.44657202,0.21799663,0.26719094,1.18291512,1.18857600,0.12429756,0.06078052,-0.35263682,-0.65434391
-0.43000379,0.09838589,0.58782134,1.13862180,1.11661396,0.10155833,0.11060172,-0.43804650,-0.63392323
-0.38034126,0.04186273,0.88481331,1.11027285,0.99745236,0.11147019,0.15586434,-0.52045995,-0.60970702
-0.33277634,-0.02471432,1.18961669,1.07118326,0.81419243,0.12640399,0.19397292,-0.60007371,-0.58251140
-0.31248730,-0.15858691,1.50234666,0.99417002,0.58833638,0.11177781,0.22261474,-0.67506946,-0.55394464
-0.32992986,-0.32355737,1.75395821,0.86211472,0.39562419,0.05861398,0.24202737,-0.74207346,-0.52623129
-0.35692539,-0.42810152,1.87241560,0.67526671,0.29471446,-0.01445192,0.25566062,-0.79723693,-0.50171137
-0.34370453,-0.44614257,1.87996217,0.45756616,0.27324653,-0.07599185,0.26762699,-0.83770391,-0.48231105
-0.25828156,-0.41153848,1.85907359,0.24057029,0.26538748,-0.09726708,0.27973239,-0.86275265,-0.46913684
-0.12080341,-0.33370923,1.87181978,0.04423105,0.18779082,-0.07713472,0.29021680,-0.87349663,-0.46259547
0.01018194,-0.22773730,1.92670098,-0.12180113,-0.00352679,-0.03967021,0.29459655,-0.87191753,-0.46271714
0.10092834,-0.14324900,1.96086872,-0.25464373,-0.27717169,-0.00501568,0.28844600,-0.86025319,-0.46909155
0.14904216,-0.11525622,1.89191708,-0.35743116,-0.55298334,0.02350189,0.26993227,-0.84063372,-0.48067615
0.14972046,-0.12768248,1.69194533,-0.44744775,-0.74534936,0.06073814,0.24072492,-0.81453790,-0.49600832
0.10701829,-0.10515544,1.39967924,-0.55753608,-0.81731439,0.11596468,0.20511665,-0.78166279,-0.51402506
0.04672359,-0.02858062,1.09085443,-0.70289830,-0.78026408,0.17747659,0.16792587,-0.73979969,-0.53449370
-0.02026388,0.02140409,0.79086483,-0.86373133,-0.64679992,0.23410956,0.13367539,-0.68689238,-0.55720911
-0.06539890,0.00966283,0.48184239,-1.00681846,-0.44318113,0.28116835,0.10629283,-0.62276735,-0.58128856
-0.06238480,-0.04666354,0.18153490,-1.09891312,-0.22679172,0.31426230,0.08794848,-0.54964213,-0.60520638
-0.04708887,-0.13209225,-0.06977438,-1.11889526,-0.06913280,0.32799346,0.07804511,-0.47198157,-0.62715363
-0.04355624,-0.20238235,-0.22041549,-1.09700439,-0.00399879,0.32654786,0.07402708,-0.41317126,-0.64208617
