ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.05246229,-0.76486477,-0.07067138,0.23344749,-0.17192694,0.15679331,-0.21896894,0.28528176,-0.66955353
-0.07076448,-0.77397742,-0.04657336,0.18115437,-0.16636212,0.12561281,-0.22556286,0.27357608,-0.67006949
-0.09487433,-0.79712162,-0.02780975,0.10363319,-0.13099652,0.08233348,-0.23355371,0.26162439,-0.67039185
-0.12368910,-0.82340525,-0.03577230,0.02663486,-0.06200279,0.04563955,-0.23928383,0.25522328,-0.67034656
-0.13335872,-0.82994538,-0.05751937,-0.03479068,0.01538835,0.02248886,-0.24173960,0.25379395,-0.67018493
-0.10175137,-0.80905966,-0.06826521,-0.07439334,0.07441005,0.01484535,-0.24112347,0.25598030,-0.67004373
-0.04465896,-0.77140407,-0.06197422,-0.09599806,0.10551267,0.02001452,-0.23846862,0.26034485,-0.66993362
0.01850477,-0.73801506,-0.04656646,-0.10977855,0.10864110,0.02631678,-0.23503095,0.26596997,-0.66977554
0.07754972,-0.72923822,-0.03333235,-0.12323061,0.08626469,0.02358125,-0.23203194,0.27256898,-0.66943897
0.12272198,-0.74497641,-0.03281973,-0.13908471,0.04298357,0.01091866,-0.23055200,0.28019814,-0.66878182
0.14891572,-0.76157042,-0.04686655,-0.16080819,-0.01507690,-0.00766257,-0.23144077,0.28912039,-0.66766021
0.16415186,-0.74736385,-0.07923266,-0.19125208,-0.07746311,-0.02363996,-0.23514433,0.29985624,-0.66593384
0.17432824,-0.69489540,-0.13445900,-0.23118720,-0.13526324,-0.02893121,-0.24160463,0.31308883,-0.66347750
0.17102891,-0.61898380,-0.21143060,-0.27891356,-0.18721019,-0.02879006,-0.25055714,0.32949047,-0.66015886
0.14862950,-0.53716849,-0.32796465,-0.31991068,-0.22424344,-0.03326294,-0.26158953,0.34917094,-0.65591221
0.10001088,-0.45800106,-0.51971444,-0.32401980,-0.21539245,-0.03863810,-0.27337302,0.37057012,-0.65105547
0.02241280,-0.35349124,-0.79314827,-0.26327817,-0.13808085,-0.03573846,-0.28327707,0.38995984,-0.64653885
-0.05166735,-0.20075025,-1.09933621,-0.12947295,-0.00289302,-0.02400094,-0.28834381,0.40233240,-0.64373706
-0.08516550,-0.02341383,-1.37478819,0.06865458,0.16981368,-0.00405971,-0.28640093,0.40275191,-0.64394930
-0.08795709,0.15341094,-1.59120493,0.31737887,0.37548538,0.03216249,-0.27589087,0.38710052,-0.64801301
-0.09663573,0.34076356,-1.74924476,0.59447662,0.62409488,0.10441964,-0.25495377,0.35249450,-0.65604098
