ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.05266029,-0.72398099,0.00412403,-0.15567210,0.06883249,-0.02363557,-0.07354765,0.10166695,-0.69352819
-0.01815254,-0.72753577,-0.02195836,-0.17400213,0.13520769,-0.02462902,-0.07041771,0.10975561,-0.69343583
0.02911929,-0.71724741,-0.02788641,-0.17826364,0.17950381,-0.02172415,-0.06452360,0.12089063,-0.69332305
0.08425915,-0.68561863,0.01539302,-0.16172600,0.15254611,-0.01348261,-0.05826103,0.13150788,-0.69317386
0.13039887,-0.63472199,0.07623206,-0.14168210,0.08339869,-0.00377725,-0.05430643,0.14073037,-0.69293853
0.13721514,-0.59161154,0.10409355,-0.13250349,0.01309277,0.00230822,-0.05359312,0.14885969,-0.69259929
0.10686930,-0.58091704,0.10173425,-0.14137154,-0.03933278,0.00042532,-0.05571483,0.15695715,-0.69213129
0.06852507,-0.59669627,0.08810087,-0.16884051,-0.06243989,-0.00923919,-0.05959857,0.16638770,-0.69149012
0.04218136,-0.61719594,0.05417218,-0.21092552,-0.05033330,-0.01946205,-0.06374483,0.17837666,-0.69063049
0.03477894,-0.62601047,0.00593074,-0.26243339,-0.01159930,-0.02668666,-0.06673372,0.19378340,-0.68950267
0.04083752,-0.64362528,-0.03512417,-0.31985851,0.04576358,-0.03258438,-0.06760023,0.21314805,-0.68802850
0.05120601,-0.67662239,-0.06642943,-0.38815003,0.10512441,-0.03436073,-0.06582066,0.23705075,-0.68606236
0.08627639,-0.69856491,-0.08183719,-0.46971494,0.11943656,-0.03157539,-0.06222440,0.26644234,-0.68330675
0.15860004,-0.70636701,-0.07826409,-0.54446231,0.05121021,-0.02758657,-0.05976863,0.30163866,-0.67938423
0.20909280,-0.67871004,-0.09378266,-0.59221950,-0.08956400,-0.03194583,-0.06214679,0.34128221,-0.67406660
0.19009467,-0.61334639,-0.18330862,-0.61923584,-0.26077157,-0.05943213,-0.07181464,0.38347130,-0.66727125
0.11950204,-0.55397856,-0.38112742,-0.63949911,-0.41136968,-0.10679297,-0.08915752,0.42716155,-0.65889339
0.01319897,-0.44652778,-0.69271880,-0.65194104,-0.45342280,-0.14608770,-0.11145647,0.47186432,-0.64892770
-0.12542895,-0.17976237,-1.14629482,-0.63227077,-0.27737526,-0.14859564,-0.13117817,0.51625669,-0.63803578
-0.22803374,0.20551009,-1.73666133,-0.53120224,0.11727024,-0.09974564,-0.13786928,0.55645598,-0.62805944
-0.20440223,0.57522356,-2.30200666,-0.29832292,0.58586359,0.00930625,-0.12432916,0.58491435,-0.62178981
-0.08294634,0.88833850,-2.63325828,0.06803997,0.96565365,0.17113804,-0.09049776,0.59195049,-0.62184398
0.07046488,1.15128534,-2.64809311,0.50628522,1.16617291,0.34757895,-0.04233735,0.56989866,-0.62920058
0.20919670,1.30437972,-2.39538438,0.93379391,1.18673564,0.48609053,0.01174753,0.51619434,-0.64249024
0.26201350,1.28574579,-1.99627866,1.29018921,1.09432562,0.55393474,0.06449690,0.43344745,-0.65849377
0.18089456,1.16868996,-1.56509167,1.55314643,0.96435659,0.55072933,0.11183062,0.32748982,-0.67329222
-0.00299776,1.03622171,-1.13666361,1.73144934,0.83223952,0.49518504,0.15255827,0.20493605,-0.68335381
-0.18592949,0.86920714,-0.69057384,1.85377467,0.66970124,0.41545980,0.18586801,0.07125063,-0.68617870
-0.30496822,0.67633351,-0.19990402,1.93987412,0.45309687,0.33052993,0.20980751,-0.06990399,-0.68035310
-0.38124696,0.47278464,0.30330745,1.97233731,0.22837102,0.23891302,0.22314247,-0.21493182,-0.66526425
-0.45647296,0.24909869,0.75244679,1.92097792,0.06365759,0.14095200,0.22750536,-0.35833582,-0.64120612
-0.54204100,0.04809721,1.13283504,1.77341568,0.00487122,0.05115450,0.22713621,-0.49321064,-0.60984555
-0.61811095,-0.08264683,1.44758935,1.53078795,0.07922320,-0.01453971,0.22762075,-0.61270245,-0.57434313
-0.63747175,-0.12876524,1.69688083,1.19905613,0.27217866,-0.04663954,0.23453523,-0.71059040,-0.53903430
-0.55509915,-0.09779717,1.90721149,0.80645572,0.49874727,-0.04309528,0.25096504,-0.78204435,-0.50863105
-0.38485113,-0.04982307,2.11512945,0.41483850,0.63234594,-0.00877437,0.27519607,-0.82556517,-0.48674774
-0.17380448,-0.05798191,2.34546004,0.08231137,0.56504592,0.03836242,0.30046974,-0.84390510,-0.47493048
0.02361746,-0.13303768,2.58298226,-0.17437575,0.25948967,0.06007241,0.31725789,-0.84211726,-0.47322631
0.16518695,-0.24185427,2.75182932,-0.36325107,-0.22545002,0.03167488,0.31697581,-0.82503316,-0.48099230
0.19827635,-0.32041291,2.74750853,-0.49227863,-0.75396098,-0.02714911,0.29524441,-0.79678082,-0.49659710
0.07812902,-0.29728378,2.52241970,-0.59079132,-1.19392194,-0.08100553,0.25300577,-0.76050488,-0.51737833
-0.13544163,-0.17414003,2.13314283,-0.72144751,-1.44619808,-0.09234340,0.19564383,-0.71624738,-0.54103685
