ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.08166066,-0.65363059,-0.16996370,-0.11007459,0.10533262,0.01575252,-0.09405690,0.09876425,-0.69262860
0.08177926,-0.62509016,-0.14731709,-0.09469899,0.08090808,0.01254458,-0.09214034,0.10278113,-0.69263215
0.08722424,-0.58707448,-0.11982544,-0.07409266,0.04036054,0.01127221,-0.09077108,0.10711248,-0.69259308
0.09898853,-0.55308924,-0.10137173,-0.05624635,-0.00506772,0.01112786,-0.09139463,0.11002060,-0.69248207
0.11178595,-0.53525000,-0.09244606,-0.04672783,-0.04426367,0.00999984,-0.09397525,0.11190061,-0.69229469
0.12441870,-0.53509927,-0.08780011,-0.05240327,-0.07185320,0.01008156,-0.09807021,0.11359831,-0.69202561
0.13585953,-0.54064791,-0.08333800,-0.07795018,-0.08448392,0.01012242,-0.10308567,0.11642442,-0.69165885
0.13814534,-0.55255246,-0.08523046,-0.12171254,-0.07933747,0.00703368,-0.10827456,0.12179879,-0.69117841
0.13262391,-0.57450252,-0.10084857,-0.17839377,-0.06113938,0.00067757,-0.11291683,0.13085591,-0.69056300
0.14038117,-0.59295558,-0.13478416,-0.23755921,-0.03529705,-0.00376171,-0.11656843,0.14419761,-0.68976908
0.16839022,-0.59826138,-0.19915416,-0.28406531,-0.00817563,0.00454854,-0.11898438,0.16144912,-0.68875848
0.20125222,-0.59861811,-0.28126907,-0.31717831,-0.00273124,0.02663571,-0.12057094,0.18158231,-0.68747703
0.22931323,-0.59374106,-0.35192679,-0.35091747,-0.04123965,0.05053638,-0.12284855,0.20413023,-0.68577197
0.22459751,-0.57376895,-0.41731150,-0.39002579,-0.11732729,0.06395553,-0.12769597,0.22936331,-0.68340532
0.13579484,-0.52174768,-0.50852066,-0.42616850,-0.19436642,0.05624770,-0.13609443,0.25739539,-0.68017815
-0.01745563,-0.43368366,-0.65049259,-0.44463583,-0.23355968,0.02470960,-0.14726314,0.28743692,-0.67609845
-0.14203638,-0.37343572,-0.82954270,-0.42668921,-0.22536164,-0.02834112,-0.15931724,0.31742627,-0.67147172
-0.19985903,-0.38380614,-1.02852844,-0.35400027,-0.14114352,-0.10397218,-0.16967681,0.34398837,-0.66700394
-0.22767989,-0.38679652,-1.28145079,-0.20707219,0.05117007,-0.18405249,-0.17422662,0.36241640,-0.66393751
-0.23751418,-0.26703588,-1.54687919,0.02675642,0.29801740,-0.23124871,-0.16906135,0.36684737,-0.66373148
-0.18575207,-0.00516342,-1.68692633,0.33059842,0.51464948,-0.21315998,-0.15330369,0.35159109,-0.66724283
-0.07014402,0.31811761,-1.63908598,0.65242441,0.65921796,-0.11565685,-0.12898762,0.31349072,-0.67402930
0.04926523,0.60889142,-1.43145794,0.93118981,0.72595341,0.03671134,-0.09937064,0.25353981,-0.68230414
0.12255829,0.76499209,-1.11989491,1.13349381,0.73125174,0.19389820,-0.06771023,0.17610967,-0.68963942
0.10098519,0.73837768,-0.75219981,1.25134776,0.69340048,0.30639069,-0.03660791,0.08693523,-0.69389318
-0.05204767,0.57355293,-0.34192464,1.27494803,0.62377612,0.32943923,-0.00809632,-0.00754037,-0.69381059
-0.25703181,0.29006538,0.08982657,1.20033871,0.53873653,0.25188019,0.01651667,-0.10014681,-0.68932506
-0.36836328,-0.07537816,0.48097373,1.04996316,0.46228340,0.11816111,0.03733366,-0.18427355,-0.68151289
-0.35995909,-0.40435774,0.76453358,0.87136431,0.42981376,-0.00329741,0.05592230,-0.25594641,-0.67197169
-0.29343330,-0.59516214,0.92164298,0.71173227,0.44456225,-0.07202093,0.07457235,-0.31490649,-0.66196693
-0.19953067,-0.64514349,1.02402994,0.58927765,0.44042886,-0.09424790,0.09394787,-0.36342147,-0.65212202
-0.09785314,-0.63709854,1.16724111,0.49605531,0.35473228,-0.09484407,0.11153301,-0.40404840,-0.64275399
-0.01129216,-0.63036078,1.34827704,0.41552763,0.19434547,-0.09078485,0.12354460,-0.43836435,-0.63422694
0.03838017,-0.63570092,1.49005388,0.33360362,0.02524744,-0.08963066,0.12803300,-0.46680374,-0.62696270
0.05338793,-0.66266368,1.54173546,0.24126472,-0.09214899,-0.09177120,0.12612319,-0.48898366,-0.62130938
0.06467977,-0.69949359,1.52258711,0.13097491,-0.15555453,-0.09341434,0.12035663,-0.50391260,-0.61760710
0.08836519,-0.69687000,1.48790820,-0.00018317,-0.20157822,-0.08794717,0.11229829,-0.51019308,-0.61629634
0.12817088,-0.62178911,1.46360201,-0.14429142,-0.26442458,-0.06972996,0.10176056,-0.50660385,-0.61776606
0.18096318,-0.52046561,1.42214202,-0.28538887,-0.34141683,-0.03824369,0.08782094,-0.49278503,-0.62204912
0.21693631,-0.44203342,1.31464590,-0.41524211,-0.40015706,0.00418317,0.07044702,-0.46928083,-0.62872814
0.21583751,-0.35689530,1.13657490,-0.53948838,-0.42685366,0.05331007,0.05077390,-0.43667410,-0.63721167
0.20790578,-0.24433969,0.92687312,-0.66038051,-0.42728552,0.10410493,0.03008041,-0.39515122,-0.64693137
0.22408095,-0.14251041,0.69482118,-0.76680200,-0.39199273,0.15662599,0.00974864,-0.34521641,-0.65722386
0.25454539,-0.06147556,0.42766527,-0.84270060,-0.31553614,0.21281340,-0.00831228,-0.28844131,-0.66726680
0.28582634,0.00745124,0.15967993,-0.87836517,-0.22802212,0.26560072,-0.02273307,-0.22738909,-0.67624409
0.31728078,0.02809663,-0.05449341,-0.87112128,-0.16546590,0.30772114,-0.03372024,-0.16509053,-0.68354297
0.33100448,-0.00971472,-0.20272799,-0.82408367,-0.14407602,0.33363792,-0.04268490,-0.10463403,-0.68884462
0.30767879,-0.06767906,-0.30065175,-0.74928964,-0.16571276,0.33290364,-0.05147275,-0.04858072,-0.69214728
0.24379462,-0.12190773,-0.36895162,-0.66267805,-0.21651455,0.29808347,-0.06176685,0.00157436,-0.69369959
0.17528883,-0.15995858,-0.41378091,-0.59659577,-0.26151365,0.25379516,-0.07066133,0.03598858,-0.69409743
