ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.12127978,-0.06179545,0.30475994,0.95123464,0.76941667,-1.95121704,1.29979772,-0.59209282,-0.15008746
0.03190697,0.04443440,0.32637440,1.05904779,0.97286095,-1.96098539,1.33989439,-0.61096205,-0.11207807
0.19781370,0.19065703,0.36642041,1.21359468,1.27268102,-1.92338817,1.40067376,-0.64057391,-0.05131509
0.17852053,0.34261841,0.42968561,1.37070171,1.59630250,-1.81672163,1.47208600,-0.67743540,0.02627109
-0.08184852,0.47546182,0.49159749,1.50363253,1.91643304,-1.68840877,1.55318026,-0.72092436,0.12277539
-0.45954587,0.54587419,0.54055755,1.59065406,2.18161371,-1.62448314,1.64210611,-0.76744547,0.23832300
-0.77147609,0.55935557,0.60379150,1.62317501,2.34503218,-1.69323486,1.73612840,-0.81073586,0.37012103
-0.91254960,0.55990742,0.66134372,1.60015209,2.40112152,-1.90912415,1.83256529,-0.84336495,0.51313778
-0.88476991,0.54296839,0.67603577,1.52095682,2.34602321,-2.24476700,1.92917157,-0.85823899,0.66087539
-0.76353260,0.51053151,0.67311553,1.37948518,2.15690921,-2.64269961,2.02326944,-0.84962917,0.80486012
-0.60808748,0.53599616,0.69076452,1.17794465,1.85620760,-3.02683014,2.11152652,-0.81428104,0.93546460
-0.42075075,0.71419091,0.69721173,0.94227008,1.53461343,-3.32152264,2.19130551,-0.75267444,1.04615903
-0.28740118,1.07129306,0.65774264,0.70282444,1.24716853,-3.49369750,2.26119597,-0.66886962,1.13561665
-0.23390609,1.47709115,0.63377796,0.47173928,1.01517770,-3.58308708,2.32055410,-0.56783634,1.20559137
-0.15621195,1.77371173,0.62374566,0.24939633,0.90284443,-3.64453618,2.37016003,-0.45293274,1.26102250
-0.04194088,1.94298812,0.54211359,0.04262841,0.95343606,-3.69016389,2.41226370,-0.32621908,1.31086692
0.07901805,2.05798727,0.41106514,-0.13443346,1.12426929,-3.70563966,2.44888828,-0.18998271,1.36475196
0.21849286,2.18149949,0.30160355,-0.27333258,1.34933863,-3.67866730,2.48073496,-0.04729439,1.42936907
0.37158747,2.30588093,0.20709667,-0.37162581,1.59590569,-3.61626190,2.50765255,0.09848571,1.50847648
0.53168263,2.38054982,0.10417566,-0.42669806,1.84472160,-3.55122683,2.52917340,0.24468397,1.60386894
0.71770002,2.38262072,0.00327426,-0.43856563,2.06490004,-3.52494621,2.54436014,0.39013266,1.71527380
0.93503265,2.30195601,-0.08452201,-0.42045422,2.19542091,-3.55670059,2.55137382,0.53522894,1.83915931
1.14099993,2.14694481,-0.15052325,-0.39842884,2.18275753,-3.61681434,2.54766689,0.68081657,1.96818662
1.28653822,2.01439532,-0.19947351,-0.39054622,2.02478795,-3.63291837,2.53140040,0.82619952,2.09359869
1.39347254,1.99090109,-0.24410370,-0.39987127,1.74516570,-3.54089743,2.50276734,0.96810981,2.20777338
1.49151257,2.00143564,-0.28332283,-0.42115666,1.40014266,-3.33750071,2.46403993,1.10206564,2.30569855
1.56178271,1.90621181,-0.33013467,-0.44632222,1.06787767,-3.06810468,2.41861603,1.22468380,2.38647638
1.57301083,1.66984922,-0.39665943,-0.47490507,0.78550252,-2.77530470,2.36983003,1.33455868,2.45260673
1.50504513,1.36705362,-0.46100873,-0.51053135,0.55441465,-2.48913824,2.32023963,1.43178856,2.50763380
1.37742381,1.07688609,-0.50589978,-0.55309096,0.37373475,-2.23877896,2.27136523,1.51757776,2.55505829
1.23874786,0.82230241,-0.53775362,-0.60122886,0.23515306,-2.04202285,2.22370758,1.59390592,2.59802743
1.11889459,0.61370734,-0.56275445,-0.65162601,0.12055476,-1.89537289,2.17711686,1.66284890,2.63881286
1.02314919,0.46287646,-0.58042742,-0.69907422,0.01299885,-1.78007464,2.13133124,1.72594242,2.67850421
0.97395715,0.37587511,-0.58796890,-0.73928590,-0.10110917,-1.67238579,2.08639390,1.78391371,2.71711570
0.99516464,0.36892214,-0.58598817,-0.76771692,-0.22853292,-1.55843943,2.04273336,1.83686236,2.75384541
1.06259908,0.41064082,-0.58298945,-0.77959650,-0.36401389,-1.44242766,2.00086724,1.88478433,2.78747760
1.12548541,0.42152792,-0.58582323,-0.77444997,-0.49794585,-1.33414534,1.96107223,1.92796900,2.81691287
1.15576558,0.37829186,-0.59153474,-0.75638663,-0.62351201,-1.23745736,1.92337869,1.96694228,2.84148519
1.16118017,0.31511635,-0.59701629,-0.72914132,-0.74357356,-1.15508844,1.88767729,2.00229108,2.86084732
1.17487545,0.26645224,-0.60071146,-0.69603232,-0.88056910,-1.09511567,1.85361645,2.03473651,2.87431104
1.20952140,0.23934879,-0.60031873,-0.65951944,-1.04583347,-1.07054420,1.82042413,2.06527550,2.88059931
1.22830291,0.18684852,-0.59960919,-0.61947915,-1.21170615,-1.09624267,1.78678641,2.09522080,2.87893156
1.18637705,0.04880398,-0.60297885,-0.57901597,-1.34740073,-1.18273919,1.75086097,2.12611491,2.86994539
1.08773518,-0.17044205,-0.60897628,-0.54609532,-1.43896606,-1.32610962,1.71057939,2.15942851,2.85560784
0.98917369,-0.40263519,-0.61542204,-0.52669760,-1.47990111,-1.50464430,1.66418776,2.19612599,2.83884324
0.94876615,-0.58612403,-0.62044219,-0.51889118,-1.46958141,-1.68707342,1.61077232,2.23633205,2.82284771
0.99425404,-0.71361726,-0.62552046,-0.51539526,-1.42794097,-1.84196728,1.55052001,2.27927612,2.81005536
1.11526983,-0.81460747,-0.60602807,-0.52086260,-1.39417412,-1.94992492,1.48453354,2.32359395,2.80143418
1.29313199,-0.90985308,-0.55057393,-0.54218032,-1.35404750,-1.99796871,1.41451215,2.36773014,2.79785356
1.45782622,-0.97856383,-0.51125707,-0.56269965,-1.29540134,-1.99715322,1.36061083,2.40024741,2.79830913
