ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.56880848,0.86329171,-0.39707905,-0.20568603,-0.19048662,-0.69124601,-2.08026803,0.28630512,0.63482359
0.48670837,0.74873471,-0.37105407,-0.23728013,-0.35889366,-0.85494734,-2.08947091,0.27307118,0.64770207
0.28052741,0.57520932,-0.35825665,-0.27326765,-0.60145120,-1.09981597,-2.10687992,0.25112914,0.67326545
0.09439338,0.40947598,-0.40939109,-0.30209623,-0.75660093,-1.34052272,-2.13014187,0.22228175,0.70887711
0.10816021,0.28632302,-0.47519361,-0.32933362,-0.77629635,-1.53498213,-2.15529339,0.18690584,0.74874252
0.33043793,0.22682372,-0.48010222,-0.35608207,-0.72192739,-1.66735118,-2.17893191,0.14657982,0.78769324
0.64686724,0.26751574,-0.45307633,-0.37559231,-0.63006142,-1.72596058,-2.19937706,0.10333619,0.82303138
0.94820156,0.39557004,-0.45600711,-0.38158166,-0.49507312,-1.70977348,-2.21554570,0.05926574,0.85264870
1.21901361,0.51077603,-0.49265477,-0.37375270,-0.30312307,-1.63871829,-2.22626024,0.01612106,0.87386686
1.48283687,0.51776166,-0.52773622,-0.35469274,-0.04453075,-1.54388652,-2.23018717,-0.02503450,0.88350485
1.71016944,0.40915023,-0.54231782,-0.32445034,0.26629987,-1.45323031,-2.22601257,-0.06405251,0.87857618
1.85738289,0.24039805,-0.52950951,-0.27857617,0.58391988,-1.38222476,-2.21302447,-0.10164662,0.85781004
1.91734922,0.07514874,-0.49195250,-0.21345435,0.84748668,-1.33901888,-2.19162982,-0.13911738,0.82278450
1.91673660,-0.04588392,-0.44991122,-0.13367159,0.98031676,-1.33057119,-2.16386867,-0.17811303,0.77855965
1.87921280,-0.11493801,-0.40481999,-0.04914461,0.95734147,-1.34452387,-2.13336966,-0.22007576,0.73285532
1.80086390,-0.14528138,-0.36833110,0.03325548,0.88849693,-1.35096778,-2.10294691,-0.26541491,0.69118451
1.73497915,-0.16927471,-0.37678266,0.10190489,0.76619941,-1.27435002,-2.07365993,-0.31287399,0.65505157
2.16224591,-0.38105945,-0.37353253,0.15947784,0.62578575,-0.96518364,-2.04774313,-0.35706847,0.62606298
3.00540428,-0.74383084,-0.43256159,0.23608335,0.71977863,-0.45406630,-2.02466474,-0.39082394,0.60038682
3.09967644,-0.79620549,-0.57849863,0.32272922,0.84796976,-0.01494746,-2.00066180,-0.41344032,0.57104035
2.45960456,-0.79860382,-0.58142615,0.37915428,0.83827230,0.19108771,-1.97697402,-0.42985483,0.54106781
1.91009971,-1.23740320,-0.56681402,0.41892247,0.99546910,0.16377193,-1.95201348,-0.44594878,0.51031112
1.30216546,-1.53583843,-0.52162725,0.47517782,1.14203627,-0.03219183,-1.92030245,-0.46810294,0.47343754
0.55988087,-1.24470872,-0.17004254,0.53200380,0.89297965,-0.27336390,-1.88763651,-0.50006786,0.44045718
-0.00310166,-0.76486059,0.14683601,0.53640513,0.56558713,-0.48322192,-1.86233450,-0.54037016,0.42260828
-0.42344923,-0.39373609,0.07996247,0.43812765,0.47724265,-0.65558030,-1.84153911,-0.58368495,0.41377574
-0.67173738,-0.08584237,-0.08312038,0.26801252,0.50575715,-0.77772886,-1.81987789,-0.62397506,0.40399477
-0.59779053,0.20262941,-0.13601831,0.12081831,0.70452862,-0.83232985,-1.79342459,-0.65822527,0.38672044
-0.38693797,0.40292664,-0.15959534,0.03092953,1.08825719,-0.86571471,-1.75628847,-0.68723666,0.35523111
-0.17583643,0.38032675,-0.09436431,-0.02936693,1.43717875,-0.93069795,-1.70560886,-0.71314543,0.30818582
-0.00052473,0.19979480,0.04934423,-0.08159578,1.65038236,-1.01903971,-1.64377809,-0.73721417,0.25076634
0.01691587,0.04429623,0.12176834,-0.11957196,1.82146590,-1.13699887,-1.57300493,-0.76017754,0.18762694
-0.11223651,-0.06101164,0.07327621,-0.12410342,2.04578896,-1.29984200,-1.49190122,-0.78376103,0.12002865
-0.26416861,-0.11423878,-0.01816401,-0.08168614,2.29787936,-1.46884150,-1.39796666,-0.81030076,0.04888526
-0.39914825,-0.07572484,-0.06303035,0.01371255,2.51912597,-1.59795213,-1.29077272,-0.84173977,-0.02262933
-0.56158705,0.03027639,-0.04213523,0.15712683,2.63514550,-1.66867032,-1.17290135,-0.87964766,-0.08920725
-0.74037354,0.13723729,0.03512738,0.33062059,2.59287698,-1.67437825,-1.05012926,-0.92512643,-0.14455047
-0.89966494,0.19946486,0.10903849,0.51413048,2.43471416,-1.62129681,-0.92900986,-0.97855966,-0.18384131
-1.00352537,0.22879330,0.12200485,0.68966852,2.24120103,-1.51371771,-0.81380279,-1.03957596,-0.20542801
-0.96864515,0.30385744,0.09600166,0.83774662,2.09586815,-1.34505014,-0.70580578,-1.10676973,-0.21037888
-0.78357659,0.47504396,0.04603524,0.94410234,2.07440742,-1.12538511,-0.60317920,-1.17772420,-0.20166002
-0.54604705,0.67223525,-0.03245533,0.99640841,2.13788801,-0.88664230,-0.50278231,-1.24956920,-0.18274635
-0.31106797,0.76052286,-0.08958866,0.92847496,2.03019414,-0.67535539,-0.40657149,-1.31770162,-0.15718830
-0.08525372,0.60827174,-0.06714332,0.70403465,1.76869703,-0.50799903,-0.32160834,-1.37414056,-0.13118444
-0.05562636,0.31194259,-0.10701095,0.40500598,1.76502754,-0.37478274,-0.24607616,-1.41210403,-0.11295102
-0.32269602,0.11139079,-0.29785176,0.10284141,2.08385173,-0.29909107,-0.16677294,-1.43029011,-0.10745666
-0.60859914,-0.00624451,-0.42676506,-0.16619216,2.50953051,-0.28706399,-0.07352605,-1.43033891,-0.11421116
-0.71126373,-0.08825829,-0.41487046,-0.37696245,2.89589139,-0.31515913,0.03585439,-1.41505010,-0.12867748
-0.65453203,-0.09021781,-0.34861526,-0.52993726,3.20263821,-0.37248924,0.15971097,-1.38778656,-0.14479735
-0.56072938,-0.05826830,-0.29141981,-0.61647516,3.41288340,-0.42825556,0.25910369,-1.36233051,-0.15584557
