ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.93964021,2.85400939,-0.08272729,0.68719380,1.69464642,2.02565834,1.18752421,-0.42820592,-0.27915562
-1.16577303,2.85749467,0.02830342,0.63113761,1.67569742,1.88312721,1.22580217,-0.48551507,-0.23684452
-1.47671130,2.81623908,0.17351604,0.54290792,1.62406548,1.67720196,1.27473933,-0.55620048,-0.18017101
-1.74557766,2.74243188,0.27933150,0.43564781,1.55022129,1.45902811,1.32042305,-0.61726422,-0.12438199
-1.90449756,2.72963130,0.31318316,0.31354445,1.47427446,1.23930973,1.36305782,-0.66740099,-0.07117542
-2.01908818,2.74222922,0.32537132,0.18394188,1.40616810,1.01781347,1.40350136,-0.70584836,-0.02150772
-2.12206054,2.72049186,0.34422103,0.05449924,1.35455623,0.79420639,1.44289687,-0.73232099,0.02433071
-2.18715232,2.68830034,0.35170802,-0.06810508,1.32408228,0.57837806,1.48235648,-0.74706423,0.06662848
-2.23214912,2.67276899,0.34844118,-0.17850574,1.30856295,0.38095773,1.52268530,-0.75089406,0.10606408
-2.27793205,2.67429642,0.34360995,-0.27352447,1.29617685,0.19952476,1.56416271,-0.74495312,0.14333461
-2.32931678,2.66504812,0.34387117,-0.35342442,1.27364944,0.01924023,1.60662471,-0.73023021,0.17886279
-2.39541031,2.62639853,0.35209494,-0.42248153,1.23003787,-0.17431082,1.64955506,-0.70717196,0.21256958
-2.48971874,2.55911220,0.36574140,-0.48568958,1.16203008,-0.38778064,1.69226271,-0.67566314,0.24398431
-2.58205992,2.46950233,0.37616316,-0.54680633,1.07374897,-0.62547902,1.73409036,-0.63515617,0.27253776
-2.63050995,2.35365404,0.37877896,-0.60849976,0.97354371,-0.88719406,1.77449139,-0.58482150,0.29779831
-2.63516391,2.21289296,0.37161277,-0.67061321,0.87032566,-1.16706570,1.81301499,-0.52379842,0.31967718
-2.60663535,2.07048219,0.35356233,-0.72911813,0.77078683,-1.45486721,1.84921578,-0.45152171,0.33851358
-2.54464002,1.95607592,0.32948357,-0.77639522,0.67611524,-1.73249076,1.88248637,-0.36815470,0.35497091
-2.45821039,1.88572469,0.30551198,-0.80487579,0.57985823,-1.98223495,1.91190968,-0.27484749,0.36971608
-2.35830995,1.85047413,0.28640541,-0.81131646,0.46141205,-2.19470103,1.93609549,-0.17350585,0.38280059
-2.25106394,1.84601746,0.28088790,-0.79723546,0.29513163,-2.36667783,1.95296800,-0.06636288,0.39296875
-2.14713980,1.86458022,0.28517998,-0.76829044,0.08843115,-2.50329167,1.96028469,0.04442558,0.39818338
-2.03593184,1.88113906,0.26853844,-0.73151059,-0.11659300,-2.61221777,1.95685039,0.15712523,0.39738236
-1.89195107,1.91656129,0.20863345,-0.69078938,-0.28063236,-2.69486595,1.94298297,0.27033994,0.39131343
-1.70514365,2.01363747,0.12152710,-0.64699264,-0.39348676,-2.75740625,1.91992752,0.38282068,0.38180065
-1.47159370,2.14831145,0.04276550,-0.60287239,-0.46902287,-2.82174773,1.88891024,0.49380636,0.37054907
-1.21619718,2.24122321,-0.01055349,-0.56555479,-0.50966628,-2.91344095,1.85073890,0.60347115,0.35888365
-0.97915283,2.24365252,-0.05796406,-0.54310036,-0.50041894,-3.04196402,1.80621457,0.71284994,0.34854943
-0.76581939,2.18728512,-0.12253933,-0.53815429,-0.43740061,-3.20034811,1.75631845,0.82326768,0.34191836
-0.55652043,2.13120327,-0.19806715,-0.54479895,-0.34008921,-3.37738013,1.70170449,0.93564609,0.34105429
-0.33196670,2.10930597,-0.26777847,-0.55181481,-0.23541846,-3.56510083,1.64220059,1.05006851,0.34678665
-0.09563888,2.12056739,-0.33088126,-0.54990123,-0.13379301,-3.76247980,1.57699896,1.16583554,0.35882060
0.14437644,2.13109189,-0.39368796,-0.53614691,-0.03580799,-3.97031411,1.50509745,1.28184858,0.37636401
0.38717354,2.13432763,-0.45247724,-0.51297914,0.05593919,-4.18226337,1.42546221,1.39683149,0.39838230
0.62126162,2.16001837,-0.51023110,-0.48488179,0.15245069,-4.38701790,1.33740759,1.50938000,0.42395367
0.85146421,2.19444074,-0.58186248,-0.45314470,0.27040346,-4.57316485,1.24111376,1.61795297,0.45260658
1.10060024,2.18520500,-0.65770710,-0.41252325,0.40318516,-4.73049573,1.13739663,1.72075240,0.48372648
1.36538310,2.13319211,-0.70165283,-0.35559574,0.52825535,-4.85073302,1.02707747,1.81566108,0.51568292
1.61313607,2.08069602,-0.70262140,-0.27974399,0.63220439,-4.92958098,0.91091550,1.90041268,0.54588281
1.82134702,2.02130642,-0.68563253,-0.18869251,0.71069037,-4.97133400,0.78980825,1.97303774,0.57158028
1.98357508,1.92690241,-0.66416303,-0.08920399,0.76943989,-4.98216080,0.66486450,2.03218013,0.59053924
2.10420467,1.82731904,-0.64516581,0.01360515,0.82648297,-4.96414231,0.53767891,2.07706589,0.60131217
2.22037438,1.75601233,-0.63276331,0.11821645,0.88813638,-4.91934968,0.41030976,2.10735073,0.60306962
2.35397880,1.69153131,-0.60209347,0.22113383,0.93815819,-4.84554663,0.28471478,2.12305227,0.59529919
2.48847031,1.62929872,-0.53940521,0.31419352,0.95506207,-4.73468175,0.16242182,2.12468017,0.57806038
2.63192470,1.58633398,-0.45521474,0.38707183,0.93518105,-4.58285891,0.04466789,2.11339265,0.55239576
2.79237371,1.53815556,-0.37055743,0.43002100,0.88990948,-4.40219719,-0.06747605,2.09108057,0.52045352
2.95330302,1.43107491,-0.29838436,0.44205000,0.82081284,-4.21249179,-0.17356730,2.06012004,0.48504346
