ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
1.80700285,1.15128701,0.13380027,0.78297310,-1.19904832,2.46547550,2.04807005,1.75029107,3.55630075
1.77389385,1.24700157,0.17123957,0.83227472,-1.19076280,2.51256062,2.10085180,1.70146163,3.47698198
1.70933334,1.36723534,0.21963215,0.89051555,-1.18275590,2.56920710,2.16934533,1.63260201,3.36933090
1.62581881,1.48739877,0.25390779,0.93622922,-1.17449870,2.61509752,2.23463807,1.55809219,3.25962753
1.53640939,1.61976319,0.26831464,0.97041438,-1.16215124,2.65488493,2.29621510,1.47788677,3.14918087
1.42606792,1.76025965,0.27336858,0.99761163,-1.14585163,2.69746374,2.35377207,1.39179192,3.03908676
1.27980919,1.88851576,0.27988046,1.02119820,-1.13096862,2.74630395,2.40709100,1.29960499,2.93023859
1.11497381,1.98213178,0.29800792,1.04021298,-1.12652740,2.79592149,2.45583718,1.20138969,2.82332459
0.94752915,2.03327964,0.33451098,1.05108515,-1.13360199,2.83883613,2.49962458,1.09735816,2.71851437
0.76869071,2.05096228,0.37542384,1.05031620,-1.14488277,2.86790479,2.53800444,0.98798953,2.61601575
0.56365560,2.03904852,0.40644208,1.03637883,-1.15624863,2.87305928,2.57043756,0.87430177,2.51641483
0.32942735,1.99159194,0.43441039,1.00999842,-1.16469832,2.84618957,2.59643399,0.75781838,2.42033858
0.07591378,1.92066960,0.46361102,0.97280955,-1.16246550,2.78851520,2.61572110,0.64033535,2.32848589
-0.17961606,1.85032591,0.48408870,0.92619186,-1.13836107,2.71197275,2.62841563,0.52349073,2.24191176
-0.42046160,1.79806932,0.49154844,0.87212172,-1.08525531,2.63101211,2.63505814,0.40837839,2.16204951
-0.64233645,1.77839701,0.49973552,0.81421454,-1.00724133,2.54914701,2.63642403,0.29568484,2.09021966
-0.84816454,1.78188815,0.52048059,0.75668556,-0.91105113,2.45914724,2.63333121,0.18612781,2.02727475
-1.03753713,1.76959337,0.54734227,0.70355371,-0.80008966,2.35417974,2.62661177,0.08055648,1.97370319
-1.21187256,1.71763155,0.57192929,0.65709503,-0.67915227,2.23048259,2.61711870,-0.02012099,1.92971634
-1.37915156,1.63522922,0.59256865,0.61671960,-0.55439260,2.08800127,2.60570233,-0.11501475,1.89522807
-1.54767542,1.53905159,0.60734498,0.58026307,-0.43067579,1.93018363,2.59316638,-0.20338202,1.86982720
-1.71204422,1.44251972,0.61582488,0.54480054,-0.31064584,1.75973870,2.58027142,-0.28459522,1.85294805
-1.86117787,1.35915438,0.61791098,0.50697173,-0.19307894,1.58075322,2.56775032,-0.35812843,1.84408177
-1.99385797,1.29728858,0.61082145,0.46320070,-0.07550111,1.39945633,2.55624824,-0.42367397,1.84269819
-2.11501393,1.25533710,0.59537227,0.41074969,0.04149178,1.22059950,2.54628548,-0.48111798,1.84819876
-2.22515250,1.22341857,0.57675653,0.34933496,0.15708365,1.04626115,2.53826223,-0.53045707,1.85996186
-2.32367576,1.19324603,0.55852552,0.27991884,0.27151492,0.87678282,2.53246800,-0.57175699,1.87738272
-2.41608163,1.16156449,0.54078425,0.20287990,0.38466427,0.71297562,2.52909310,-0.60512344,1.89990808
-2.50369533,1.12522195,0.52340447,0.11862026,0.49796295,0.55424929,2.52824684,-0.63069538,1.92707883
-2.57513092,1.08823042,0.50683813,0.02738043,0.61114181,0.39827790,2.52997917,-0.64859614,1.95856106
-2.61260180,1.06144016,0.49350230,-0.07140118,0.71538804,0.24208163,2.53424555,-0.65886775,1.99385479
-2.61435341,1.05301168,0.48561277,-0.17879906,0.80303987,0.08275541,2.54087794,-0.66143633,2.03200272
-2.59509455,1.06281434,0.47499845,-0.29592207,0.87951008,-0.08029843,2.54967591,-0.65614465,2.07204130
-2.56926838,1.08349489,0.44990207,-0.42293284,0.95412736,-0.24789961,2.56049100,-0.64280972,2.11354782
-2.54300799,1.11045850,0.41092454,-0.55934207,1.03125292,-0.42062707,2.57318958,-0.62124992,2.15659867
-2.50727696,1.14640913,0.36279717,-0.70411382,1.11441559,-0.59253753,2.58756516,-0.59144152,2.20163607
-2.44720575,1.19888344,0.30308837,-0.85547480,1.20513789,-0.75864820,2.60329583,-0.55365087,2.24946640
-2.34997732,1.27787502,0.23583155,-1.01079354,1.29261971,-0.92413349,2.61994901,-0.50821006,2.30085336
-2.20154451,1.38438037,0.17454128,-1.16438667,1.35572072,-1.09291840,2.63695716,-0.45532714,2.35577475
-1.99902948,1.49839222,0.11805972,-1.30614046,1.38050417,-1.26482396,2.65362654,-0.39526237,2.41338871
-1.75585401,1.60366743,0.05442904,-1.42511352,1.36444139,-1.44830714,2.66925058,-0.32822922,2.47254077
-1.48017432,1.69947326,-0.01489172,-1.51429259,1.31034789,-1.65433657,2.68320371,-0.25400811,2.53209067
-1.17720504,1.77206120,-0.08394145,-1.57005974,1.22910751,-1.88047353,2.69489474,-0.17211448,2.59123563
-0.87175881,1.80463374,-0.14757540,-1.59146353,1.13484410,-2.11471003,2.70367584,-0.08230230,2.64973053
-0.58976470,1.80711330,-0.19427679,-1.58259184,1.03829754,-2.34502660,2.70882290,0.01527864,2.70775921
-0.33219214,1.80792977,-0.22214519,-1.55266586,0.95697777,-2.55931884,2.70957130,0.12005771,2.76601434
-0.09589667,1.82491150,-0.24760269,-1.51402935,0.91630605,-2.74737908,2.70516658,0.23096680,2.82622229
0.12254947,1.85622878,-0.28305326,-1.47968564,0.93535137,-2.90482122,2.69488597,0.34656237,2.89134471
0.37580329,1.91757539,-0.32627020,-1.45910809,1.01912910,-3.02901762,2.67802291,0.46514603,2.96504390
0.61532067,1.99347108,-0.36129860,-1.45229726,1.11249494,-3.10417509,2.66186439,0.55499413,3.02578734
