ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.14151002,0.86167552,0.05128536,-0.10230998,1.31256633,1.89146076,-1.55579230,2.24262066,2.51998124
-0.18300361,0.81470966,0.12319431,-0.15273396,1.22584816,1.96872061,-1.50473545,2.27591528,2.49616465
-0.25219750,0.74723827,0.18233163,-0.20758060,1.11770505,2.06533498,-1.43369032,2.32074750,2.47124777
-0.36051094,0.63223660,0.19474903,-0.24351083,1.02307975,2.14272619,-1.35854146,2.36572272,2.45525845
-0.53161761,0.44596507,0.18200938,-0.26371877,0.94447603,2.18858437,-1.28013511,2.40988873,2.44618170
-0.74069014,0.20253311,0.15403381,-0.27612391,0.88215304,2.19479409,-1.19971705,2.45222759,2.44240838
-0.92400121,-0.07461277,0.11601141,-0.28989649,0.83127096,2.16054292,-1.11875776,2.49188199,2.44312414
-1.06911018,-0.34583066,0.07892597,-0.31161876,0.79371374,2.09191378,-1.03869601,2.52830092,2.44829703
-1.22116578,-0.57911746,0.03634954,-0.34264576,0.78122967,1.99673657,-0.96075059,2.56123025,2.45813839
-1.39723419,-0.77686814,-0.02083321,-0.38116342,0.80096598,1.88394861,-0.88582712,2.59064285,2.47270595
-1.58145096,-0.95387294,-0.08399849,-0.42645698,0.85265769,1.76157685,-0.81453095,2.61667700,2.49199259
-1.77293782,-1.11750439,-0.14355943,-0.47986455,0.93421758,1.63658538,-0.74725080,2.63957124,2.51616973
-1.97048915,-1.26657002,-0.19905571,-0.54439831,1.04452041,1.51529217,-0.68417628,2.65962378,2.54577551
-2.15490392,-1.39900478,-0.25564735,-0.62356852,1.18402767,1.39970165,-0.62532563,2.67714705,2.58178412
-2.30614988,-1.51879808,-0.31753344,-0.71740118,1.34437193,1.28715885,-0.57073529,2.69238029,2.62547880
-2.42704511,-1.63861147,-0.37603788,-0.81967489,1.50408392,1.17556138,-0.52065899,2.70540685,2.67811791
-2.53281201,-1.76392160,-0.41744338,-0.92129142,1.64809127,1.06587415,-0.47550975,2.71615015,2.74042432
-2.62811632,-1.88268823,-0.44644274,-1.01491486,1.77728048,0.95693691,-0.43575050,2.72442112,2.81228347
-2.71323248,-1.98380907,-0.47435619,-1.09457979,1.89171220,0.84330053,-0.40195554,2.72996288,2.89279045
